source_period_code,as_of_date,outlet_code,outlet_name,region,city,market_area,latitude,longitude,store_name,batch_allocation_id,batch_number,receipt_date,grn_number,po_number,vendor_name,receipt_source_status,item_code,item_name,category_name,unit,received_qty,batch_remaining_qty,item_closing_qty,available_qty,average_unit_cost,shelf_life_days_assumption,estimated_fifo_tranche_qty,daily_theoretical_demand,expected_consumption_before_expiry,estimated_expiry_date,days_to_expiry,qty_at_risk,expiry_risk_value,risk_status,is_estimated,estimation_method,source_evidence,production_use_status
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,BATCH-2601-ING003-08|GRN-OUT001-260120-00106,BATCH-2601-ING003-08,2026-01-20,GRN-OUT001-260120-00106,PO-20260119-OUT001-0019,FreshDairy Foods NCR,synthetic_internal_receipt_lineage,ING003,Oat Milk,Dairy Alternative,litre,20.19,19.3625,96.8126,96.8126,181.35,12,19.3625,0.5171,0.5171,2026-02-01,1,18.8455,3417.63,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING004,SYN-EXP-month_01-OUT001-ING004,2026-01-25,,,,synthetic_near_expiry_opening_tranche,ING004,Cream,Dairy,litre,84.3683,11.8116,84.3683,84.3683,215.11,7,11.8116,0.2296,0.2296,2026-02-01,1,11.582,2491.4,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING005,SYN-EXP-month_01-OUT001-ING005,2026-01-29,,,,synthetic_near_expiry_opening_tranche,ING005,Paneer,Dairy,kg,40.9195,6.9563,40.9195,40.9195,369.94,7,6.9563,0.2439,1.2194,2026-02-05,5,5.737,2122.35,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING006,SYN-EXP-month_01-OUT001-ING006,2026-01-29,,,,synthetic_near_expiry_opening_tranche,ING006,Cheese,Dairy,kg,15.4408,2.4705,15.4408,15.4408,480.0,7,2.4705,0.2089,1.0444,2026-02-05,5,1.4262,684.58,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,BATCH-2601-ING007-29|GRN-OUT001-260126-00127,BATCH-2601-ING007-29,2026-01-26,GRN-OUT001-260126-00127,PO-20260122-OUT001-0022,NorthStar Poultry,synthetic_internal_receipt_lineage,ING007,Chicken,Protein,kg,29.53,20.9811,161.3928,161.3928,320.15,5,20.9811,0.3113,0.0,2026-01-31,0,20.9811,6717.1,EXPIRES_TODAY,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING008,SYN-EXP-month_01-OUT001-ING008,2026-01-28,,,,synthetic_near_expiry_opening_tranche,ING008,Egg,Protein,pcs,1002.692,160.4307,1002.692,1002.692,7.06,5,160.4307,0.7097,1.4194,2026-02-02,2,159.0114,1122.62,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING009,SYN-EXP-month_01-OUT001-ING009,2026-01-29,,,,synthetic_near_expiry_opening_tranche,ING009,Bread,Bakery,pcs,978.52,127.2076,978.52,978.52,11.86,4,127.2076,8.5806,17.1613,2026-02-02,2,110.0463,1305.15,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,BATCH-2601-ING010-52|GRN-OUT001-260128-00150,BATCH-2601-ING010-52,2026-01-28,GRN-OUT001-260128-00150,PO-20260125-OUT001-0025,Delhi Bakery Supply Co,synthetic_internal_receipt_lineage,ING010,Bagel,Bakery,pcs,135.0,120.0366,666.87,666.87,29.09,4,120.0366,1.0968,1.0968,2026-02-01,1,118.9398,3459.96,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING011,SYN-EXP-month_01-OUT001-ING011,2026-01-29,,,,synthetic_near_expiry_opening_tranche,ING011,Tortilla,Bakery,pcs,667.296,93.4214,667.296,667.296,15.24,4,93.4214,1.0323,2.0645,2026-02-02,2,91.3569,1392.28,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING012,SYN-EXP-month_01-OUT001-ING012,2026-01-28,,,,synthetic_near_expiry_opening_tranche,ING012,Croissant Base,Bakery,pcs,37.948,5.3127,37.948,37.948,0.0,4,5.3127,3.5161,3.5161,2026-02-01,1,1.7966,0.0,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
