forecast_as_of_month,forecast_date,outlet_code,outlet_name,menu_item_code,menu_item_name,super_category_name,category_name,forecast_qty,forecast_net_sales,model_name,confidence_band
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0001,Espresso Shot - Solo,Beverage,Espresso,0.0938,13.19,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0001,Espresso Shot - Solo,Beverage,Espresso,0.1416,19.92,Synthetic 28-day seasonal baseline,High
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0001,Espresso Shot - Solo,Beverage,Espresso,0.1445,20.32,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0001,Espresso Shot - Solo,Beverage,Espresso,0.1402,19.72,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0001,Espresso Shot - Solo,Beverage,Espresso,0.146,20.53,Synthetic 28-day seasonal baseline,High
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0001,Espresso Shot - Solo,Beverage,Espresso,0.146,20.53,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0001,Espresso Shot - Solo,Beverage,Espresso,0.092,12.94,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0002,Espresso Shot - Doppio,Beverage,Espresso,0.069,12.38,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0002,Espresso Shot - Doppio,Beverage,Espresso,0.1106,19.85,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0002,Espresso Shot - Doppio,Beverage,Espresso,0.1084,19.45,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0002,Espresso Shot - Doppio,Beverage,Espresso,0.1095,19.65,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0002,Espresso Shot - Doppio,Beverage,Espresso,0.1106,19.85,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0002,Espresso Shot - Doppio,Beverage,Espresso,0.1084,19.45,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0002,Espresso Shot - Doppio,Beverage,Espresso,0.0669,12.01,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0003,Americano - Regular,Beverage,Coffee Classics,1.9347,347.18,Synthetic 28-day seasonal baseline,High
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0003,Americano - Regular,Beverage,Coffee Classics,3.1324,562.11,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0003,Americano - Regular,Beverage,Coffee Classics,2.9481,529.04,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0003,Americano - Regular,Beverage,Coffee Classics,2.9788,534.55,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0003,Americano - Regular,Beverage,Coffee Classics,3.1938,573.13,Synthetic 28-day seasonal baseline,High
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0003,Americano - Regular,Beverage,Coffee Classics,3.1017,556.6,Synthetic 28-day seasonal baseline,High
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0003,Americano - Regular,Beverage,Coffee Classics,1.9347,347.18,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0004,Americano - Medium,Beverage,Coffee Classics,1.5866,323.19,Synthetic 28-day seasonal baseline,High
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0004,Americano - Medium,Beverage,Coffee Classics,2.4181,492.57,Synthetic 28-day seasonal baseline,High
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0004,Americano - Medium,Beverage,Coffee Classics,2.5677,523.04,Synthetic 28-day seasonal baseline,High
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0004,Americano - Medium,Beverage,Coffee Classics,2.5178,512.88,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0004,Americano - Medium,Beverage,Coffee Classics,2.5677,523.04,Synthetic 28-day seasonal baseline,Medium
