source_period_code,outlet_code,outlet_name,item_name,theoretical_qty,item_code,category_name,super_category_name,unit,average_price
month_01,OUT001,ABNAH Cafe Connaught Place,Coffee Beans,34.602,ING001,Coffee Inputs,Raw Material,kg,980.0
month_01,OUT001,ABNAH Cafe Connaught Place,Milk,283.117,ING002,Dairy,Raw Material,litre,72.0
month_01,OUT001,ABNAH Cafe Connaught Place,Oat Milk,16.029,ING003,Dairy Alternative,Raw Material,litre,185.0
month_01,OUT001,ABNAH Cafe Connaught Place,Cream,7.117800000000001,ING004,Dairy,Raw Material,litre,210.0
month_01,OUT001,ABNAH Cafe Connaught Place,Paneer,7.5600000000000005,ING005,Dairy,Raw Material,kg,360.0
month_01,OUT001,ABNAH Cafe Connaught Place,Cheese,6.475,ING006,Dairy,Raw Material,kg,480.0
month_01,OUT001,ABNAH Cafe Connaught Place,Chicken,9.65,ING007,Protein,Raw Material,kg,330.0
month_01,OUT001,ABNAH Cafe Connaught Place,Egg,22.0,ING008,Protein,Raw Material,pcs,7.0
month_01,OUT001,ABNAH Cafe Connaught Place,Bread,266.0,ING009,Bakery,Raw Material,pcs,12.0
month_01,OUT001,ABNAH Cafe Connaught Place,Bagel,34.0,ING010,Bakery,Raw Material,pcs,28.0
month_01,OUT001,ABNAH Cafe Connaught Place,Tortilla,32.0,ING011,Bakery,Raw Material,pcs,15.0
month_01,OUT001,ABNAH Cafe Connaught Place,Croissant Base,109.0,ING012,Bakery,Raw Material,pcs,42.0
month_01,OUT001,ABNAH Cafe Connaught Place,Brownie Base,19.0,ING013,Dessert Inputs,Raw Material,pcs,34.0
month_01,OUT001,ABNAH Cafe Connaught Place,Cake Base,134.95,ING014,Dessert Inputs,Raw Material,pcs,46.0
month_01,OUT001,ABNAH Cafe Connaught Place,Cheesecake Base,11.0,ING015,Dessert Inputs,Raw Material,pcs,72.0
month_01,OUT001,ABNAH Cafe Connaught Place,Chocolate Sauce,13.134,ING016,Syrups & Sauces,Raw Material,litre,260.0
month_01,OUT001,ABNAH Cafe Connaught Place,Caramel Syrup,3.7127000000000003,ING017,Syrups & Sauces,Raw Material,litre,250.0
month_01,OUT001,ABNAH Cafe Connaught Place,Vanilla Syrup,2.5921,ING018,Syrups & Sauces,Raw Material,litre,240.0
month_01,OUT001,ABNAH Cafe Connaught Place,Sugar Syrup,32.7913,ING019,Syrups & Sauces,Raw Material,litre,90.0
month_01,OUT001,ABNAH Cafe Connaught Place,Tea Leaves,0.45539999999999997,ING020,Tea Inputs,Raw Material,kg,620.0
month_01,OUT001,ABNAH Cafe Connaught Place,Ice,80.82600000000001,ING022,Beverage Inputs,Raw Material,kg,12.0
month_01,OUT001,ABNAH Cafe Connaught Place,Lemon,3.7168,ING023,Produce,Raw Material,kg,110.0
month_01,OUT001,ABNAH Cafe Connaught Place,Hibiscus Concentrate,1.7597,ING024,Beverage Inputs,Raw Material,litre,390.0
month_01,OUT001,ABNAH Cafe Connaught Place,Mixed Berry Pulp,3.644,ING025,Fruit Inputs,Raw Material,kg,420.0
month_01,OUT001,ABNAH Cafe Connaught Place,Banana,2.814,ING026,Produce,Raw Material,kg,72.0
month_01,OUT001,ABNAH Cafe Connaught Place,Butter,2.54,ING027,Dairy,Raw Material,kg,520.0
month_01,OUT001,ABNAH Cafe Connaught Place,Lettuce,3.0100000000000002,ING028,Produce,Raw Material,kg,95.0
month_01,OUT001,ABNAH Cafe Connaught Place,Onion,0.64,ING029,Produce,Raw Material,kg,42.0
month_01,OUT001,ABNAH Cafe Connaught Place,Capsicum,0.8,ING030,Produce,Raw Material,kg,84.0
month_01,OUT001,ABNAH Cafe Connaught Place,Tomato,3.29,ING031,Produce,Raw Material,kg,54.0
month_01,OUT001,ABNAH Cafe Connaught Place,Pesto Sauce,0.8300000000000001,ING032,Syrups & Sauces,Raw Material,kg,340.0
month_01,OUT001,ABNAH Cafe Connaught Place,Chipotle Sauce,2.38,ING033,Syrups & Sauces,Raw Material,kg,280.0
month_01,OUT001,ABNAH Cafe Connaught Place,Salsa,0.125,ING034,Syrups & Sauces,Raw Material,kg,190.0
month_01,OUT001,ABNAH Cafe Connaught Place,Aioli,0.55,ING035,Syrups & Sauces,Raw Material,kg,310.0
month_01,OUT001,ABNAH Cafe Connaught Place,Cold Cup,596.0,ING036,Packaging,Consumable,pcs,3.2
month_01,OUT001,ABNAH Cafe Connaught Place,Hot Cup,1325.0,ING037,Packaging,Consumable,pcs,2.8
month_01,OUT001,ABNAH Cafe Connaught Place,Lid,1921.0,ING038,Packaging,Consumable,pcs,1.1
month_01,OUT001,ABNAH Cafe Connaught Place,Straw,596.0,ING039,Packaging,Consumable,pcs,0.55
month_01,OUT001,ABNAH Cafe Connaught Place,Napkin,2767.0,ING040,Packaging,Consumable,pcs,0.32
month_01,OUT001,ABNAH Cafe Connaught Place,Dessert Box,269.0,ING041,Packaging,Consumable,pcs,5.0
month_01,OUT001,ABNAH Cafe Connaught Place,Sandwich Box,210.0,ING042,Packaging,Consumable,pcs,6.5
month_01,OUT001,ABNAH Cafe Connaught Place,Wrap Packaging,32.0,ING043,Packaging,Consumable,pcs,5.8
month_01,OUT002,ABNAH Cafe Hauz Khas,Coffee Beans,30.8856,ING001,Coffee Inputs,Raw Material,kg,980.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Milk,258.831,ING002,Dairy,Raw Material,litre,72.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Oat Milk,12.933,ING003,Dairy Alternative,Raw Material,litre,185.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Cream,7.4287,ING004,Dairy,Raw Material,litre,210.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Paneer,8.98,ING005,Dairy,Raw Material,kg,360.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Cheese,6.525,ING006,Dairy,Raw Material,kg,480.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Chicken,10.96,ING007,Protein,Raw Material,kg,330.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Egg,26.0,ING008,Protein,Raw Material,pcs,7.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Bread,244.0,ING009,Bakery,Raw Material,pcs,12.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Bagel,22.0,ING010,Bakery,Raw Material,pcs,28.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Tortilla,61.0,ING011,Bakery,Raw Material,pcs,15.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Croissant Base,156.0,ING012,Bakery,Raw Material,pcs,42.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Brownie Base,19.0,ING013,Dessert Inputs,Raw Material,pcs,34.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Cake Base,160.25,ING014,Dessert Inputs,Raw Material,pcs,46.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Cheesecake Base,21.0,ING015,Dessert Inputs,Raw Material,pcs,72.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Chocolate Sauce,13.6803,ING016,Syrups & Sauces,Raw Material,litre,260.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Caramel Syrup,4.4324,ING017,Syrups & Sauces,Raw Material,litre,250.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Vanilla Syrup,1.7975,ING018,Syrups & Sauces,Raw Material,litre,240.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Sugar Syrup,30.673099999999998,ING019,Syrups & Sauces,Raw Material,litre,90.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Tea Leaves,0.7034,ING020,Tea Inputs,Raw Material,kg,620.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Ice,103.62,ING022,Beverage Inputs,Raw Material,kg,12.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Lemon,4.5205,ING023,Produce,Raw Material,kg,110.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Hibiscus Concentrate,2.7032000000000003,ING024,Beverage Inputs,Raw Material,litre,390.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Mixed Berry Pulp,3.572,ING025,Fruit Inputs,Raw Material,kg,420.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Banana,3.868,ING026,Produce,Raw Material,kg,72.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Butter,3.8850000000000002,ING027,Dairy,Raw Material,kg,520.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Lettuce,3.365,ING028,Produce,Raw Material,kg,95.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Onion,1.22,ING029,Produce,Raw Material,kg,42.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Capsicum,1.5250000000000001,ING030,Produce,Raw Material,kg,84.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Tomato,2.73,ING031,Produce,Raw Material,kg,54.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Pesto Sauce,1.0,ING032,Syrups & Sauces,Raw Material,kg,340.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Chipotle Sauce,2.685,ING033,Syrups & Sauces,Raw Material,kg,280.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Salsa,0.45,ING034,Syrups & Sauces,Raw Material,kg,190.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Aioli,0.48,ING035,Syrups & Sauces,Raw Material,kg,310.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Cold Cup,772.0,ING036,Packaging,Consumable,pcs,3.2
month_01,OUT002,ABNAH Cafe Hauz Khas,Hot Cup,1040.0,ING037,Packaging,Consumable,pcs,2.8
month_01,OUT002,ABNAH Cafe Hauz Khas,Lid,1812.0,ING038,Packaging,Consumable,pcs,1.1
month_01,OUT002,ABNAH Cafe Hauz Khas,Straw,772.0,ING039,Packaging,Consumable,pcs,0.55
month_01,OUT002,ABNAH Cafe Hauz Khas,Napkin,2826.0,ING040,Packaging,Consumable,pcs,0.32
month_01,OUT002,ABNAH Cafe Hauz Khas,Dessert Box,357.0,ING041,Packaging,Consumable,pcs,5.0
month_01,OUT002,ABNAH Cafe Hauz Khas,Sandwich Box,210.0,ING042,Packaging,Consumable,pcs,6.5
month_01,OUT002,ABNAH Cafe Hauz Khas,Wrap Packaging,61.0,ING043,Packaging,Consumable,pcs,5.8
month_01,OUT003,ABNAH Cafe Saket Premium,Coffee Beans,34.2099,ING001,Coffee Inputs,Raw Material,kg,980.0
month_01,OUT003,ABNAH Cafe Saket Premium,Milk,296.509,ING002,Dairy,Raw Material,litre,72.0
