build_order,zoho_table_name,file_name,expected_rows,expected_columns,source_role,status,actual_rows,rejected_rows,implemented_by,implemented_on,notes
1,RAWN_CT_vendor_report-Copy,RAWN_CT_vendor_report.csv,70,16,qualified_master_source,NOT_STARTED,,,,,
2,RAWN_CT_closing_stock-Copy,RAWN_CT_closing_stock.csv,387,20,operational_source,NOT_STARTED,,,,,
3,RAWN_CT_enterprise_entry-Copy,RAWN_CT_enterprise_entry.csv,585,39,operational_source,NOT_STARTED,,,,,
4,RAWN_CT_enterprise_purchase_order-Copy,RAWN_CT_enterprise_purchase_order.csv,638,32,operational_source,NOT_STARTED,,,,,
5,RAWN_CT_enterprise_transfer_from-Copy,RAWN_CT_enterprise_transfer_from.csv,18,23,operational_source,NOT_STARTED,,,,,
6,RAWN_CT_enterprise_transfer_to-Copy,RAWN_CT_enterprise_transfer_to.csv,18,21,operational_source,NOT_STARTED,,,,,
7,RAWN_CT_enterprise_variance_normal-Copy,RAWN_CT_enterprise_variance_normal.csv,387,51,operational_source,NOT_STARTED,,,,,
8,RAWN_CT_enterprise_wastage_normal-Copy,RAWN_CT_enterprise_wastage_normal.csv,108,20,operational_source,NOT_STARTED,,,,,
9,RAWN_CT_gross_net_margin-Copy,RAWN_CT_gross_net_margin.csv,14576,31,operational_source,NOT_STARTED,,,,,
10,RAWN_CT_item_recipe_report-Copy,RAWN_CT_item_recipe_report.csv,723,8,operational_source,NOT_STARTED,,,,,
11,AUX_Outlet_Master-Copy,AUX_Outlet_Master.csv,3,12,demo_only_reference,NOT_STARTED,,,,,
12,AUX_Menu_Demand_Forecast-Copy,AUX_Menu_Demand_Forecast.csv,6923,12,approved_model_output,NOT_STARTED,,,,,
13,AUX_Theoretical_Consumption-Copy,AUX_Theoretical_Consumption.csv,378,10,approved_model_output,NOT_STARTED,,,,,
14,AUX_Expiry_Estimate-Copy,AUX_Expiry_Estimate.csv,206,39,demo_only_scenario,NOT_STARTED,,,,,
