source_period_code,source_outlet_code,source_outlet_name,source_period_start,source_period_end,deployment_name,store_kitchen_name,user_name,vendor_name,entry_date,transaction_number,invoice_number,batch_number,pr_number,po_number,invoice_date,item_code,item_name,item_brand,category_name,super_category_name,comment,entry_qty,unit,mrp,unit_price,charges_name,base_amt,discount_amt,gst_igst_rate,gst_igst_value,cess_rate,cess_value,other_tax_rate,other_tax_value,total_tax_amt,item_charges_amt,total_amt,source
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-02,GRN-OUT001-260102-00001,INV-2601-00001,,,PO-20260101-OUT001-0001,2026-01-02,ING002,Milk,,Dairy,Raw Material,,161.22,litre,0,73.78,,11894.81,0.0,5.0,594.74,,,,,594.74,0,12489.55,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-04,GRN-OUT001-260104-00002,INV-2601-00002,,,PO-20260101-OUT001-0001,2026-01-04,ING003,Oat Milk,,Dairy Alternative,Raw Material,,37.73,litre,0,180.58,,6813.28,0.0,5.0,340.66,,,,,340.66,0,7153.94,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,store.manager,FreshDairy Foods NCR,2026-01-02,GRN-OUT001-260102-00003,INV-2601-00003,,,PO-20260101-OUT001-0001,2026-01-02,ING004,Cream,,Dairy,Raw Material,,21.24,litre,0,211.0,,4481.64,0.0,5.0,224.08,,,,,224.08,0,4705.72,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,store.manager,NorthStar Poultry,2026-01-03,GRN-OUT001-260103-00004,INV-2601-00004,,,PO-20260101-OUT001-0001,2026-01-03,ING008,Egg,,Protein,Raw Material,,390.0,pcs,0,6.84,,2667.6,0.0,5.0,133.38,,,,,133.38,0,2800.98,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.saket,Delhi Bakery Supply Co,2026-01-05,GRN-OUT001-260105-00005,INV-2601-00005,,,PO-20260101-OUT001-0001,2026-01-05,ING009,Bread,,Bakery,Raw Material,,435.0,pcs,0,11.66,,5072.1,50.72,5.0,251.07,,,,,251.07,0,5272.45,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.saket,SweetBase Foods,2026-01-04,GRN-OUT001-260104-00006,INV-2601-00006,,,PO-20260101-OUT001-0001,2026-01-04,ING017,Caramel Syrup,,Syrups & Sauces,Raw Material,,42.61,litre,0,242.26,,10322.7,0.0,18.0,1858.09,,,,,1858.09,0,12180.79,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.saket,PackPro Disposables,2026-01-04,GRN-OUT001-260104-00007,INV-2601-00007,,,PO-20260101-OUT001-0001,2026-01-04,ING041,Dessert Box,,Packaging,Consumable,,435.0,pcs,0,5.03,,2188.05,0.0,18.0,393.85,,,,,393.85,0,2581.9,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,Delhi Bakery Supply Co,2026-01-05,GRN-OUT002-260105-00008,INV-2601-00008,,,PO-20260101-OUT002-0002,2026-01-05,ING010,Bagel,,Bakery,Raw Material,,110.0,pcs,0,28.29,,3111.9,0.0,5.0,155.59,,,,,155.59,0,3267.49,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.cp,Delhi Bakery Supply Co,2026-01-02,GRN-OUT002-260102-00009,INV-2601-00009,,,PO-20260101-OUT002-0002,2026-01-02,ING011,Tortilla,,Bakery,Raw Material,,305.0,pcs,0,15.89,,4846.45,0.0,5.0,242.32,,,,,242.32,0,5088.77,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.cp,SweetBase Foods,2026-01-04,GRN-OUT002-260104-00010,INV-2601-00010,,,PO-20260101-OUT002-0002,2026-01-04,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,27.62,litre,0,235.21,,6496.5,0.0,18.0,1169.37,,,,,1169.37,0,7665.87,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,store.manager,FrozenBerry Traders,2026-01-05,GRN-OUT002-260105-00011,INV-2601-00011,,,PO-20260101-OUT002-0002,2026-01-05,ING025,Mixed Berry Pulp,,Fruit Inputs,Raw Material,,37.39,kg,0,431.12,,16119.58,0.0,18.0,2901.52,,,,,2901.52,0,19021.1,
