source_period_code,source_outlet_code,source_outlet_name,source_period_start,source_period_end,deployment_name,store_kitchen_name,user_name,wastage_date,transaction_number,item_code,item_name,category_name,super_category_name,comment,wastage_qty,unit,unit_price,wastage_amt,source
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-09,WST-OUT001-01-001,ING040,Napkin,Packaging,Consumable,Shelf-life loss,19.369,pcs,0.32,6.2,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-10,WST-OUT001-01-002,ING038,Lid,Packaging,Consumable,Shelf-life loss,13.447,pcs,1.1,14.79,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-11,WST-OUT001-01-003,ING037,Hot Cup,Packaging,Consumable,Quality rejection,9.275,pcs,2.8,25.97,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-12,WST-OUT001-01-004,ING036,Cold Cup,Packaging,Consumable,Preparation loss,4.172,pcs,3.2,13.35,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-13,WST-OUT001-01-005,ING039,Straw,Packaging,Consumable,Quality rejection,4.172,pcs,0.55,2.29,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-14,WST-OUT001-01-006,ING002,Milk,Dairy,Raw Material,Shelf-life loss,3.6805,litre,72.0,265.0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-15,WST-OUT001-01-007,ING041,Dessert Box,Packaging,Consumable,Quality rejection,1.883,pcs,5.0,9.41,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-16,WST-OUT001-01-008,ING009,Bread,Bakery,Raw Material,Preparation loss,1.862,pcs,12.0,22.34,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-17,WST-OUT001-01-009,ING042,Sandwich Box,Packaging,Consumable,Quality rejection,1.47,pcs,6.5,9.55,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-18,WST-OUT001-01-010,ING014,Cake Base,Dessert Inputs,Raw Material,Quality rejection,0.9446,pcs,46.0,43.45,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-19,WST-OUT001-01-011,ING012,Croissant Base,Bakery,Raw Material,Shelf-life loss,0.763,pcs,42.0,32.05,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-20,WST-OUT001-01-012,ING022,Ice,Beverage Inputs,Raw Material,Quality rejection,0.5658,kg,12.0,6.79,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-09,WST-OUT002-01-001,ING040,Napkin,Packaging,Consumable,Shelf-life loss,39.564,pcs,0.32,12.66,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-10,WST-OUT002-01-002,ING038,Lid,Packaging,Consumable,Shelf-life loss,25.368,pcs,1.1,27.9,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-11,WST-OUT002-01-003,ING037,Hot Cup,Packaging,Consumable,Quality rejection,14.56,pcs,2.8,40.77,
