menu_item_type,menu_item_number,menu_item_name,recipe_item_type,recipe_qty_per_menu_unit,recipe_unit,ingredient_code,ingredient_name
Beverage,MENU0001,Espresso Shot - Solo,Raw Material,0.0096,kg,ING001,Coffee Beans
Beverage,MENU0001,Espresso Shot - Solo,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0001,Espresso Shot - Solo,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0001,Espresso Shot - Solo,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0002,Espresso Shot - Doppio,Raw Material,0.0174,kg,ING001,Coffee Beans
Beverage,MENU0002,Espresso Shot - Doppio,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0002,Espresso Shot - Doppio,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0002,Espresso Shot - Doppio,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0003,Americano - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0003,Americano - Regular,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0003,Americano - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0003,Americano - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0003,Americano - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0004,Americano - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0004,Americano - Medium,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0004,Americano - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0004,Americano - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0004,Americano - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0005,Americano - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0005,Americano - Large,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0005,Americano - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0005,Americano - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0005,Americano - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0006,Latte - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0006,Latte - Regular,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0006,Latte - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0006,Latte - Regular,Raw Material,0.18,litre,ING002,Milk
Beverage,MENU0006,Latte - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0006,Latte - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0007,Latte - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0007,Latte - Medium,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0007,Latte - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0007,Latte - Medium,Raw Material,0.207,litre,ING002,Milk
Beverage,MENU0007,Latte - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0007,Latte - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0008,Latte - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0008,Latte - Large,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0008,Latte - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0008,Latte - Large,Raw Material,0.234,litre,ING002,Milk
Beverage,MENU0008,Latte - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0008,Latte - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0009,Cappuccino - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0009,Cappuccino - Regular,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0009,Cappuccino - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0009,Cappuccino - Regular,Raw Material,0.18,litre,ING002,Milk
Beverage,MENU0009,Cappuccino - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0009,Cappuccino - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0010,Cappuccino - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0010,Cappuccino - Medium,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0010,Cappuccino - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0010,Cappuccino - Medium,Raw Material,0.207,litre,ING002,Milk
Beverage,MENU0010,Cappuccino - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0010,Cappuccino - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0011,Cappuccino - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0011,Cappuccino - Large,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0011,Cappuccino - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0011,Cappuccino - Large,Raw Material,0.234,litre,ING002,Milk
Beverage,MENU0011,Cappuccino - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0011,Cappuccino - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0012,Flat White - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0012,Flat White - Regular,Consumable,1.0,pcs,ING037,Hot Cup
