stage,path,subject,purpose,size_bytes,sha256
01_IMPORT_FILES,01_IMPORT_FILES/AUX_Expiry_Estimate.csv,AUX Expiry Estimate,demo_only_scenario,142477,054f6cf111dd1145b74fe3812ce7602b5a66a3da5f77a04c8dcda6dccb074a5d
01_IMPORT_FILES,01_IMPORT_FILES/AUX_Menu_Demand_Forecast.csv,AUX Menu Demand Forecast,approved_model_output,1111199,05d62f9608486ad5a7ac6b6ff4f82f4f4b0fb4077c5c277a95015a8d921e86bd
01_IMPORT_FILES,01_IMPORT_FILES/AUX_Outlet_Master.csv,AUX Outlet Master,demo_only_reference,737,9b7c9f0741c3c165298d422a6f2a09c0b287e950e742123031d32761b665325d
01_IMPORT_FILES,01_IMPORT_FILES/AUX_Theoretical_Consumption.csv,AUX Theoretical Consumption,approved_model_output,37396,2e2fdcd7eed0613c5e657a494e013559fdcb62dad9799989cfc9161e5ebaf1c0
01_IMPORT_FILES,01_IMPORT_FILES/IMPORT_CHECKLIST.csv,Package control,IMPORT_CHECKLIST.csv,1681,8a167a9b6e54712e8dcea3a758e681a414fa10a3cf758a8c51923911141a8699
01_IMPORT_FILES,01_IMPORT_FILES/RAWN_CT_closing_stock.csv,Closing Stock Report,operational_source,81581,feab8db8c6295fc099d299360a13e7f35ab0e0391c1cfef4cc9fdb1803bccaa9
01_IMPORT_FILES,01_IMPORT_FILES/RAWN_CT_enterprise_entry.csv,Enterprise Entry Report - Stock Entry,operational_source,189977,5ab216868e280740ab7405009bf4eee18ca97d71a7e43d5d2affad1fc0f19d69
01_IMPORT_FILES,01_IMPORT_FILES/RAWN_CT_enterprise_purchase_order.csv,Enterprise Purchase Order Report - item detail,operational_source,184979,9b377dd9d7e0e3b5e173b8641f55ec4395d4e64e2f7129e498ab1cda63773091
01_IMPORT_FILES,01_IMPORT_FILES/RAWN_CT_enterprise_transfer_from.csv,Enterprise Transfer Report - Transfer From,operational_source,4969,06e891f8f56edfa65c3a4f665f3a399152118d6cddd6399978b8b574eca2865b
01_IMPORT_FILES,01_IMPORT_FILES/RAWN_CT_enterprise_transfer_to.csv,Enterprise Transfer Report - Transfer To,operational_source,5209,3bf86c0695db3296a6ca784413357749dd3771e19c30dcee17db74e305ba2a44
01_IMPORT_FILES,01_IMPORT_FILES/RAWN_CT_enterprise_variance_normal.csv,Enterprise Variance Report - normal detailed CSV,operational_source,151953,4670a95bec36952aea589d30a6f6c3d173e3def6d614a64a07b27e4313c6c7c0
01_IMPORT_FILES,01_IMPORT_FILES/RAWN_CT_enterprise_wastage_normal.csv,Enterprise Wastage Report - transaction detail,operational_source,24031,5ca5310043f22191bcea87a26f154c6852eab0d188d9906bf71940b5f5b9f570
01_IMPORT_FILES,01_IMPORT_FILES/RAWN_CT_gross_net_margin.csv,Gross/Net Margin Report - bill item detail,operational_source,4382598,07b857bff95c675d07d2a258000d1dc6cfae035e24afacf69d8fb5453b9afa43
01_IMPORT_FILES,01_IMPORT_FILES/RAWN_CT_item_recipe_report.csv,Item Recipe Report,operational_source,58188,dd9b145004ccdd3b3a77e818b0e6c6e5e24758d336b5affce0c2b0ba4daaddf2
01_IMPORT_FILES,01_IMPORT_FILES/RAWN_CT_vendor_report.csv,Vendor Report,qualified_master_source,16917,9baee9e100ce5df1216c1f62cf6109ad9c31d14176fba9282b903f9480931848
02_QUERY_TABLES,02_QUERY_TABLES/01_std_ct_sales_item.sql,01_std_ct_sales_item.sql,"Standardize bill-item sales, realized revenue and source-reported margin fields.",1446,53151a7e2490f23a7e4391563581c4002201659fe2a0e7007d0473f4d93a0083
02_QUERY_TABLES,02_QUERY_TABLES/02_std_ct_recipe.sql,02_std_ct_recipe.sql,Standardize menu-item-to-ingredient recipe quantities.,806,c55841b8a98d77bfb8b40c64afbd6173dfdb759a5edcb0a85ee667dd1d73f714
02_QUERY_TABLES,02_QUERY_TABLES/03_std_ct_theoretical_consumption.sql,03_std_ct_theoretical_consumption.sql,Standardize the synthetic theoretical ingredient baseline at outlet-item-month grain.,873,68be296356a47c8b9f3c9055c89c3212b49a240fd9778167ce2f556b88306055
