Deployment,Store Name,Vendor Name,PO Number,PR Number,PR Deployment,PO Date,Expected Delivery,PO Close Date/Partial Recieve Date,PO Status,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Total Processed Qty,Remaining Balance Qty,Quantity,Unit,Unit Price,Subtotal,Item Wise Discount Amount,Bill Wise Discount Amount,New Subtotal,Tax,Total Item Cost,
ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,2026-01-05,Closed,ING010,Bagel,,Bakery,Raw Material,,110.0,0.0,110.0,pcs,28.29,3111.9,0,0,3111.9,155.59,3267.49,
ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-02,2026-01-02,Closed,ING011,Tortilla,,Bakery,Raw Material,,305.0,0.0,305.0,pcs,15.89,4846.45,0,0,4846.45,242.32,5088.77,
ABNAH Cafe Hauz Khas,Main Store,SweetBase Foods,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,2026-01-04,Closed,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,27.62,0.0,27.62,litre,235.21,6496.5,0,0,6496.5,1169.37,7665.87,
ABNAH Cafe Hauz Khas,Main Store,FrozenBerry Traders,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,2026-01-05,Closed,ING025,Mixed Berry Pulp,,Fruit Inputs,Raw Material,,37.39,0.0,37.39,kg,431.12,16119.58,0,0,16119.58,2901.52,19021.1,
ABNAH Cafe Hauz Khas,Main Store,FreshDairy Foods NCR,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-03,2026-01-03,Partially Received,ING027,Butter,,Dairy,Raw Material,,12.43,4.84,17.27,kg,517.08,8929.97,0,0,8929.97,1071.6,10001.57,
ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,,Pending,ING036,Cold Cup,,Packaging,Consumable,,0.0,940.0,940.0,pcs,3.24,3045.6,0,0,3045.6,548.21,3593.81,
ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-02,2026-01-03,Closed,ING038,Lid,,Packaging,Consumable,,1445.0,0.0,1445.0,pcs,1.16,1676.2,0,0,1676.2,301.72,1977.92,
ABNAH Cafe Hauz Khas,Main Store,FreshDairy Foods NCR,PO-20260104-OUT002-0005,,,2026-01-04,2026-01-06,2026-01-07,Closed,ING005,Paneer,,Dairy,Raw Material,,30.98,0.0,30.98,kg,371.83,11519.29,0,0,11519.29,575.96,12095.25,
ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260104-OUT002-0005,,,2026-01-04,2026-01-06,2026-01-06,Closed,ING014,Cake Base,,Dessert Inputs,Raw Material,,215.0,0.0,215.0,pcs,45.71,9827.65,0,0,9827.65,1768.98,11596.63,
ABNAH Cafe Hauz Khas,Main Store,SweetBase Foods,PO-20260104-OUT002-0005,,,2026-01-04,2026-01-05,2026-01-07,Closed,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,23.77,0.0,23.77,litre,254.12,6040.43,0,0,6040.43,1087.28,7127.71,
ABNAH Cafe Hauz Khas,Main Store,TeaLeaf Traders NCR,PO-20260104-OUT002-0005,,,2026-01-04,2026-01-07,2026-01-07,Closed,ING021,Matcha Powder,,Tea Inputs,Raw Material,,8.69,0.0,8.69,kg,2082.5,18096.92,0,0,18096.92,3257.45,21354.37,
ABNAH Cafe Hauz Khas,Main Store,FrozenBerry Traders,PO-20260104-OUT002-0005,,,2026-01-04,2026-01-05,2026-01-06,Closed,ING025,Mixed Berry Pulp,,Fruit Inputs,Raw Material,,22.55,0.0,22.55,kg,408.33,9207.84,0,0,9207.84,1657.41,10865.25,
ABNAH Cafe Hauz Khas,Main Store,GreenLeaf Produce Delhi,PO-20260104-OUT002-0005,,,2026-01-04,2026-01-07,2026-01-08,Closed,ING026,Banana,,Produce,Raw Material,,68.08,0.0,68.08,kg,73.69,5016.82,0,0,5016.82,250.84,5267.66,
ABNAH Cafe Hauz Khas,Main Store,SpiceRoot Foods,PO-20260104-OUT002-0005,,,2026-01-04,2026-01-07,2026-01-09,Closed,ING034,Salsa,,Syrups & Sauces,Raw Material,,23.04,0.0,23.04,kg,192.56,4436.58,0,0,4436.58,798.58,5235.16,
ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260104-OUT002-0005,,,2026-01-04,2026-01-07,,Pending,ING038,Lid,,Packaging,Consumable,,0.0,945.0,945.0,pcs,1.14,1077.3,0,0,1077.3,193.91,1271.21,
ABNAH Cafe Hauz Khas,Main Store,FreshDairy Foods NCR,PO-20260107-OUT002-0008,,,2026-01-07,2026-01-09,2026-01-11,Partially Received,ING004,Cream,,Dairy,Raw Material,,19.05,10.99,30.04,litre,221.53,6654.76,0,0,6654.76,332.74,6987.5,
ABNAH Cafe Hauz Khas,Main Store,NorthStar Poultry,PO-20260107-OUT002-0008,,,2026-01-07,2026-01-10,2026-01-12,Closed,ING007,Chicken,,Protein,Raw Material,,38.57,0.0,38.57,kg,327.72,12640.16,0,0,12640.16,632.01,13272.17,
