Item Code,Item Name,Company,Deployment,Date,Invoice Date,PO Date,Po Number,Transaction Number,Vendor Code,Vendor Name,Invoice Number,Batch Number,Category Code,Category Name,Super Category Code,Super Category Name,PO Qty,PO Unit,PO Unit Price,PO Amount,PO Comment,Purchase Quantity,Purchase Unit,Purchase Unit Price,Purchase Amount,Discount,CGST Tax,SGST Tax,IGST Tax,Other Taxes,Total
ING006,Cheese,,ABNAH Cafe Saket Premium,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260103-00014,VEND002,FreshDairy Foods NCR,INV-2601-00014,,CAT-DAI,Dairy,SUP-RAW,Raw Material,16.43,kg,502.45,8255.25,,10.04,kg,502.45,5044.6,0.0,126.11,126.12,0,0,5296.83
ING012,Croissant Base,,ABNAH Cafe Saket Premium,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260102-00015,VEND003,Delhi Bakery Supply Co,INV-2601-00015,,CAT-BAK,Bakery,SUP-RAW,Raw Material,250.0,pcs,41.35,10337.5,,250.0,pcs,41.35,10337.5,0.0,258.44,258.44,0,0,10854.38
ING015,Cheesecake Base,,ABNAH Cafe Saket Premium,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260103-00016,VEND003,Delhi Bakery Supply Co,INV-2601-00016,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,120.0,pcs,74.41,8929.2,,120.0,pcs,74.41,8929.2,0.0,803.63,803.63,0,0,10536.46
ING026,Banana,,ABNAH Cafe Saket Premium,2026-01-05,2026-01-05,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260105-00017,VEND005,GreenLeaf Produce Delhi,INV-2601-00017,,CAT-PRO,Produce,SUP-RAW,Raw Material,59.52,kg,75.23,4477.69,,59.52,kg,75.23,4477.69,0.0,111.94,111.94,0,0,4701.57
ING037,Hot Cup,,ABNAH Cafe Saket Premium,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260102-00018,VEND004,PackPro Disposables,INV-2601-00018,,CAT-PAC,Packaging,SUP-CON,Consumable,1220.0,pcs,2.94,3586.8,,738.75,pcs,2.94,2171.93,0.0,195.47,195.48,0,0,2562.88
ING040,Napkin,,ABNAH Cafe Saket Premium,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260103-00019,VEND004,PackPro Disposables,INV-2601-00019,,CAT-PAC,Packaging,SUP-CON,Consumable,2220.0,pcs,0.31,688.2,,2220.0,pcs,0.31,688.2,0.0,61.94,61.94,0,0,812.08
ING042,Sandwich Box,,ABNAH Cafe Saket Premium,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260102-00020,VEND004,PackPro Disposables,INV-2601-00020,,CAT-PAC,Packaging,SUP-CON,Consumable,330.0,pcs,6.66,2197.8,,330.0,pcs,6.66,2197.8,0.0,197.8,197.8,0,0,2593.4
ING043,Wrap Packaging,,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260101-00021,VEND004,PackPro Disposables,INV-2601-00021,,CAT-PAC,Packaging,SUP-CON,Consumable,280.0,pcs,5.76,1612.8,,280.0,pcs,5.76,1612.8,16.13,143.7,143.7,0,0,1884.07
ING005,Paneer,,ABNAH Cafe Saket Premium,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT003-0006,GRN-OUT003-260107-00034,VEND002,FreshDairy Foods NCR,INV-2601-00034,,CAT-DAI,Dairy,SUP-RAW,Raw Material,23.25,kg,377.98,8788.03,,10.75,kg,377.98,4063.29,0.0,101.58,101.58,0,0,4266.45
ING033,Chipotle Sauce,,ABNAH Cafe Saket Premium,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT003-0006,GRN-OUT003-260107-00035,VEND006,SpiceRoot Foods,INV-2601-00035,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,21.02,kg,290.76,6111.78,,21.02,kg,290.76,6111.78,0.0,550.06,550.06,0,0,7211.9
