Deployment Name,StoreKitchen Name,Item Code,Item Name,Category Name,Super Category Name,Average Price,Opening Date,Opening Qty,Unit,Amt,Purchase Qty,Amt,Indent Receive Qty,Amt,Indent Dispatch Qty,Amt,InternalIndent Receive Qty,Amt,InternalIndent Dispatch Qty,Amt,Stock In Qty,Amt,Consumption Qty,Amt,Yield Wastage,Amt,Stock Out Qty,Amt,Total (Stock Out + Consumption Qty),Amt,Wastage Qty,Amt,Reuse Qty,Amt,Return Qty,Amt,Closing Date,Closing Qty,Amt,PhysicalGain/Loss Qty,Amt,Ideal Closing Qty,Amt,Physical Adjusted Closing Qty,Amt
ABNAH Cafe Hauz Khas,Main Store,ING001,Coffee Beans,Coffee Inputs,Raw Material,991.65,2026-02-01,6.8135,kg,6756.61,48.21,47807.45,0,0,0,0,0,0,0,0,0.0,0.0,30.7611,30504.24,0,0,0.0,0.0,30.7611,30504.24,0.0,0.0,0,0,0.0,0.0,2026-02-28,24.2624,24059.81,0.048,47.6,25.1873,24976.99,24.3104,24107.41
ABNAH Cafe Hauz Khas,Main Store,ING002,Milk,Dairy,Raw Material,72.65,2026-02-01,10.0379,litre,729.25,302.22,21956.28,0,0,0,0,0,0,0,0,12.96,941.54,266.2583,19343.67,0,0,0.0,0.0,266.2583,19343.67,5.4154,393.43,0,0,0.0,0.0,2026-02-28,53.5442,3889.99,-0.24,-17.44,69.0885,5019.28,53.3042,3872.55
ABNAH Cafe Hauz Khas,Main Store,ING003,Oat Milk,Dairy Alternative,Raw Material,191.98,2026-02-01,17.3195,litre,3325.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,11.9139,2287.23,0,0,0.0,0.0,11.9139,2287.23,0.0,0.0,0,0,0.0,0.0,2026-02-28,5.4056,1037.77,0.084,16.13,5.8085,1115.12,5.4896,1053.89
ABNAH Cafe Hauz Khas,Main Store,ING004,Cream,Dairy,Raw Material,211.15,2026-02-01,33.7453,litre,7125.32,122.63,25893.32,0,0,0,0,0,0,0,0,0.0,0.0,7.2708,1535.23,0,0,0.0,0.0,7.2708,1535.23,0.0,0.0,0,0,0.0,0.0,2026-02-28,149.1045,31483.42,0.0,0.0,149.5354,31574.4,149.1045,31483.42
ABNAH Cafe Hauz Khas,Main Store,ING005,Paneer,Dairy,Raw Material,359.23,2026-02-01,88.1513,kg,31666.59,100.53,36113.39,0,0,0,0,0,0,0,0,0.0,0.0,8.6978,3124.51,0,0,0.0,0.0,8.6978,3124.51,0.0,0.0,0,0,0.0,0.0,2026-02-28,179.9835,64655.47,-0.072,-25.86,180.4913,64837.89,179.9115,64629.61
ABNAH Cafe Hauz Khas,Main Store,ING006,Cheese,Dairy,Raw Material,473.08,2026-02-01,15.037,kg,7113.7,25.81,12210.19,0,0,0,0,0,0,0,0,0.0,0.0,6.2558,2959.49,0,0,0.0,0.0,6.2558,2959.49,0.0,0.0,0,0,0.0,0.0,2026-02-28,34.5912,16364.4,-0.04,-18.92,34.962,16539.82,34.5512,16345.48
ABNAH Cafe Hauz Khas,Main Store,ING007,Chicken,Protein,Raw Material,333.3,2026-02-01,182.7042,kg,60895.31,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,8.851,2950.04,0,0,0.0,0.0,8.851,2950.04,0.0,0.0,0,0,0.0,0.0,2026-02-28,173.8532,57945.27,-0.056,-18.66,174.1442,58042.26,173.7972,57926.61
ABNAH Cafe Hauz Khas,Main Store,ING008,Egg,Protein,Raw Material,7.05,2026-02-01,657.292,pcs,4633.91,630.0,4441.5,0,0,0,0,0,0,0,0,0.0,0.0,22.726,160.22,0,0,0.0,0.0,22.726,160.22,0.0,0.0,0,0,0.0,0.0,2026-02-28,1264.566,8915.19,-0.48,-3.38,1265.292,8920.31,1264.086,8911.81
ABNAH Cafe Hauz Khas,Main Store,ING009,Bread,Bakery,Raw Material,11.83,2026-02-01,1162.032,pcs,13746.84,294.29,3481.45,0,0,0,0,0,0,0,0,0.0,0.0,225.194,2664.05,0,0,0.0,0.0,225.194,2664.05,3.2962,38.99,0,0,0.0,0.0,2026-02-28,1227.8318,14525.25,-0.6,-7.1,1235.0258,14610.36,1227.2318,14518.15
ABNAH Cafe Hauz Khas,Main Store,ING010,Bagel,Bakery,Raw Material,27.75,2026-02-01,676.056,pcs,18760.55,145.0,4023.75,0,0,0,0,0,0,0,0,0.0,0.0,24.84,689.31,0,0,0.0,0.0,24.84,689.31,0.0,0.0,0,0,0.0,0.0,2026-02-28,796.216,22094.99,-0.12,-3.33,797.056,22118.3,796.096,22091.66
