Deployment Name,Store/Kitchen Name,User Name,Vendor Name,Date,Transaction Number,Invoice Number,Batch Number,PR Number,PO Number,Invoice Date,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Quantity,Unit,MRP,Unit Price,Charges Name,Amount,Discount,GST/IGST Rate,GST/IGST Value,CESS Rate,CESS Value,Other Taxes Rate,Other Taxes Value,Total Tax,Item Charges Amount,Total,Source
ABNAH Cafe Hauz Khas,Main Store,store.manager,FreshDairy Foods NCR,2026-02-02,GRN-OUT002-260202-00170,INV-2602-00170,,,PO-20260128-OUT002-0029,2026-02-02,ING027,Butter,,Dairy,Raw Material,,23.37,kg,0,548.17,,12810.73,0.0,12.0,1537.29,,,,,1537.29,0,14348.02,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,BeanCraft Roasters Delhi,2026-02-03,GRN-OUT002-260203-00189,INV-2602-00189,,,PO-20260131-OUT002-0032,2026-02-03,ING001,Coffee Beans,,Coffee Inputs,Raw Material,,11.64,kg,0,1018.69,,11857.55,0.0,5.0,592.88,,,,,592.88,0,12450.43,
ABNAH Cafe Hauz Khas,Main Store,ops.saket,FreshDairy Foods NCR,2026-02-05,GRN-OUT002-260205-00190,INV-2602-00190,,,PO-20260131-OUT002-0032,2026-02-05,ING002,Milk,,Dairy,Raw Material,,112.52,litre,0,71.95,,8095.81,80.96,5.0,400.74,,,,,400.74,0,8415.59,
ABNAH Cafe Hauz Khas,Main Store,ops.cp,FreshDairy Foods NCR,2026-02-04,GRN-OUT002-260204-00191,INV-2602-00191,,,PO-20260131-OUT002-0032,2026-02-04,ING004,Cream,,Dairy,Raw Material,,29.66,litre,0,211.4,Freight,6270.12,0.0,5.0,313.51,,,,,313.51,0,6583.63,
ABNAH Cafe Hauz Khas,Main Store,store.manager,FreshDairy Foods NCR,2026-02-02,GRN-OUT002-260202-00192,INV-2602-00192,,,PO-20260131-OUT002-0032,2026-02-02,ING005,Paneer,,Dairy,Raw Material,,18.39,kg,0,371.18,,6826.0,0.0,5.0,341.3,,,,,341.3,0,7167.3,
ABNAH Cafe Hauz Khas,Main Store,store.manager,SweetBase Foods,2026-02-04,GRN-OUT002-260204-00193,INV-2602-00193,,,PO-20260131-OUT002-0032,2026-02-04,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,31.13,litre,0,237.99,,7408.63,0.0,18.0,1333.55,,,,,1333.55,0,8742.18,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,GreenLeaf Produce Delhi,2026-02-03,GRN-OUT002-260203-00194,INV-2602-00194,,,PO-20260131-OUT002-0032,2026-02-03,ING030,Capsicum,,Produce,Raw Material,,34.42,kg,0,88.64,,3050.99,0.0,5.0,152.55,,,,,152.55,0,3203.54,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,Delhi Bakery Supply Co,2026-02-04,GRN-OUT002-260204-00209,INV-2602-00209,,,PO-20260201-OUT002-0035,2026-02-04,ING010,Bagel,,Bakery,Raw Material,,145.0,pcs,0,27.75,,4023.75,0.0,5.0,201.19,,,,,201.19,0,4224.94,
ABNAH Cafe Hauz Khas,Main Store,ops.hk,SweetBase Foods,2026-02-05,GRN-OUT002-260205-00210,INV-2602-00210,,,PO-20260201-OUT002-0035,2026-02-05,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,38.26,litre,0,251.88,,9636.93,0.0,18.0,1734.65,,,,,1734.65,0,11371.58,
ABNAH Cafe Hauz Khas,Main Store,ops.saket,SweetBase Foods,2026-02-03,GRN-OUT002-260203-00211,INV-2602-00211,,,PO-20260201-OUT002-0035,2026-02-03,ING019,Sugar Syrup,,Syrups & Sauces,Raw Material,,23.78,litre,0,88.93,,2114.76,0.0,18.0,380.66,,,,,380.66,0,2495.42,
