Deployment Name,Store/Kitchen Name,User Name,Date,Transaction Number,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Quantity,Unit,Unit Price,Amount,Source
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING001,ING001,Coffee Beans,,Coffee Inputs,Raw Material,Month-end physical stock take,24.3104,kg,991.65,24107.41,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING002,ING002,Milk,,Dairy,Raw Material,Month-end physical stock take,53.3042,litre,72.65,3872.55,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING003,ING003,Oat Milk,,Dairy Alternative,Raw Material,Month-end physical stock take,5.4896,litre,191.98,1053.89,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING004,ING004,Cream,,Dairy,Raw Material,Month-end physical stock take,149.1045,litre,211.15,31483.42,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING005,ING005,Paneer,,Dairy,Raw Material,Month-end physical stock take,179.9115,kg,359.23,64629.61,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING006,ING006,Cheese,,Dairy,Raw Material,Month-end physical stock take,34.5512,kg,473.08,16345.48,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING007,ING007,Chicken,,Protein,Raw Material,Month-end physical stock take,173.7972,kg,333.3,57926.61,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING008,ING008,Egg,,Protein,Raw Material,Month-end physical stock take,1264.086,pcs,7.05,8911.81,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING009,ING009,Bread,,Bakery,Raw Material,Month-end physical stock take,1227.2318,pcs,11.83,14518.15,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING010,ING010,Bagel,,Bakery,Raw Material,Month-end physical stock take,796.096,pcs,27.75,22091.66,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING011,ING011,Tortilla,,Bakery,Raw Material,Month-end physical stock take,1863.476,pcs,15.71,29275.21,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING012,ING012,Croissant Base,,Bakery,Raw Material,Month-end physical stock take,563.8019,pcs,42.46,23939.03,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING013,ING013,Brownie Base,,Dessert Inputs,Raw Material,Month-end physical stock take,158.723,pcs,34.34,5450.55,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING014,ING014,Cake Base,,Dessert Inputs,Raw Material,Month-end physical stock take,205.3014,pcs,44.98,9234.46,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING015,ING015,Cheesecake Base,,Dessert Inputs,Raw Material,Month-end physical stock take,464.399,pcs,71.9,33390.29,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING016,ING016,Chocolate Sauce,,Syrups & Sauces,Raw Material,Month-end physical stock take,81.119,litre,272.21,22081.4,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING017,ING017,Caramel Syrup,,Syrups & Sauces,Raw Material,Month-end physical stock take,51.2595,litre,249.14,12770.79,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING018,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,Month-end physical stock take,166.4805,litre,248.65,41395.38,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING019,ING019,Sugar Syrup,,Syrups & Sauces,Raw Material,Month-end physical stock take,182.2051,litre,88.82,16183.46,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING020,ING020,Tea Leaves,,Tea Inputs,Raw Material,Month-end physical stock take,12.0915,kg,626.2,7571.7,
ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-02-28,PHY-OUT002-02-ING021,ING021,Matcha Powder,,Tea Inputs,Raw Material,Month-end physical stock take,33.17,kg,2134.18,70790.75,
