Deployment,Store/Kitchen,Category,Item Type,Is Asset,Item Name,Unit,Price,Opening Qty,Opening Amt,Purchase Qty,Purchase Amt,Production Qty,Production Amt,Consumption Qty,Consumption Amt,Stock In Qty,Stock In Amt,Stock Out Qty,Stock Out Amt,Wastage Qty,Wastage Amt,Resue Qty,Reuse Amt,Return Qty,Return Amt,Closing Qty,Closing Amt,Physical Qty,Physical Amt,Variance Qty,Variance Amt,Physical Gain/Loss Qty,Physical Gain/Loss Amt,Actual Consumption Qty,Actual Consumption Amt,Physical Adjusted Closing Qty,Physical Adjusted Closing Amt
ABNAH Cafe Hauz Khas,Main Store,Coffee Inputs,Raw Material,No,Coffee Beans,kg,991.65,6.8135,6756.61,0,0,0,0,30.7611,30504.24,0.0,0.0,0,0,0.0,0.0,0,0,0,0,24.2624,24059.81,24.3104,24107.41,0.9249,917.18,0.048,47.6,30.7611,30504.24,24.3104,24107.41
ABNAH Cafe Hauz Khas,Main Store,Dairy,Raw Material,No,Milk,litre,72.65,10.0379,729.25,0,0,0,0,266.2583,19343.67,12.96,941.54,0,0,5.4154,393.43,0,0,0,0,53.5442,3889.99,53.3042,3872.55,20.9597,1522.72,-0.24,-17.44,271.6737,19737.09,53.3042,3872.55
ABNAH Cafe Hauz Khas,Main Store,Dairy Alternative,Raw Material,No,Oat Milk,litre,191.98,17.3195,3325.0,0,0,0,0,11.9139,2287.23,0.0,0.0,0,0,0.0,0.0,0,0,0,0,5.4056,1037.77,5.4896,1053.89,0.4029,77.35,0.084,16.13,11.9139,2287.23,5.4896,1053.89
ABNAH Cafe Hauz Khas,Main Store,Dairy,Raw Material,No,Cream,litre,211.15,33.7453,7125.32,0,0,0,0,7.2708,1535.23,0.0,0.0,0,0,0.0,0.0,0,0,0,0,149.1045,31483.42,149.1045,31483.42,0.4309,90.98,0.0,0.0,7.2708,1535.23,149.1045,31483.42
ABNAH Cafe Hauz Khas,Main Store,Dairy,Raw Material,No,Paneer,kg,359.23,88.1513,31666.59,0,0,0,0,8.6978,3124.51,0.0,0.0,0,0,0.0,0.0,0,0,0,0,179.9835,64655.47,179.9115,64629.61,0.5078,182.42,-0.072,-25.86,8.6978,3124.51,179.9115,64629.61
ABNAH Cafe Hauz Khas,Main Store,Dairy,Raw Material,No,Cheese,kg,473.08,15.037,7113.7,0,0,0,0,6.2558,2959.49,0.0,0.0,0,0,0.0,0.0,0,0,0,0,34.5912,16364.4,34.5512,16345.48,0.3708,175.42,-0.04,-18.92,6.2558,2959.49,34.5512,16345.48
ABNAH Cafe Hauz Khas,Main Store,Protein,Raw Material,No,Chicken,kg,333.3,182.7042,60895.31,0,0,0,0,8.851,2950.04,0.0,0.0,0,0,0.0,0.0,0,0,0,0,173.8532,57945.27,173.7972,57926.61,0.291,96.99,-0.056,-18.66,8.851,2950.04,173.7972,57926.61
ABNAH Cafe Hauz Khas,Main Store,Protein,Raw Material,No,Egg,pcs,7.05,657.292,4633.91,0,0,0,0,22.726,160.22,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1264.566,8915.19,1264.086,8911.81,0.726,5.12,-0.48,-3.38,22.726,160.22,1264.086,8911.81
ABNAH Cafe Hauz Khas,Main Store,Bakery,Raw Material,No,Bread,pcs,11.83,1162.032,13746.84,0,0,0,0,225.194,2664.05,0.0,0.0,0,0,3.2962,38.99,0,0,0,0,1227.8318,14525.25,1227.2318,14518.15,10.4902,124.1,-0.6,-7.1,228.4902,2703.04,1227.2318,14518.15
ABNAH Cafe Hauz Khas,Main Store,Bakery,Raw Material,No,Bagel,pcs,27.75,676.056,18760.55,0,0,0,0,24.84,689.31,0.0,0.0,0,0,0.0,0.0,0,0,0,0,796.216,22094.99,796.096,22091.66,0.84,23.31,-0.12,-3.33,24.84,689.31,796.096,22091.66
ABNAH Cafe Hauz Khas,Main Store,Bakery,Raw Material,No,Tortilla,pcs,15.71,1492.065,23440.34,0,0,0,0,52.989,832.46,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1864.076,29284.63,1863.476,29275.21,1.989,31.25,-0.6,-9.43,52.989,832.46,1863.476,29275.21
