Type,Item Code,Item Name,Parent Item Quantity,Parent Price Per Unit,Parent Subtotal,Consumed Quantity,Unit,Price Per Unit,Subtotal,Consumption Source
Menu Item,MENU0001,Espresso Shot - Solo,,,,0.0384,kg,980.0,37.63,Recipe:ING001
Menu Item,MENU0001,Espresso Shot - Solo,,,,4.0,pcs,2.8,11.2,Recipe:ING037
Menu Item,MENU0001,Espresso Shot - Solo,,,,4.0,pcs,1.1,4.4,Recipe:ING038
Menu Item,MENU0001,Espresso Shot - Solo,,,,4.0,pcs,0.32,1.28,Recipe:ING040
Menu Item,MENU0002,Espresso Shot - Doppio,,,,0.087,kg,980.0,85.26,Recipe:ING001
Menu Item,MENU0002,Espresso Shot - Doppio,,,,5.0,pcs,2.8,14.0,Recipe:ING037
Menu Item,MENU0002,Espresso Shot - Doppio,,,,5.0,pcs,1.1,5.5,Recipe:ING038
Menu Item,MENU0002,Espresso Shot - Doppio,,,,5.0,pcs,0.32,1.6,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,0.864,kg,980.0,846.72,Recipe:ING001
Menu Item,MENU0003,Americano - Regular,,,,48.0,pcs,2.8,134.4,Recipe:ING037
Menu Item,MENU0003,Americano - Regular,,,,48.0,pcs,1.1,52.8,Recipe:ING038
Menu Item,MENU0003,Americano - Regular,,,,48.0,pcs,0.32,15.36,Recipe:ING040
Menu Item,MENU0003,Americano - Regular,,,,0.72,litre,90.0,64.8,Recipe:ING019
Menu Item,MENU0004,Americano - Medium,,,,0.828,kg,980.0,811.44,Recipe:ING001
Menu Item,MENU0004,Americano - Medium,,,,40.0,pcs,2.8,112.0,Recipe:ING037
Menu Item,MENU0004,Americano - Medium,,,,40.0,pcs,1.1,44.0,Recipe:ING038
Menu Item,MENU0004,Americano - Medium,,,,40.0,pcs,0.32,12.8,Recipe:ING040
Menu Item,MENU0004,Americano - Medium,,,,0.688,litre,90.0,61.92,Recipe:ING019
Menu Item,MENU0005,Americano - Large,,,,0.6552,kg,980.0,642.1,Recipe:ING001
Menu Item,MENU0005,Americano - Large,,,,28.0,pcs,2.8,78.4,Recipe:ING037
Menu Item,MENU0005,Americano - Large,,,,28.0,pcs,1.1,30.8,Recipe:ING038
Menu Item,MENU0005,Americano - Large,,,,28.0,pcs,0.32,8.96,Recipe:ING040
Menu Item,MENU0005,Americano - Large,,,,0.546,litre,90.0,49.14,Recipe:ING019
Menu Item,MENU0006,Latte - Regular,,,,1.062,kg,980.0,1040.76,Recipe:ING001
Menu Item,MENU0006,Latte - Regular,,,,59.0,pcs,2.8,165.2,Recipe:ING037
Menu Item,MENU0006,Latte - Regular,,,,59.0,pcs,1.1,64.9,Recipe:ING038
Menu Item,MENU0006,Latte - Regular,,,,10.62,litre,72.0,764.64,Recipe:ING002
Menu Item,MENU0006,Latte - Regular,,,,59.0,pcs,0.32,18.88,Recipe:ING040
Menu Item,MENU0006,Latte - Regular,,,,0.885,litre,90.0,79.65,Recipe:ING019
Menu Item,MENU0007,Latte - Medium,,,,0.8073,kg,980.0,791.15,Recipe:ING001
Menu Item,MENU0007,Latte - Medium,,,,39.0,pcs,2.8,109.2,Recipe:ING037
Menu Item,MENU0007,Latte - Medium,,,,39.0,pcs,1.1,42.9,Recipe:ING038
Menu Item,MENU0007,Latte - Medium,,,,8.073,litre,72.0,581.26,Recipe:ING002
Menu Item,MENU0007,Latte - Medium,,,,39.0,pcs,0.32,12.48,Recipe:ING040
Menu Item,MENU0007,Latte - Medium,,,,0.6708,litre,90.0,60.37,Recipe:ING019
Menu Item,MENU0008,Latte - Large,,,,0.5148,kg,980.0,504.5,Recipe:ING001
Menu Item,MENU0008,Latte - Large,,,,22.0,pcs,2.8,61.6,Recipe:ING037
Menu Item,MENU0008,Latte - Large,,,,22.0,pcs,1.1,24.2,Recipe:ING038
Menu Item,MENU0008,Latte - Large,,,,5.148,litre,72.0,370.66,Recipe:ING002
Menu Item,MENU0008,Latte - Large,,,,22.0,pcs,0.32,7.04,Recipe:ING040
Menu Item,MENU0008,Latte - Large,,,,0.429,litre,90.0,38.61,Recipe:ING019
Menu Item,MENU0009,Cappuccino - Regular,,,,1.026,kg,980.0,1005.48,Recipe:ING001
Menu Item,MENU0009,Cappuccino - Regular,,,,57.0,pcs,2.8,159.6,Recipe:ING037
Menu Item,MENU0009,Cappuccino - Regular,,,,57.0,pcs,1.1,62.7,Recipe:ING038
Menu Item,MENU0009,Cappuccino - Regular,,,,10.26,litre,72.0,738.72,Recipe:ING002
Menu Item,MENU0009,Cappuccino - Regular,,,,57.0,pcs,0.32,18.24,Recipe:ING040
Menu Item,MENU0009,Cappuccino - Regular,,,,0.855,litre,90.0,76.95,Recipe:ING019
Menu Item,MENU0010,Cappuccino - Medium,,,,1.1799,kg,980.0,1156.3,Recipe:ING001
Menu Item,MENU0010,Cappuccino - Medium,,,,57.0,pcs,2.8,159.6,Recipe:ING037
Menu Item,MENU0010,Cappuccino - Medium,,,,57.0,pcs,1.1,62.7,Recipe:ING038
Menu Item,MENU0010,Cappuccino - Medium,,,,11.799,litre,72.0,849.53,Recipe:ING002
Menu Item,MENU0010,Cappuccino - Medium,,,,57.0,pcs,0.32,18.24,Recipe:ING040
Menu Item,MENU0010,Cappuccino - Medium,,,,0.9804,litre,90.0,88.24,Recipe:ING019
Menu Item,MENU0011,Cappuccino - Large,,,,0.6786,kg,980.0,665.03,Recipe:ING001
Menu Item,MENU0011,Cappuccino - Large,,,,29.0,pcs,2.8,81.2,Recipe:ING037
Menu Item,MENU0011,Cappuccino - Large,,,,29.0,pcs,1.1,31.9,Recipe:ING038
Menu Item,MENU0011,Cappuccino - Large,,,,6.786,litre,72.0,488.59,Recipe:ING002
Menu Item,MENU0011,Cappuccino - Large,,,,29.0,pcs,0.32,9.28,Recipe:ING040
Menu Item,MENU0011,Cappuccino - Large,,,,0.5655,litre,90.0,50.9,Recipe:ING019
Menu Item,MENU0012,Flat White - Regular,,,,0.666,kg,980.0,652.68,Recipe:ING001
Menu Item,MENU0012,Flat White - Regular,,,,37.0,pcs,2.8,103.6,Recipe:ING037
Menu Item,MENU0012,Flat White - Regular,,,,37.0,pcs,1.1,40.7,Recipe:ING038
Menu Item,MENU0012,Flat White - Regular,,,,6.66,litre,72.0,479.52,Recipe:ING002
Menu Item,MENU0012,Flat White - Regular,,,,37.0,pcs,0.32,11.84,Recipe:ING040
Menu Item,MENU0012,Flat White - Regular,,,,0.555,litre,90.0,49.95,Recipe:ING019
Menu Item,MENU0013,Flat White - Medium,,,,1.0143,kg,980.0,994.01,Recipe:ING001
Menu Item,MENU0013,Flat White - Medium,,,,49.0,pcs,2.8,137.2,Recipe:ING037
Menu Item,MENU0013,Flat White - Medium,,,,49.0,pcs,1.1,53.9,Recipe:ING038
Menu Item,MENU0013,Flat White - Medium,,,,10.143,litre,72.0,730.3,Recipe:ING002
Menu Item,MENU0013,Flat White - Medium,,,,49.0,pcs,0.32,15.68,Recipe:ING040
Menu Item,MENU0013,Flat White - Medium,,,,0.8428,litre,90.0,75.85,Recipe:ING019
Menu Item,MENU0014,Flat White - Large,,,,0.5616,kg,980.0,550.37,Recipe:ING001
Menu Item,MENU0014,Flat White - Large,,,,24.0,pcs,2.8,67.2,Recipe:ING037
Menu Item,MENU0014,Flat White - Large,,,,24.0,pcs,1.1,26.4,Recipe:ING038
Menu Item,MENU0014,Flat White - Large,,,,5.616,litre,72.0,404.35,Recipe:ING002
Menu Item,MENU0014,Flat White - Large,,,,24.0,pcs,0.32,7.68,Recipe:ING040
Menu Item,MENU0014,Flat White - Large,,,,0.468,litre,90.0,42.12,Recipe:ING019
Menu Item,MENU0015,Mocha - Regular,,,,1.1,litre,260.0,286.0,Recipe:ING016
Menu Item,MENU0015,Mocha - Regular,,,,0.792,kg,980.0,776.16,Recipe:ING001
Menu Item,MENU0015,Mocha - Regular,,,,44.0,pcs,2.8,123.2,Recipe:ING037
Menu Item,MENU0015,Mocha - Regular,,,,44.0,pcs,1.1,48.4,Recipe:ING038
Menu Item,MENU0015,Mocha - Regular,,,,7.92,litre,72.0,570.24,Recipe:ING002
Menu Item,MENU0015,Mocha - Regular,,,,44.0,pcs,0.32,14.08,Recipe:ING040
Menu Item,MENU0015,Mocha - Regular,,,,0.66,litre,90.0,59.4,Recipe:ING019
Menu Item,MENU0016,Mocha - Medium,,,,1.1767,litre,260.0,305.94,Recipe:ING016
Menu Item,MENU0016,Mocha - Medium,,,,0.8487,kg,980.0,831.73,Recipe:ING001
Menu Item,MENU0016,Mocha - Medium,,,,41.0,pcs,2.8,114.8,Recipe:ING037
Menu Item,MENU0016,Mocha - Medium,,,,41.0,pcs,1.1,45.1,Recipe:ING038
Menu Item,MENU0016,Mocha - Medium,,,,8.487,litre,72.0,611.06,Recipe:ING002
Menu Item,MENU0016,Mocha - Medium,,,,41.0,pcs,0.32,13.12,Recipe:ING040
Menu Item,MENU0016,Mocha - Medium,,,,0.7052,litre,90.0,63.47,Recipe:ING019
Menu Item,MENU0017,Mocha - Large,,,,1.2025,litre,260.0,312.65,Recipe:ING016
Menu Item,MENU0017,Mocha - Large,,,,0.8658,kg,980.0,848.48,Recipe:ING001
Menu Item,MENU0017,Mocha - Large,,,,37.0,pcs,2.8,103.6,Recipe:ING037
Menu Item,MENU0017,Mocha - Large,,,,37.0,pcs,1.1,40.7,Recipe:ING038
Menu Item,MENU0017,Mocha - Large,,,,8.658,litre,72.0,623.38,Recipe:ING002
Menu Item,MENU0017,Mocha - Large,,,,37.0,pcs,0.32,11.84,Recipe:ING040
Menu Item,MENU0017,Mocha - Large,,,,0.7215,litre,90.0,64.94,Recipe:ING019
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,0.95,litre,260.0,247.0,Recipe:ING016
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,0.684,kg,980.0,670.32,Recipe:ING001
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,38.0,pcs,2.8,106.4,Recipe:ING037
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,38.0,pcs,1.1,41.8,Recipe:ING038
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,6.84,litre,72.0,492.48,Recipe:ING002
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,38.0,pcs,0.32,12.16,Recipe:ING040
Menu Item,MENU0018,Sea Salt Mocha - Regular,,,,0.57,litre,90.0,51.3,Recipe:ING019
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,0.7462,litre,260.0,194.01,Recipe:ING016
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,0.5382,kg,980.0,527.44,Recipe:ING001
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,26.0,pcs,2.8,72.8,Recipe:ING037
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,26.0,pcs,1.1,28.6,Recipe:ING038
Menu Item,MENU0019,Sea Salt Mocha - Medium,,,,5.382,litre,72.0,387.5,Recipe:ING002
