Deployment,Date,Generation Date,Generation Time,Item Code,Item Name,Super Category Code,Super Category Name,Category Code,Category Name,Unit Name,Average Price,GK2 Main Store,Total Qty,Total Amt
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING001,Coffee Beans,SUP-RAW,Raw Material,CAT-COF,Coffee Inputs,kg,1017.34,0.0,0.0,0.0
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING002,Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,74.61,334.5541,334.5541,24961.08
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING003,Oat Milk,SUP-RAW,Raw Material,CAT-DAI,Dairy Alternative,litre,188.7,64.7147,64.7147,12211.66
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING004,Cream,SUP-RAW,Raw Material,CAT-DAI,Dairy,litre,213.85,206.1876,206.1876,44093.22
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING005,Paneer,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,384.25,158.1865,158.1865,60783.16
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING006,Cheese,SUP-RAW,Raw Material,CAT-DAI,Dairy,kg,496.96,94.2065,94.2065,46816.86
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING007,Chicken,SUP-RAW,Raw Material,CAT-PRO,Protein,kg,350.79,231.0388,231.0388,81046.1
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING008,Egg,SUP-RAW,Raw Material,CAT-PRO,Protein,pcs,7.58,1943.579,1943.579,14732.33
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING009,Bread,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,12.34,1701.6978,1701.6978,20998.95
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING010,Bagel,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,29.6,1594.966,1594.966,47210.99
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING011,Tortilla,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,15.08,2579.116,2579.116,38893.07
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING012,Croissant Base,SUP-RAW,Raw Material,CAT-BAK,Bakery,pcs,42.17,490.379,490.379,20679.28
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING013,Brownie Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,34.97,1546.134,1546.134,54068.31
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING014,Cake Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,48.17,750.8166,750.8166,36166.84
ABNAH Cafe Connaught Place,2026-03-31,2026-03-31,23:59:00,ING015,Cheesecake Base,SUP-RAW,Raw Material,CAT-DES,Dessert Inputs,pcs,74.11,854.298,854.298,63312.02
