Deployment Name,Store/Kitchen Name,User Name,Date,Transaction Number,Item Code,Item Name,Category Name,Super Category Name,Comment,Quantity,Unit,Unit Price,Sub Total,Source
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING001,ING001,Coffee Beans,Coffee Inputs,Raw Material,,0.1829,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING002,ING002,Milk,Dairy,Raw Material,,343.8342,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING003,ING003,Oat Milk,Dairy Alternative,Raw Material,,83.0674,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING004,ING004,Cream,Dairy,Raw Material,,169.1757,litre,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING005,ING005,Paneer,Dairy,Raw Material,,88.0528,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING006,ING006,Cheese,Dairy,Raw Material,,53.0157,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING007,ING007,Chicken,Protein,Raw Material,,180.0519,kg,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING008,ING008,Egg,Protein,Raw Material,,971.684,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING009,ING009,Bread,Bakery,Raw Material,,862.4632,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING010,ING010,Bagel,Bakery,Raw Material,,1271.046,pcs,0,0,
ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-03-01,OPEN-OUT001-03-ING011,ING011,Tortilla,Bakery,Raw Material,,1618.116,pcs,0,0,
