Deployment Name,StoreKitchen Name,Item Code,Item Name,Category Name,Super Category Name,Average Price,Opening Date,Opening Qty,Unit,Amt,Purchase Qty,Amt,Stock In Qty,Amt,Consumption Qty,Amt,Yield Wastage,Amt,Stock Out Qty,Amt,Total (Stock Out + Consumption Qty),Amt,Wastage Qty,Amt,Reuse Qty,Amt,Return Qty,Amt,Closing Date,Closing Qty,Amt,Latest Physical,Physical Qty,Physical Amt,Variance Qty,Variance Amt,Variance Percent,PhysicalGain/Loss Qty,Amt,Actual Consumption,Amt,Ideal Closing Qty,Amt,Physical Adjusted Closing Qty,Amt
ABNAH Cafe Saket Premium,Main Store,ING001,Coffee Beans,Coffee Inputs,Raw Material,1004.16,2026-03-01,1.3151,kg,1320.57,12.29,12341.13,3.48,3494.48,16.4017,16469.93,0,0,0.0,0.0,16.4017,16469.93,0.0,0.0,0,0,0.0,0.0,2026-03-31,0.6834,686.24,2026-03-31,0.6994,702.31,-24.3095,-24410.63,-59.71,0.016,16.07,16.4017,16469.93,-23.6261,-23724.38,0.6994,702.31
ABNAH Cafe Saket Premium,Main Store,ING002,Milk,Dairy,Raw Material,77.44,2026-03-01,11.6812,litre,904.59,314.15,24327.78,0.0,0.0,305.87,23686.57,0,0,0.0,0.0,305.87,23686.57,6.928,536.5,0,0,0.0,0.0,2026-03-31,13.0332,1009.29,2026-03-31,13.2732,1027.88,-38.519,-2982.91,-10.96,0.24,18.59,312.798,24223.08,-32.4138,-2510.12,13.2732,1027.88
ABNAH Cafe Saket Premium,Main Store,ING003,Oat Milk,Dairy Alternative,Raw Material,185.54,2026-03-01,13.0396,litre,2419.37,110.88,20572.68,0.0,0.0,25.5389,4738.49,0,0,0.0,0.0,25.5389,4738.49,0.0,0.0,0,0,0.0,0.0,2026-03-31,98.3807,18253.56,2026-03-31,98.4647,18269.14,0.7439,138.02,3.0,0.084,15.59,25.5389,4738.49,99.1246,18391.58,98.4647,18269.14
ABNAH Cafe Saket Premium,Main Store,ING004,Cream,Dairy,Raw Material,212.58,2026-03-01,113.0626,litre,24034.85,39.19,8331.01,0.0,0.0,148.4526,31558.05,0,0,5.8,1232.96,154.2526,32791.02,0.0,0.0,0,0,0.0,0.0,2026-03-31,-2.0,-425.16,2026-03-31,-2.0,-425.16,135.7572,28859.27,1069.34,0.0,0.0,148.4526,31558.05,133.7572,28434.11,-2.0,-425.16
ABNAH Cafe Saket Premium,Main Store,ING005,Paneer,Dairy,Raw Material,387.46,2026-03-01,141.0207,kg,54639.88,152.11,58936.54,0.0,0.0,8.1297,3149.93,0,0,0.0,0.0,8.1297,3149.93,0.0,0.0,0,0,0.0,0.0,2026-03-31,285.001,110426.49,2026-03-31,285.001,110426.49,0.3797,147.12,4.9,0.0,0.0,8.1297,3149.93,285.3807,110573.61,285.001,110426.49
ABNAH Cafe Saket Premium,Main Store,ING006,Cheese,Dairy,Raw Material,501.64,2026-03-01,163.0699,kg,81802.38,77.14,38696.51,0.0,0.0,7.7561,3890.77,0,0,0.0,0.0,7.7561,3890.77,0.0,0.0,0,0,0.2858,143.37,2026-03-31,232.168,116464.76,2026-03-31,232.208,116484.82,0.3411,171.11,4.6,0.04,20.07,7.7561,3890.77,232.5091,116635.86,232.208,116484.82
ABNAH Cafe Saket Premium,Main Store,ING007,Chicken,Protein,Raw Material,352.76,2026-03-01,166.856,kg,58860.12,22.15,7813.63,0.0,0.0,12.2965,4337.71,0,0,0.0,0.0,12.2965,4337.71,0.0,0.0,0,0,0.0,0.0,2026-03-31,176.7095,62336.04,2026-03-31,176.6535,62316.29,0.2765,97.54,2.3,-0.056,-19.75,12.2965,4337.71,176.986,62433.58,176.6535,62316.29
ABNAH Cafe Saket Premium,Main Store,ING008,Egg,Protein,Raw Material,7.24,2026-03-01,1294.176,pcs,9369.83,0.0,0.0,0.0,0.0,43.176,312.59,0,0,0.0,0.0,43.176,312.59,0.0,0.0,0,0,0.0,0.0,2026-03-31,1251.0,9057.24,2026-03-31,1251.48,9060.72,1.176,8.51,2.8,0.48,3.48,43.176,312.59,1252.176,9065.75,1251.48,9060.72
ABNAH Cafe Saket Premium,Main Store,ING009,Bread,Bakery,Raw Material,12.55,2026-03-01,1200.9345,pcs,15071.73,933.47,11715.05,0.0,0.0,302.294,3793.79,0,0,0.0,0.0,302.294,3793.79,3.6876,46.28,0,0,0.0,0.0,2026-03-31,1828.4229,22946.71,2026-03-31,1829.0229,22954.24,16.9816,213.12,5.88,0.6,7.53,305.9816,3840.07,1841.7169,23113.55,1829.0229,22954.24
ABNAH Cafe Saket Premium,Main Store,ING010,Bagel,Bakery,Raw Material,28.7,2026-03-01,299.937,pcs,8608.19,125.0,3587.5,0.0,0.0,24.058,690.46,0,0,0.0,0.0,24.058,690.46,0.0,0.0,0,0,0.0,0.0,2026-03-31,400.879,11505.23,2026-03-31,401.239,11515.56,1.058,30.36,4.6,0.36,10.33,24.058,690.46,401.937,11535.59,401.239,11515.56
ABNAH Cafe Saket Premium,Main Store,ING011,Tortilla,Bakery,Raw Material,14.9,2026-03-01,694.896,pcs,10353.95,345.0,5140.5,0.0,0.0,40.911,609.57,0,0,0.0,0.0,40.911,609.57,0.0,0.0,0,0,0.0,0.0,2026-03-31,998.985,14884.88,2026-03-31,998.785,14881.9,1.911,28.47,4.9,-0.2,-2.98,40.911,609.57,1000.896,14913.35,998.785,14881.9
ABNAH Cafe Saket Premium,Main Store,ING012,Croissant Base,Bakery,Raw Material,41.92,2026-03-01,479.5623,pcs,20103.25,420.0,17606.4,0.0,0.0,216.315,9067.92,0,0,0.0,0.0,216.315,9067.92,2.6413,110.72,0,0,0.0,0.0,2026-03-31,680.606,28531.0,2026-03-31,680.476,28525.55,11.9563,501.21,5.78,-0.13,-5.45,218.9563,9178.65,689.921,28921.49,680.476,28525.55
ABNAH Cafe Saket Premium,Main Store,ING013,Brownie Base,Dessert Inputs,Raw Material,35.6,2026-03-01,342.058,pcs,12177.26,215.0,7654.0,0.0,0.0,32.519,1157.68,0,0,20.88,743.33,53.399,1901.0,0.0,0.0,0,0,0.0,0.0,2026-03-31,503.659,17930.26,2026-03-31,503.239,17915.31,1.519,54.08,4.9,-0.42,-14.95,32.519,1157.68,505.178,17984.34,503.239,17915.31
ABNAH Cafe Saket Premium,Main Store,ING014,Cake Base,Dessert Inputs,Raw Material,48.67,2026-03-01,302.3668,pcs,14716.19,480.0,23361.6,0.0,0.0,275.9919,13432.53,0,0,0.0,0.0,275.9919,13432.53,3.3572,163.39,0,0,0.0,0.0,2026-03-31,503.0177,24481.87,2026-03-31,503.1177,24486.74,16.2491,790.84,6.18,0.1,4.87,279.3491,13595.92,515.9096,25109.32,503.1177,24486.74
ABNAH Cafe Saket Premium,Main Store,ING015,Cheesecake Base,Dessert Inputs,Raw Material,76.03,2026-03-01,393.758,pcs,29937.42,120.0,9123.6,0.0,0.0,38.628,2936.89,0,0,0.0,0.0,38.628,2936.89,0.0,0.0,0,0,0.0,0.0,2026-03-31,475.13,36124.13,2026-03-31,475.06,36118.81,1.628,123.78,4.4,-0.07,-5.32,38.628,2936.89,476.758,36247.91,475.06,36118.81
ABNAH Cafe Saket Premium,Main Store,ING016,Chocolate Sauce,Syrups & Sauces,Raw Material,0.0,2026-03-01,133.4469,litre,0.0,0.0,0.0,0.0,0.0,19.531,0.0,0,0,0.0,0.0,19.531,0.0,0.0,0.0,0,0,0.0,0.0,2026-03-31,113.9159,0.0,2026-03-31,113.9399,0.0,0.4391,0.0,2.3,0.024,0.0,19.531,0.0,114.355,0.0,113.9399,0.0
ABNAH Cafe Saket Premium,Main Store,ING017,Caramel Syrup,Syrups & Sauces,Raw Material,255.07,2026-03-01,54.5311,litre,13909.25,19.79,5047.84,0.0,0.0,6.5828,1679.07,0,0,0.0,0.0,6.5828,1679.07,0.0,0.0,0,0,0.0,0.0,2026-03-31,67.7383,17278.01,2026-03-31,67.7383,17278.01,0.1543,39.36,2.4,0.0,0.0,6.5828,1679.07,67.8926,17317.37,67.7383,17278.01
ABNAH Cafe Saket Premium,Main Store,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,0.0,2026-03-01,123.2433,litre,0.0,25.1,0.0,0.0,0.0,3.6345,0.0,0,0,0.0,0.0,3.6345,0.0,0.0,0.0,0,0,0.0,0.0,2026-03-31,144.7088,0.0,2026-03-31,144.6488,0.0,0.0817,0.0,2.3,-0.06,-0.0,3.6345,0.0,144.7905,0.0,144.6488,0.0
ABNAH Cafe Saket Premium,Main Store,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,96.21,2026-03-01,57.0967,litre,5493.27,23.79,2288.84,0.0,0.0,40.998,3944.42,0,0,0.0,0.0,40.998,3944.42,0.0,0.0,0,0,0.0,0.0,2026-03-31,39.8887,3837.69,2026-03-31,39.7807,3827.3,1.1554,111.16,2.9,-0.108,-10.39,40.998,3944.42,41.0441,3948.85,39.7807,3827.3
ABNAH Cafe Saket Premium,Main Store,ING020,Tea Leaves,Tea Inputs,Raw Material,655.94,2026-03-01,95.8115,kg,62846.6,14.03,9202.84,0.0,0.0,0.5861,384.45,0,0,0.0,0.0,0.5861,384.45,0.0,0.0,0,0,0.0,0.0,2026-03-31,109.2554,71664.99,2026-03-31,109.2454,71658.43,0.0149,9.77,2.61,-0.01,-6.56,0.5861,384.45,109.2703,71674.76,109.2454,71658.43
ABNAH Cafe Saket Premium,Main Store,ING021,Matcha Powder,Tea Inputs,Raw Material,2193.0,2026-03-01,6.016,kg,13193.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2026-03-31,6.016,13193.09,2026-03-31,6.016,13193.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.016,13193.09,6.016,13193.09
ABNAH Cafe Saket Premium,Main Store,ING022,Ice,Beverage Inputs,Raw Material,12.85,2026-03-01,946.8534,kg,12167.07,348.13,4473.47,0.0,0.0,127.4573,1637.83,0,0,0.0,0.0,127.4573,1637.83,1.5882,20.41,0,0,0.0,0.0,2026-03-31,1165.9379,14982.3,2026-03-31,1166.4179,14988.47,4.5755,58.8,3.68,0.48,6.17,129.0455,1658.23,1168.9252,15020.69,1166.4179,14988.47
ABNAH Cafe Saket Premium,Main Store,ING023,Lemon,Produce,Raw Material,116.6,2026-03-01,47.4697,kg,5534.97,0.0,0.0,0.0,0.0,5.2318,610.03,0,0,0.0,0.0,5.2318,610.03,0.0,0.0,0,0,0.0,0.0,2026-03-31,42.2379,4924.94,2026-03-31,42.1979,4920.28,0.1474,17.19,2.9,-0.04,-4.66,5.2318,610.03,42.3853,4942.13,42.1979,4920.28
ABNAH Cafe Saket Premium,Main Store,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,404.52,2026-03-01,37.6837,litre,15243.81,16.16,6537.04,0.0,0.0,1.6938,685.18,0,0,0.0,0.0,1.6938,685.18,0.0,0.0,0,0,0.0,0.0,2026-03-31,52.1499,21095.68,2026-03-31,52.1259,21085.97,0.0445,18.0,2.7,-0.024,-9.71,1.6938,685.18,52.1944,21113.68,52.1259,21085.97
