row_id,deployment_name,store_kitchen_name,user_name,vendor_name,date,transaction_number,invoice_number,invoice_date,item_code,item_name,category_name,super_category_name,quantity,unit,mrp,unit_price,amount,discount,gst_igst_rate,gst_igst_value,total_tax,item_charges_amount,entry_total,return_quantity,return_amount,grand_total
ENT_20260102_00008,ABNAH Cafe Hauz Khas,Main Store,ops.saket,Delhi Bakery Supply Co,2026-01-02,GRN-20260102-00008,INV-260101-00008,2026-01-02,ING010,Bagel,Bakery,Raw Material,110.0,pcs,30.7,28.31,3114.1,0.0,5,155.71,155.71,25.0,3294.81,0.0,0.0,3294.81
ENT_20260102_00009,ABNAH Cafe Hauz Khas,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-02,GRN-20260102-00009,INV-260101-00009,2026-01-02,ING027,Butter,Dairy,Raw Material,12.43,kg,605.37,520.75,6472.92,0.0,12,776.75,776.75,18.0,7267.67,0.0,0.0,7267.67
ENT_20260102_00010,ABNAH Cafe Hauz Khas,Main Store,ops.saket,PackPro Disposables,2026-01-02,GRN-20260102-00010,INV-260101-00010,2026-01-02,ING038,Lid,Packaging,Consumable,1445.0,pcs,1.35,1.16,1676.2,0.0,18,301.72,301.72,0.0,1977.92,104.69,121.44,1856.48
ENT_20260103_00013,ABNAH Cafe Hauz Khas,Main Store,ops.hk,FrozenBerry Traders,2026-01-03,GRN-20260103-00013,INV-260101-00013,2026-01-03,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,37.39,kg,482.88,436.18,16308.77,0.0,18,2935.58,2935.58,0.0,19244.35,0.0,0.0,19244.35
ENT_20260104_00011,ABNAH Cafe Hauz Khas,Main Store,store.manager,SweetBase Foods,2026-01-04,GRN-20260104-00011,INV-260101-00011,2026-01-04,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,27.62,litre,277.42,237.28,6553.67,0.0,18,1179.66,1179.66,0.0,7733.33,0.0,0.0,7733.33
ENT_20260104_00012,ABNAH Cafe Hauz Khas,Main Store,store.manager,Delhi Bakery Supply Co,2026-01-04,GRN-20260104-00012,INV-260101-00012,2026-01-04,ING011,Tortilla,Bakery,Raw Material,305.0,pcs,18.06,15.98,4873.9,48.74,5,241.26,241.26,25.0,5091.42,0.0,0.0,5091.42
ENT_20260105_00027,ABNAH Cafe Hauz Khas,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-05,GRN-20260105-00027,INV-260104-00027,2026-01-05,ING005,Paneer,Dairy,Raw Material,30.98,kg,418.4,370.19,11468.49,0.0,5,573.42,573.42,18.0,12059.91,0.0,0.0,12059.91
ENT_20260106_00032,ABNAH Cafe Hauz Khas,Main Store,ops.cp,GreenLeaf Produce Delhi,2026-01-06,GRN-20260106-00032,INV-260104-00032,2026-01-06,ING026,Banana,Produce,Raw Material,68.08,kg,82.9,75.0,5106.0,0.0,5,255.3,255.3,25.0,5386.3,0.0,0.0,5386.3
ENT_20260106_00033,ABNAH Cafe Hauz Khas,Main Store,store.manager,SpiceRoot Foods,2026-01-06,GRN-20260106-00033,INV-260104-00033,2026-01-06,ING034,Salsa,Syrups & Sauces,Raw Material,23.04,kg,224.32,194.73,4486.58,44.87,18,799.51,799.51,12.0,5253.22,0.0,0.0,5253.22
ENT_20260107_00028,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,Delhi Bakery Supply Co,2026-01-07,GRN-20260107-00028,INV-260104-00028,2026-01-07,ING014,Cake Base,Dessert Inputs,Raw Material,215.0,pcs,50.79,45.58,9799.7,98.0,18,1746.31,1746.31,0.0,11448.01,0.0,0.0,11448.01
ENT_20260107_00029,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,FrozenBerry Traders,2026-01-07,GRN-20260107-00029,INV-260104-00029,2026-01-07,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,22.55,kg,469.84,404.81,9128.47,0.0,18,1643.12,1643.12,0.0,10771.59,0.0,0.0,10771.59
ENT_20260107_00030,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,SweetBase Foods,2026-01-07,GRN-20260107-00030,INV-260104-00030,2026-01-07,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,23.77,litre,297.17,252.77,6008.34,0.0,18,1081.5,1081.5,0.0,7089.84,0.0,0.0,7089.84
ENT_20260107_00031,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,TeaLeaf Traders NCR,2026-01-07,GRN-20260107-00031,INV-260104-00031,2026-01-07,ING021,Matcha Powder,Tea Inputs,Raw Material,8.69,kg,2342.42,2105.61,18297.75,0.0,5,914.89,914.89,12.0,19224.64,0.0,0.0,19224.64
ENT_20260108_00044,ABNAH Cafe Hauz Khas,Main Store,ops.hk,Metro Wholesale Delhi,2026-01-08,GRN-20260108-00044,INV-260107-00044,2026-01-08,ING022,Ice,Beverage Inputs,Raw Material,295.67,kg,13.81,12.55,3710.66,0.0,5,185.53,185.53,12.0,3908.19,0.0,0.0,3908.19
ENT_20260108_00046,ABNAH Cafe Hauz Khas,Main Store,store.manager,ChocoCraft Ingredients,2026-01-08,GRN-20260108-00046,INV-260107-00046,2026-01-08,ING016,Chocolate Sauce,Syrups & Sauces,Raw Material,42.48,litre,295.75,271.3,11524.82,0.0,18,2074.47,2074.47,25.0,13624.29,0.0,0.0,13624.29
ENT_20260109_00043,ABNAH Cafe Hauz Khas,Main Store,ops.hk,FreshDairy Foods NCR,2026-01-09,GRN-20260109-00043,INV-260107-00043,2026-01-09,ING004,Cream,Dairy,Raw Material,19.05,litre,249.88,221.3,4215.77,0.0,5,210.79,210.79,12.0,4438.56,0.0,0.0,4438.56
ENT_20260110_00045,ABNAH Cafe Hauz Khas,Main Store,ops.cp,NorthStar Poultry,2026-01-10,GRN-20260110-00045,INV-260107-00045,2026-01-10,ING007,Chicken,Protein,Raw Material,38.57,kg,389.15,331.39,12781.71,0.0,5,639.09,639.09,18.0,13438.8,0.0,0.0,13438.8
ENT_20260111_00063,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,Delhi Bakery Supply Co,2026-01-11,GRN-20260111-00063,INV-260110-00063,2026-01-11,ING011,Tortilla,Bakery,Raw Material,310.0,pcs,17.13,15.81,4901.1,0.0,5,245.06,245.06,0.0,5146.16,0.0,0.0,5146.16
ENT_20260111_00064,ABNAH Cafe Hauz Khas,Main Store,ops.cp,Metro Wholesale Delhi,2026-01-11,GRN-20260111-00064,INV-260110-00064,2026-01-11,ING022,Ice,Beverage Inputs,Raw Material,499.49,kg,13.44,11.95,5968.91,0.0,5,298.45,298.45,25.0,6292.36,0.0,0.0,6292.36
ENT_20260112_00061,ABNAH Cafe Hauz Khas,Main Store,ops.hk,PackPro Disposables,2026-01-12,GRN-20260112-00061,INV-260110-00061,2026-01-12,ING036,Cold Cup,Packaging,Consumable,1460.0,pcs,3.76,3.35,4891.0,0.0,18,880.38,880.38,0.0,5771.38,0.0,0.0,5771.38
ENT_20260113_00060,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,Delhi Bakery Supply Co,2026-01-13,GRN-20260113-00060,INV-260110-00060,2026-01-13,ING012,Croissant Base,Bakery,Raw Material,250.0,pcs,47.77,43.93,10982.5,109.83,5,543.63,543.63,12.0,11428.3,15.59,684.87,10743.43
