row_id,deployment,date,generation_date,generation_time,item_code,item_name,super_category_code,super_category_name,category_code,category_name,unit_name,average_price,store_stock_qty,total_qty,total_amt
INV_20260101_OUT002_ING001,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING001,Coffee Beans,,Raw Material,CAT001,Coffee Inputs,kg,966.55,10.474,10.474,10123.64
INV_20260101_OUT002_ING002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING002,Milk,SUP001,Raw Material,CAT002,Dairy,litre,70.35,106.0511,106.0511,7460.69
INV_20260101_OUT002_ING003,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING003,Oat Milk,SUP001,Raw Material,CAT003,Dairy Alternative,litre,185.65,50.137,50.137,9307.93
INV_20260101_OUT002_ING004,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING004,Cream,SUP001,Raw Material,,Dairy,litre,213.86,34.5855,34.5855,7396.46
INV_20260101_OUT002_ING005,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING005,Paneer,SUP001,Raw Material,CAT002,Dairy,kg,357.69,38.8391,38.8391,13892.36
INV_20260101_OUT002_ING006,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING006,Cheese,SUP001,Raw Material,CAT002,Dairy,kg,496.75,29.6268,29.6268,14717.11
INV_20260101_OUT002_ING007,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING007,Chicken,SUP001,Raw Material,CAT004,Protein,kg,322.57,61.4677,61.4677,19827.64
INV_20260101_OUT002_ING008,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING008,Egg,SUP001,Raw Material,CAT004,Protein,pcs,6.91,714.9825,714.9825,4940.53
INV_20260101_OUT002_ING009,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING009,Bread,SUP001,Raw Material,CAT005,Bakery,pcs,12.0,666.3703,666.3703,7996.44
INV_20260101_OUT002_ING010,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING010,Bagel,SUP001,Raw Material,CAT005,Bakery,pcs,28.55,396.1904,396.1904,11311.24
