row_id,deployment,store_name,vendor_name,po_number,po_date,expected_delivery,po_status,item_code,item_name,category_name,super_category_name,total_processed_qty,remaining_balance_qty,quantity,unit,unit_price,subtotal,tax,total_item_cost
PUR_20260201_OUT002_ING010_0036,ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260201-OUT002-0035,2026-02-01,2026-02-04,Closed,ING010,Bagel,Bakery,Raw Material,145.0,0.0,145.0,pcs,27.48,3984.6,199.23,4183.83
PUR_20260201_OUT002_ING018_0036,ABNAH Cafe Hauz Khas,Main Store,SweetBase Foods,PO-20260201-OUT002-0035,2026-02-01,2026-02-04,Closed,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,38.26,0.0,38.26,litre,249.39,9541.66,1717.5,11259.16
PUR_20260201_OUT002_ING019_0036,ABNAH Cafe Hauz Khas,Main Store,SweetBase Foods,PO-20260201-OUT002-0035,2026-02-01,2026-02-03,Partially Received,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,23.78,24.26,48.04,litre,88.05,4229.92,761.39,4991.31
PUR_20260201_OUT002_ING024_0036,ABNAH Cafe Hauz Khas,Main Store,SweetBase Foods,PO-20260201-OUT002-0035,2026-02-01,2026-02-04,Closed,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,10.8,0.0,10.8,litre,411.76,4447.01,800.46,5247.47
PUR_20260201_OUT002_ING037_0036,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260201-OUT002-0035,2026-02-01,2026-02-02,Partially Received,ING037,Hot Cup,Packaging,Consumable,864.15,200.85,1065.0,pcs,2.69,2864.85,515.67,3380.52
PUR_20260201_OUT002_ING040_0036,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260201-OUT002-0035,2026-02-01,2026-02-03,Partially Received,ING040,Napkin,Packaging,Consumable,1436.26,458.74,1895.0,pcs,0.32,606.4,109.15,715.55
PUR_20260201_OUT002_ING042_0036,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260201-OUT002-0035,2026-02-01,2026-02-03,Closed,ING042,Sandwich Box,Packaging,Consumable,340.0,0.0,340.0,pcs,6.37,2165.8,389.84,2555.64
PUR_20260201_OUT002_ING043_0036,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260201-OUT002-0035,2026-02-01,2026-02-03,Closed,ING043,Wrap Packaging,Packaging,Consumable,660.0,0.0,660.0,pcs,6.12,4039.2,727.06,4766.26
PUR_20260204_OUT002_ING001_0039,ABNAH Cafe Hauz Khas,Main Store,BeanCraft Roasters Delhi,PO-20260204-OUT002-0038,2026-02-04,2026-02-05,Closed,ING001,Coffee Beans,Coffee Inputs,Raw Material,11.06,0.0,11.06,kg,1001.56,11077.25,553.86,11631.11
PUR_20260204_OUT002_ING005_0039,ABNAH Cafe Hauz Khas,Main Store,FreshDairy Foods NCR,PO-20260204-OUT002-0038,2026-02-04,2026-02-07,Closed,ING005,Paneer,Dairy,Raw Material,41.43,0.0,41.43,kg,357.38,14806.25,740.31,15546.56
PUR_20260204_OUT002_ING017_0039,ABNAH Cafe Hauz Khas,Main Store,SweetBase Foods,PO-20260204-OUT002-0038,2026-02-04,2026-02-05,Closed,ING017,Caramel Syrup,Syrups & Sauces,Raw Material,36.61,0.0,36.61,litre,246.67,9030.59,1625.51,10656.1
PUR_20260204_OUT002_ING021_0039,ABNAH Cafe Hauz Khas,Main Store,TeaLeaf Traders NCR,PO-20260204-OUT002-0038,2026-02-04,2026-02-05,Closed,ING021,Matcha Powder,Tea Inputs,Raw Material,10.56,0.0,10.56,kg,2113.05,22313.81,4016.49,26330.3
PUR_20260204_OUT002_ING025_0039,ABNAH Cafe Hauz Khas,Main Store,FrozenBerry Traders,PO-20260204-OUT002-0038,2026-02-04,2026-02-06,Closed,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,29.82,0.0,29.82,kg,414.94,12373.51,2227.23,14600.74
PUR_20260204_OUT002_ING030_0039,ABNAH Cafe Hauz Khas,Main Store,GreenLeaf Produce Delhi,PO-20260204-OUT002-0038,2026-02-04,2026-02-05,Closed,ING030,Capsicum,Produce,Raw Material,32.42,0.0,32.42,kg,89.02,2886.03,144.3,3030.33
PUR_20260204_OUT002_ING036_0039,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260204-OUT002-0038,2026-02-04,2026-02-06,Closed,ING036,Cold Cup,Packaging,Consumable,1025.0,0.0,1025.0,pcs,3.38,3464.5,623.61,4088.11
PUR_20260204_OUT002_ING042_0039,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260204-OUT002-0038,2026-02-04,2026-02-06,Closed,ING042,Sandwich Box,Packaging,Consumable,460.0,0.0,460.0,pcs,6.88,3164.8,569.66,3734.46
PUR_20260207_OUT002_ING015_0042,ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260207-OUT002-0041,2026-02-07,2026-02-08,Closed,ING015,Cheesecake Base,Dessert Inputs,Raw Material,115.0,0.0,115.0,pcs,72.95,8389.25,1510.07,9899.32
PUR_20260207_OUT002_ING016_0042,ABNAH Cafe Hauz Khas,Main Store,ChocoCraft Ingredients,PO-20260207-OUT002-0041,2026-02-07,2026-02-10,Pending,ING016,Chocolate Sauce,Syrups & Sauces,Raw Material,0.0,38.36,38.36,litre,258.46,9914.53,1784.62,11699.15
PUR_20260207_OUT002_ING030_0042,ABNAH Cafe Hauz Khas,Main Store,GreenLeaf Produce Delhi,PO-20260207-OUT002-0041,2026-02-07,2026-02-08,Partially Received,ING030,Capsicum,Produce,Raw Material,15.55,10.62,26.17,kg,85.51,2237.8,111.89,2349.69
PUR_20260207_OUT002_ING040_0042,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260207-OUT002-0041,2026-02-07,2026-02-08,Partially Received,ING040,Napkin,Packaging,Consumable,953.26,646.74,1600.0,pcs,0.32,512.0,92.16,604.16
PUR_20260207_OUT002_ING041_0042,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260207-OUT002-0041,2026-02-07,2026-02-09,Closed,ING041,Dessert Box,Packaging,Consumable,445.0,0.0,445.0,pcs,5.02,2233.9,402.1,2636.0
PUR_20260210_OUT002_ING004_0045,ABNAH Cafe Hauz Khas,Main Store,FreshDairy Foods NCR,PO-20260210-OUT002-0044,2026-02-10,2026-02-12,Closed,ING004,Cream,Dairy,Raw Material,45.96,0.0,45.96,litre,203.98,9374.92,468.75,9843.67
PUR_20260210_OUT002_ING008_0045,ABNAH Cafe Hauz Khas,Main Store,NorthStar Poultry,PO-20260210-OUT002-0044,2026-02-10,2026-02-11,Closed,ING008,Egg,Protein,Raw Material,360.0,0.0,360.0,pcs,7.04,2534.4,126.72,2661.12
PUR_20260210_OUT002_ING010_0045,ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260210-OUT002-0044,2026-02-10,2026-02-11,Pending,ING010,Bagel,Bakery,Raw Material,0.0,245.0,245.0,pcs,28.19,6906.55,345.33,7251.88
PUR_20260210_OUT002_ING011_0045,ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260210-OUT002-0044,2026-02-10,2026-02-13,Closed,ING011,Tortilla,Bakery,Raw Material,425.0,0.0,425.0,pcs,15.55,6608.75,330.44,6939.19
PUR_20260210_OUT002_ING015_0045,ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260210-OUT002-0044,2026-02-10,2026-02-12,Closed,ING015,Cheesecake Base,Dessert Inputs,Raw Material,140.0,0.0,140.0,pcs,71.17,9963.8,1793.48,11757.28
PUR_20260210_OUT002_ING028_0045,ABNAH Cafe Hauz Khas,Main Store,GreenLeaf Produce Delhi,PO-20260210-OUT002-0044,2026-02-10,2026-02-13,Closed,ING028,Lettuce,Produce,Raw Material,30.37,0.0,30.37,kg,96.01,2915.82,145.79,3061.61
PUR_20260210_OUT002_ING037_0045,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260210-OUT002-0044,2026-02-10,2026-02-11,Closed,ING037,Hot Cup,Packaging,Consumable,2405.0,0.0,2405.0,pcs,2.86,6878.3,1238.09,8116.39
PUR_20260210_OUT002_ING040_0045,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260210-OUT002-0044,2026-02-10,2026-02-12,Closed,ING040,Napkin,Packaging,Consumable,1595.0,0.0,1595.0,pcs,0.31,494.45,89.0,583.45
PUR_20260213_OUT002_ING005_0048,ABNAH Cafe Hauz Khas,Main Store,FreshDairy Foods NCR,PO-20260213-OUT002-0047,2026-02-13,2026-02-15,Closed,ING005,Paneer,Dairy,Raw Material,40.71,0.0,40.71,kg,346.89,14121.89,706.09,14827.98
PUR_20260213_OUT002_ING014_0048,ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260213-OUT002-0047,2026-02-13,2026-02-16,Closed,ING014,Cake Base,Dessert Inputs,Raw Material,175.0,0.0,175.0,pcs,44.53,7792.75,1402.69,9195.44
PUR_20260213_OUT002_ING019_0048,ABNAH Cafe Hauz Khas,Main Store,SweetBase Foods,PO-20260213-OUT002-0047,2026-02-13,2026-02-14,Closed,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,69.06,0.0,69.06,litre,88.48,6110.43,1099.88,7210.31
PUR_20260213_OUT002_ING038_0048,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260213-OUT002-0047,2026-02-13,2026-02-15,Closed,ING038,Lid,Packaging,Consumable,2130.0,0.0,2130.0,pcs,1.12,2385.6,429.41,2815.01
PUR_20260213_OUT002_ING040_0048,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260213-OUT002-0047,2026-02-13,2026-02-14,Partially Received,ING040,Napkin,Packaging,Consumable,1829.86,1520.14,3350.0,pcs,0.34,1139.0,205.02,1344.02
PUR_20260213_OUT002_ING042_0048,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260213-OUT002-0047,2026-02-13,2026-02-14,Closed,ING042,Sandwich Box,Packaging,Consumable,620.0,0.0,620.0,pcs,6.59,4085.8,735.44,4821.24
PUR_20260216_OUT002_ING001_0051,ABNAH Cafe Hauz Khas,Main Store,BeanCraft Roasters Delhi,PO-20260216-OUT002-0050,2026-02-16,2026-02-19,Closed,ING001,Coffee Beans,Coffee Inputs,Raw Material,16.07,0.0,16.07,kg,995.85,16003.31,800.17,16803.48
PUR_20260216_OUT002_ING008_0051,ABNAH Cafe Hauz Khas,Main Store,NorthStar Poultry,PO-20260216-OUT002-0050,2026-02-16,2026-02-19,Closed,ING008,Egg,Protein,Raw Material,270.0,0.0,270.0,pcs,6.9,1863.0,93.15,1956.15
PUR_20260216_OUT002_ING015_0051,ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260216-OUT002-0050,2026-02-16,2026-02-17,Closed,ING015,Cheesecake Base,Dessert Inputs,Raw Material,175.0,0.0,175.0,pcs,70.05,12258.75,2206.57,14465.32
PUR_20260216_OUT002_ING019_0051,ABNAH Cafe Hauz Khas,Main Store,SweetBase Foods,PO-20260216-OUT002-0050,2026-02-16,2026-02-18,Closed,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,71.91,0.0,71.91,litre,87.39,6284.21,1131.16,7415.37
PUR_20260216_OUT002_ING025_0051,ABNAH Cafe Hauz Khas,Main Store,FrozenBerry Traders,PO-20260216-OUT002-0050,2026-02-16,2026-02-17,Closed,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,27.26,0.0,27.26,kg,442.24,12055.46,2169.98,14225.44
PUR_20260216_OUT002_ING030_0051,ABNAH Cafe Hauz Khas,Main Store,GreenLeaf Produce Delhi,PO-20260216-OUT002-0050,2026-02-16,2026-02-18,Closed,ING030,Capsicum,Produce,Raw Material,34.57,0.0,34.57,kg,85.32,2949.51,147.48,3096.99
PUR_20260216_OUT002_ING036_0051,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260216-OUT002-0050,2026-02-16,2026-02-19,Closed,ING036,Cold Cup,Packaging,Consumable,1515.0,0.0,1515.0,pcs,3.22,4878.3,878.09,5756.39
PUR_20260219_OUT002_ING001_0054,ABNAH Cafe Hauz Khas,Main Store,BeanCraft Roasters Delhi,PO-20260219-OUT002-0053,2026-02-19,2026-02-20,Partially Received,ING001,Coffee Beans,Coffee Inputs,Raw Material,9.44,8.57,18.01,kg,942.39,16972.44,848.62,17821.06
