row_id,outlet_name,date,super_category,category,item_number,item_name,qty,net_sale
SALE_20260301_OUT003_MENU0002,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Espresso,MENU0002,Espresso Shot - Doppio,1,176.97
SALE_20260301_OUT003_MENU0003,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0003,Americano - Regular,2,373.62
SALE_20260301_OUT003_MENU0004,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0004,Americano - Medium,5,989.09
SALE_20260301_OUT003_MENU0005,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0005,Americano - Large,4,946.95
SALE_20260301_OUT003_MENU0006,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0006,Latte - Regular,4,892.28
SALE_20260301_OUT003_MENU0008,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0008,Latte - Large,1,279.6
SALE_20260301_OUT003_MENU0009,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0009,Cappuccino - Regular,4,905.23
SALE_20260301_OUT003_MENU0011,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0011,Cappuccino - Large,3,803.65
SALE_20260301_OUT003_MENU0012,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0012,Flat White - Regular,2,458.04
SALE_20260301_OUT003_MENU0013,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0013,Flat White - Medium,5,1269.35
SALE_20260301_OUT003_MENU0015,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0015,Mocha - Regular,5,1159.72
SALE_20260301_OUT003_MENU0016,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Coffee Classics,MENU0016,Mocha - Medium,1,255.66
SALE_20260301_OUT003_MENU0018,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0018,Sea Salt Mocha - Regular,1,261.59
SALE_20260301_OUT003_MENU0019,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0019,Sea Salt Mocha - Medium,2,601.12
SALE_20260301_OUT003_MENU0020,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0020,Sea Salt Mocha - Large,2,639.57
SALE_20260301_OUT003_MENU0021,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0021,Orange Zest Mocha - Regular,2,523.36
SALE_20260301_OUT003_MENU0022,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0022,Orange Zest Mocha - Medium,5,1418.42
SALE_20260301_OUT003_MENU0024,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0024,Caramel Macchiato - Regular,4,1053.38
SALE_20260301_OUT003_MENU0026,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0026,Caramel Macchiato - Large,1,310.06
SALE_20260301_OUT003_MENU0027,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0027,French Vanilla Latte - Regular,2,539.63
SALE_20260301_OUT003_MENU0028,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0028,French Vanilla Latte - Medium,2,561.01
SALE_20260301_OUT003_MENU0029,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0029,French Vanilla Latte - Large,2,625.57
SALE_20260301_OUT003_MENU0030,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0030,Vegan Iced Latte - Regular,3,848.51
SALE_20260301_OUT003_MENU0031,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0031,Vegan Iced Latte - Medium,6,1842.2
SALE_20260301_OUT003_MENU0032,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Signature Coffee,MENU0032,Vegan Iced Latte - Large,1,322.26
SALE_20260301_OUT003_MENU0033,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Cold Brew,MENU0033,Classic Cold Brew - Regular,1,228.91
SALE_20260301_OUT003_MENU0034,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Cold Brew,MENU0034,Classic Cold Brew - Medium,1,253.11
SALE_20260301_OUT003_MENU0036,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Cold Brew,MENU0036,Coffee Lemonade - Regular,2,442.51
SALE_20260301_OUT003_MENU0037,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Cold Brew,MENU0037,Coffee Lemonade - Medium,3,775.02
SALE_20260301_OUT003_MENU0040,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Cold Brew,MENU0040,Vietnamese Shakerato - Medium,1,269.79
SALE_20260301_OUT003_MENU0042,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Cold Coffee,MENU0042,Classic Cold Coffee - Regular,1,248.89
SALE_20260301_OUT003_MENU0043,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Cold Coffee,MENU0043,Classic Cold Coffee - Medium,2,581.07
SALE_20260301_OUT003_MENU0048,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Cold Coffee,MENU0048,Caramel Cold Coffee - Regular,2,543.4
SALE_20260301_OUT003_MENU0049,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Cold Coffee,MENU0049,Caramel Cold Coffee - Medium,1,324.14
SALE_20260301_OUT003_MENU0050,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Cold Coffee,MENU0050,Caramel Cold Coffee - Large,2,721.0
SALE_20260301_OUT003_MENU0052,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Tea,MENU0052,Masala Chai Latte - Medium,2,419.91
SALE_20260301_OUT003_MENU0054,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Tea,MENU0054,Himalayan Green Tea,2,422.09
SALE_20260301_OUT003_MENU0055,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Tea,MENU0055,Japanese Matcha Latte - Regular,2,507.7
SALE_20260301_OUT003_MENU0056,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Tea,MENU0056,Japanese Matcha Latte - Medium,3,857.23
SALE_20260301_OUT003_MENU0058,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Iced Tea,MENU0058,Lemon Iced Tea - Regular,1,205.81
SALE_20260301_OUT003_MENU0059,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Iced Tea,MENU0059,Lemon Iced Tea - Medium,1,228.55
SALE_20260301_OUT003_MENU0065,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Kids Beverage,MENU0065,Hot Chocolate - Medium,2,498.41
SALE_20260301_OUT003_MENU0068,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Shake,MENU0068,Choco Chip Shake - Regular,2,561.83
SALE_20260301_OUT003_MENU0069,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Shake,MENU0069,Choco Chip Shake - Medium,1,328.55
SALE_20260301_OUT003_MENU0070,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Shake,MENU0070,Choco Chip Shake - Large,1,347.81
SALE_20260301_OUT003_MENU0072,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Shake,MENU0072,Mixed Berry Shake - Medium,2,687.04
SALE_20260301_OUT003_MENU0074,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Smoothie,MENU0074,Seasonal Smoothie - Regular,1,306.47
SALE_20260301_OUT003_MENU0075,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Smoothie,MENU0075,Seasonal Smoothie - Medium,1,346.02
SALE_20260301_OUT003_MENU0076,ABNAH Cafe Saket Premium,2026-03-01,Beverage,Smoothie,MENU0076,Seasonal Smoothie - Large,1,367.59
SALE_20260301_OUT003_MENU0077,ABNAH Cafe Saket Premium,2026-03-01,Food,Wraps,MENU0077,Spicy Paneer Wrap,1,278.58
SALE_20260301_OUT003_MENU0078,ABNAH Cafe Saket Premium,2026-03-01,Food,Wraps,MENU0078,Shredded Chicken Wrap,1,277.33
SALE_20260301_OUT003_MENU0079,ABNAH Cafe Saket Premium,2026-03-01,Food,Sandwiches,MENU0079,Smoked Chipotle Paneer Sandwich,4,1137.42
SALE_20260301_OUT003_MENU0080,ABNAH Cafe Saket Premium,2026-03-01,Food,Sandwiches,MENU0080,Pesto Veg Sandwich,1,271.53
SALE_20260301_OUT003_MENU0081,ABNAH Cafe Saket Premium,2026-03-01,Food,Sandwiches,MENU0081,Pepper Chicken Sandwich,2,609.02
SALE_20260301_OUT003_MENU0083,ABNAH Cafe Saket Premium,2026-03-01,Food,Toasts,MENU0083,Chilli Cheese Garlic Toast,1,226.47
SALE_20260301_OUT003_MENU0084,ABNAH Cafe Saket Premium,2026-03-01,Food,Toasts,MENU0084,Chicken Pepperoni Avocado Toast,3,959.21
SALE_20260301_OUT003_MENU0086,ABNAH Cafe Saket Premium,2026-03-01,Food,Breakfast,MENU0086,Breakfast Pancakes,1,281.89
SALE_20260301_OUT003_MENU0088,ABNAH Cafe Saket Premium,2026-03-01,Food,Breakfast,MENU0088,Scallion Pepper Cream Cheese Bagel,1,264.03
SALE_20260301_OUT003_MENU0089,ABNAH Cafe Saket Premium,2026-03-01,Food,Breakfast,MENU0089,Masala Egg Bun,1,225.38
SALE_20260301_OUT003_MENU0090,ABNAH Cafe Saket Premium,2026-03-01,Food,Snacks,MENU0090,Marinara Cheese Pin Wheels,1,211.78
SALE_20260301_OUT003_MENU0094,ABNAH Cafe Saket Premium,2026-03-01,Food,Baked Goods,MENU0094,Butter Croissant,2,388.56
SALE_20260301_OUT003_MENU0095,ABNAH Cafe Saket Premium,2026-03-01,Food,Baked Goods,MENU0095,Almond Croissant,1,234.37
SALE_20260301_OUT003_MENU0096,ABNAH Cafe Saket Premium,2026-03-01,Food,Baked Goods,MENU0096,Chocolate Croissant,2,450.94
SALE_20260301_OUT003_MENU0097,ABNAH Cafe Saket Premium,2026-03-01,Food,Baked Goods,MENU0097,Mushroom Cheese Croissant,1,256.25
