row_id,item_number,item_name,uid,item_description,rate,category_name,super_category_name,non_veg,hsn_code,aggregator_alias_name,aggregator_alias_description,not_in_sweetshop,has_variant,is_inclusive_item,is_scannable_item,do_not_print_sticker
MROW00001,MENU0001,Espresso Shot - Solo,ABNAH-MENU0001,Premium cafe preparation: Espresso Shot - Solo,145,Espresso,Beverage,0,996331,Espresso Shot Solo,Espresso Shot - Solo available for cafe and delivery orders,True,0,False,False,False
MROW00002,MENU0002,Espresso Shot - Doppio,ABNAH-MENU0002,Premium cafe preparation: Espresso Shot - Doppio,185,Espresso,Beverage,0,996331,Espresso Shot Doppio,Espresso Shot - Doppio available for cafe and delivery orders,True,0,False,False,False
MROW00003,MENU0003,Americano - Regular,ABNAH-MENU0003,,185,Coffee Classics,Beverage,0,996331,,,True,1,False,False,False
MROW00004,MENU0004,Americano - Medium,ABNAH-MENU0004,Premium cafe preparation: Americano - Medium,210,Coffee Classics,Beverage,0,996331,Americano Medium,Americano - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00005,MENU0005,Americano - Large,ABNAH-MENU0005,Premium cafe preparation: Americano - Large,235,Coffee Classics,Beverage,0,996331,Americano Large,Americano - Large available for cafe and delivery orders,True,1,False,False,False
MROW00006,MENU0006,Latte - Regular,ABNAH-MENU0006,Premium cafe preparation: Latte - Regular,225,Coffee Classics,Beverage,0,996331,Latte Regular,Latte - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00007,MENU0007,Latte - Medium,ABNAH-MENU0007,Premium cafe preparation: Latte - Medium,250,Coffee Classics,Beverage,0,996331,Latte Medium,Latte - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00008,MENU0008,Latte - Large,ABNAH-MENU0008,Premium cafe preparation: Latte - Large,275,Coffee Classics,Beverage,0,996331,Latte Large,Latte - Large available for cafe and delivery orders,True,1,False,False,False
MROW00009,MENU0009,Cappuccino - Regular,ABNAH-MENU0009,Premium cafe preparation: Cappuccino - Regular,225,Coffee Classics,Beverage,0,996331,,,True,1,False,False,False
MROW00010,MENU0010,Cappuccino - Medium,ABNAH-MENU0010,Premium cafe preparation: Cappuccino - Medium,250,Coffee Classics,Beverage,0,996331,Cappuccino Medium,Cappuccino - Medium available for cafe and delivery orders,True,1,False,False,False
