activity_date,outlet_code,outlet_name,market_area,net_sales,sold_qty,sales_line_count,po_value,open_or_partial_po_count,pending_or_partial_po_count,remaining_value_est,receipt_value,inventory_value,low_stock_item_count,watch_stock_item_count,event_count,event_names,health_note
2026-01-01,OUT001,ABNAH Cafe Connaught Place,Connaught Place,25406.44,101,59,50793.0,2.0,2.0,3554.406494058142,0.0,371116.37,0,5,0.0,,Normal
2026-01-01,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,19255.57,76,50,50616.53,2.0,2.0,6396.797770700638,0.0,377126.95,0,4,0.0,,Normal
2026-01-01,OUT003,ABNAH Cafe Saket Premium,Saket,20151.22,76,58,44301.42,2.0,2.0,5040.73679553346,0.0,377677.23,0,7,0.0,,Normal
2026-01-02,OUT001,ABNAH Cafe Connaught Place,Connaught Place,23287.41,90,53,0.0,0.0,0.0,0.0,20136.48,390076.86,0,5,0.0,,Normal
2026-01-02,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,22204.31,88,52,0.0,0.0,0.0,0.0,12418.96,383272.45,1,3,0.0,,Normal
2026-01-02,OUT003,ABNAH Cafe Saket Premium,Saket,17760.47,69,53,0.0,0.0,0.0,0.0,22500.25,394040.89,0,7,0.0,,Normal
2026-01-03,OUT001,ABNAH Cafe Connaught Place,Connaught Place,17165.78,65,46,0.0,0.0,0.0,0.0,9638.24,394287.43,0,5,0.0,,Normal
2026-01-03,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,22025.739999999998,86,55,0.0,0.0,0.0,0.0,19244.35,395959.09,1,3,0.0,,Normal
2026-01-03,OUT003,ABNAH Cafe Saket Premium,Saket,29099.69,110,65,0.0,0.0,0.0,0.0,5222.36,391952.89,0,7,0.0,,Normal
2026-01-04,OUT001,ABNAH Cafe Connaught Place,Connaught Place,10325.02,41,34,39848.71,2.0,2.0,6098.499549797148,17441.48,406966.58,0,5,0.0,,Normal
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,17934.88,70,53,74813.23999999999,1.0,1.0,1271.21,12824.75,405886.45,1,3,0.0,,Normal
2026-01-04,OUT003,ABNAH Cafe Saket Premium,Saket,30237.98,117,66,25798.48,3.0,3.0,7986.798702472166,11322.539999999999,396191.69,0,7,0.0,,Normal
2026-01-05,OUT001,ABNAH Cafe Connaught Place,Connaught Place,23489.61,91,57,0.0,0.0,0.0,0.0,15281.18,418070.15,0,5,0.0,,Normal
