activity_date,outlet_code,outlet_name,market_area,vendor_name,item_code,item_name,category_name,super_category_name,po_status,ordered_value,received_value,po_line_count,receipt_line_count,open_or_partial_po_count,pending_or_partial_flag_count,remaining_value_est,po_vs_receipt_gap
2026-01-01,OUT001,ABNAH Cafe Connaught Place,Connaught Place,Delhi Bakery Supply Co,ING009,Bread,Bakery,Raw Material,Closed,5325.7,0.0,1,0,0,0,0.0,5325.7
2026-01-01,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING002,Milk,Dairy,Raw Material,Closed,12489.55,0.0,1,0,0,0,0.0,12489.55
2026-01-01,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING003,Oat Milk,Dairy Alternative,Raw Material,Partially Received,8938.17,0.0,1,0,1,1,1784.2210373355963,8938.17
2026-01-01,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING004,Cream,Dairy,Raw Material,Partially Received,6475.91,0.0,1,0,1,1,1770.1854567225455,6475.91
2026-01-01,OUT001,ABNAH Cafe Connaught Place,Connaught Place,NorthStar Poultry,ING008,Egg,Protein,Raw Material,Closed,2800.98,0.0,1,0,0,0,0.0,2800.98
2026-01-01,OUT001,ABNAH Cafe Connaught Place,Connaught Place,PackPro Disposables,ING041,Dessert Box,Packaging,Consumable,Closed,2581.9,0.0,1,0,0,0,0.0,2581.9
2026-01-01,OUT001,ABNAH Cafe Connaught Place,Connaught Place,SweetBase Foods,ING017,Caramel Syrup,Syrups & Sauces,Raw Material,Closed,12180.79,0.0,1,0,0,0,0.0,12180.79
2026-01-01,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Delhi Bakery Supply Co,ING010,Bagel,Bakery,Raw Material,Closed,3267.49,0.0,1,0,0,0,0.0,3267.49
2026-01-01,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Delhi Bakery Supply Co,ING011,Tortilla,Bakery,Raw Material,Closed,5088.77,0.0,1,0,0,0,0.0,5088.77
2026-01-01,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FreshDairy Foods NCR,ING027,Butter,Dairy,Raw Material,Partially Received,10001.57,0.0,1,0,1,1,2802.987770700637,10001.57
2026-01-01,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FrozenBerry Traders,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,Closed,19021.1,0.0,1,0,0,0,0.0,19021.1
