outlet_name,category_name,super_category_name,avg_inventory_value,latest_total_amt,low_stock_item_days,avg_total_qty
ABNAH Cafe Connaught Place,Tea Inputs,Raw Material,24335.719677419358,46320.2,0,21.31261935483871
ABNAH Cafe Connaught Place,Protein,Raw Material,21231.93693548387,10182.95,0,722.6592983870968
ABNAH Cafe Connaught Place,Dessert Inputs,Raw Material,19296.596451612902,28369.49,0,425.35401397849466
ABNAH Cafe Connaught Place,Dairy,Raw Material,17691.387548387094,27140.66,0,95.9997735483871
ABNAH Cafe Connaught Place,Fruit Inputs,Raw Material,17676.886451612903,17156.28,0,41.723222580645164
ABNAH Cafe Connaught Place,Dairy Alternative,Raw Material,15705.321290322581,20055.43,0,84.35654838709677
ABNAH Cafe Connaught Place,Bakery,Raw Material,12467.81,10526.72,0,663.8576024193547
ABNAH Cafe Connaught Place,Syrups & Sauces,Raw Material,12343.320414746542,11236.29,0,52.10504930875576
ABNAH Cafe Connaught Place,Packaging,Consumable,12188.43,8884.75,0,3959.751779032258
ABNAH Cafe Connaught Place,Beverage Inputs,Raw Material,11797.803225806452,22042.55,0,329.520885483871
ABNAH Cafe Connaught Place,Coffee Inputs,Raw Material,7673.707096774194,427.08,18,7.820364516129032
ABNAH Cafe Connaught Place,Produce,Raw Material,4969.76252688172,9800.01,0,79.02662096774193
ABNAH Cafe Hauz Khas,Fruit Inputs,Raw Material,50040.52322580645,55165.18,0,118.38856451612904
ABNAH Cafe Hauz Khas,Tea Inputs,Raw Material,30152.095161290323,62924.34,0,20.42763870967742
ABNAH Cafe Hauz Khas,Protein,Raw Material,25225.718870967743,7716.4,0,478.56992580645164
ABNAH Cafe Hauz Khas,Bakery,Raw Material,17712.22137096774,33509.64,0,798.7832145161291
ABNAH Cafe Hauz Khas,Dairy,Raw Material,15567.32529032258,37646.44,18,44.61337677419355
ABNAH Cafe Hauz Khas,Dessert Inputs,Raw Material,14567.415053763441,12359.08,0,321.2305344086021
ABNAH Cafe Hauz Khas,Packaging,Consumable,12950.362096774194,18220.42,0,4235.897817741936
ABNAH Cafe Hauz Khas,Syrups & Sauces,Raw Material,12678.082534562212,10236.5,0,53.372494930875575
ABNAH Cafe Hauz Khas,Beverage Inputs,Raw Material,12125.58548387097,14166.99,0,562.4272145161291
ABNAH Cafe Hauz Khas,Dairy Alternative,Raw Material,8043.4729032258065,7151.69,0,43.62415806451613
ABNAH Cafe Hauz Khas,Produce,Raw Material,5765.0616666666665,3183.95,0,77.25670215053763
ABNAH Cafe Hauz Khas,Coffee Inputs,Raw Material,4452.5706451612905,925.2,29,4.542783870967742
ABNAH Cafe Saket Premium,Tea Inputs,Raw Material,23611.316290322582,29110.86,0,21.744532258064517
ABNAH Cafe Saket Premium,Dairy,Raw Material,22145.728322580646,69171.5,6,65.10144387096774
ABNAH Cafe Saket Premium,Dessert Inputs,Raw Material,16856.19365591398,28868.39,0,362.7879139784946
ABNAH Cafe Saket Premium,Fruit Inputs,Raw Material,15375.334516129033,14436.78,0,36.38677096774194
ABNAH Cafe Saket Premium,Bakery,Raw Material,14212.182661290322,33253.31,0,600.4219008064516
ABNAH Cafe Saket Premium,Syrups & Sauces,Raw Material,11756.719170506913,6493.37,0,46.60118755760369
ABNAH Cafe Saket Premium,Packaging,Consumable,11575.642258064516,13197.44,0,3830.021864516129
ABNAH Cafe Saket Premium,Beverage Inputs,Raw Material,9305.281774193549,8178.19,0,424.60485967741937
ABNAH Cafe Saket Premium,Protein,Raw Material,8448.896451612904,3912.6,0,308.8181225806452
ABNAH Cafe Saket Premium,Dairy Alternative,Raw Material,8292.57935483871,5911.66,0,44.79482580645161
ABNAH Cafe Saket Premium,Produce,Raw Material,6430.754301075269,11380.13,0,97.5732123655914
ABNAH Cafe Saket Premium,Coffee Inputs,Raw Material,4953.070322580645,1371.33,25,4.9973064516129035
