row_id,date,generation_date,generation_time,item_code,item_name,super_category_code,super_category_name,category_code,category_name,unit_name,average_price,store_stock_qty,total_qty,total_amt,outlet_code,outlet_name,market_area,inventory_date,low_stock_flag,inventory_pressure_band
INV_20260131_OUT001_ING001,2026-01-31,2026-01-31,23:55:00,ING001,Coffee Beans,SUP001,Raw Material,CAT001,Coffee Inputs,kg,972.19,0.4393,0.4393,427.08,OUT001,ABNAH Cafe Connaught Place,Connaught Place,2026-01-31,1,Low
INV_20260131_OUT001_ING007,2026-01-31,2026-01-31,23:55:00,ING007,Chicken,SUP001,Raw Material,CAT004,Protein,kg,324.11,194.8388,194.8388,63149.2,OUT001,ABNAH Cafe Connaught Place,Connaught Place,2026-01-31,0,OK
INV_20260131_OUT001_ING021,2026-01-31,2026-01-31,23:55:00,ING021,Matcha Powder,SUP001,Raw Material,CAT008,Tea Inputs,kg,2217.54,20.8881,20.8881,46320.2,OUT001,ABNAH Cafe Connaught Place,Connaught Place,2026-01-31,0,Watch
INV_20260131_OUT001_ING013,2026-01-31,2026-01-31,23:55:00,ING013,Brownie Base,,Raw Material,CAT006,Dessert Inputs,pcs,34.8,1066.6233,1066.6233,37118.49,OUT001,ABNAH Cafe Connaught Place,Connaught Place,2026-01-31,0,OK
INV_20260131_OUT001_ING017,2026-01-31,2026-01-31,23:55:00,ING017,Caramel Syrup,SUP001,Raw Material,CAT007,Syrups & Sauces,litre,254.81,119.2152,119.2152,30377.23,OUT001,ABNAH Cafe Connaught Place,Connaught Place,2026-01-31,0,OK
INV_20260131_OUT001_ING015,2026-01-31,2026-01-31,23:55:00,ING015,Cheesecake Base,SUP001,Raw Material,CAT006,Dessert Inputs,pcs,70.82,400.5858,400.5858,28369.49,OUT001,ABNAH Cafe Connaught Place,Connaught Place,2026-01-31,0,OK
INV_20260131_OUT001_ING027,2026-01-31,2026-01-31,23:55:00,ING027,Butter,SUP001,Raw Material,,Dairy,kg,521.03,52.0904,52.0904,27140.66,OUT001,ABNAH Cafe Connaught Place,Connaught Place,2026-01-31,0,OK
INV_20260131_OUT001_ING020,2026-01-31,2026-01-31,23:55:00,ING020,Tea Leaves,,Raw Material,CAT008,Tea Inputs,kg,604.01,39.7434,39.7434,24005.41,OUT001,ABNAH Cafe Connaught Place,Connaught Place,2026-01-31,0,OK
INV_20260131_OUT001_ING036,2026-01-31,2026-01-31,23:55:00,ING036,Cold Cup,SUP002,Consumable,CAT012,Packaging,pcs,3.19,6973.1725,6973.1725,22244.42,OUT001,ABNAH Cafe Connaught Place,Connaught Place,2026-01-31,0,OK
INV_20260131_OUT001_ING024,2026-01-31,2026-01-31,23:55:00,ING024,Hibiscus Concentrate,SUP001,Raw Material,CAT009,Beverage Inputs,litre,382.01,57.7015,57.7015,22042.55,OUT001,ABNAH Cafe Connaught Place,Connaught Place,2026-01-31,0,OK
