outlet_code,outlet_name,super_category,category,net_sales,qty,line_count,sales_share_pct
OUT001,ABNAH Cafe Connaught Place,Beverage,Coffee Classics,207489.63,875,386,33.126809682331235
OUT001,ABNAH Cafe Connaught Place,Beverage,Signature Coffee,103761.81999999999,358,236,16.566119778768268
OUT001,ABNAH Cafe Connaught Place,Beverage,Cold Coffee,57679.57,194,129,9.208846427403152
OUT001,ABNAH Cafe Connaught Place,Beverage,Cold Brew,36219.65,141,115,5.782657438401372
OUT001,ABNAH Cafe Connaught Place,Beverage,Tea,35140.35,147,96,5.610341522226958
OUT001,ABNAH Cafe Connaught Place,Food,Sandwiches,30508.81,103,70,4.870891824831939
OUT001,ABNAH Cafe Connaught Place,Dessert,Desserts,26092.73,109,83,4.1658414485700055
OUT001,ABNAH Cafe Connaught Place,Beverage,Shake,24222.55,73,61,3.867257384722081
OUT001,ABNAH Cafe Connaught Place,Beverage,Iced Tea,19849.79,86,67,3.1691232740847894
OUT001,ABNAH Cafe Connaught Place,Food,Baked Goods,17320.75,73,58,2.765348749261535
OUT001,ABNAH Cafe Connaught Place,Food,Breakfast,16637.66,65,50,2.6562898414698366
OUT001,ABNAH Cafe Connaught Place,Dessert,Baked Goods,14364.12,67,51,2.2933072341695713
OUT001,ABNAH Cafe Connaught Place,Food,Wraps,8917.83,32,25,1.423778418176291
OUT001,ABNAH Cafe Connaught Place,Food,Snacks,8488.41,37,34,1.3552192587918597
OUT001,ABNAH Cafe Connaught Place,Beverage,Smoothie,7533.09,23,21,1.202697401069502
OUT001,ABNAH Cafe Connaught Place,Food,Toasts,5800.27,20,18,0.9260435829787512
OUT001,ABNAH Cafe Connaught Place,Beverage,Kids Beverage,3653.96,17,17,0.5833739137076441
OUT001,ABNAH Cafe Connaught Place,Food,Platter,1536.69,5,5,0.2453406330270172
OUT001,ABNAH Cafe Connaught Place,Beverage,Espresso,1131.89,7,7,0.18071218600820627
OUT002,ABNAH Cafe Hauz Khas,Beverage,Coffee Classics,156970.49,662,342,25.053432098803256
OUT002,ABNAH Cafe Hauz Khas,Beverage,Cold Coffee,94274.78,321,176,15.046820579840297
OUT002,ABNAH Cafe Hauz Khas,Beverage,Signature Coffee,80678.4,277,201,12.876756747335685
OUT002,ABNAH Cafe Hauz Khas,Dessert,Desserts,37924.78,167,115,6.053022454042488
OUT002,ABNAH Cafe Hauz Khas,Beverage,Cold Brew,37143.8,146,116,5.9283733598049455
OUT002,ABNAH Cafe Hauz Khas,Beverage,Iced Tea,31091.75,136,94,4.962429864734233
OUT002,ABNAH Cafe Hauz Khas,Beverage,Tea,30913.42,130,98,4.93396732667259
