outlet_code,outlet_name,market_area,ingredient_name,ingredient_unit,total_theoretical_qty,source_menu_items,sales_rows,item_code,category_name,super_category_name,top_menu_items
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Napkin,pcs,2767.0,110,1529,,,,"Almond Croissant, Americano - Large, Americano - Medium, Americano - Regular, Apple Pie, +105 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Lid,pcs,1921.0,76,1135,,,,"Americano - Large, Americano - Medium, Americano - Regular, Babyccino - Regular, Cappuccino - Large, +71 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Hot Cup,pcs,1325.0,40,689,ING037,Packaging,Consumable,"Americano - Large, Americano - Medium, Americano - Regular, Babyccino - Regular, Cappuccino - Large, +35 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Cold Cup,pcs,596.0,36,446,ING036,Packaging,Consumable,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Choco Chip Shake - Large, Choco Chip Shake - Medium, +31 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Straw,pcs,596.0,36,446,,,,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Choco Chip Shake - Large, Choco Chip Shake - Medium, +31 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Milk,litre,283.117,52,801,ING002,Dairy,Raw Material,"Babyccino - Regular, Cappuccino - Large, Cappuccino - Medium, Cappuccino - Regular, Caramel Cold Coffee - Large, +47 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Dessert Box,pcs,269.0,18,208,,,,"Almond Croissant, Apple Pie, Banana Walnut Tea Cake, Banoffee Pie, Basque Cheesecake, +13 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Bread,pcs,266.0,10,119,ING009,Bakery,Raw Material,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Hummus and Pita Platter, Marinara Cheese Pin Wheels, Masala Egg Bun, +5 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Sandwich Box,pcs,210.0,14,161,,,,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Cream Cheese Bagel, Hummus and Pita Platter, Marinara Cheese Pin Wheels, +9 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Cake Base,pcs,134.95,10,116,ING014,Dessert Inputs,Raw Material,"Apple Pie, Banana Walnut Tea Cake, Banoffee Pie, Breakfast Pancakes, Death by Chocolate Cookie, +5 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Croissant Base,pcs,109.0,8,86,ING012,Bakery,Raw Material,"Almond Croissant, Butter Croissant, Chocolate Croissant, Cinnamon Roll with Cream Cheese, Mushroom Cheese Croissant, +3 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Ice,kg,80.82600000000001,36,446,ING022,Beverage Inputs,Raw Material,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Choco Chip Shake - Large, Choco Chip Shake - Medium, +31 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Coffee Beans,kg,34.602,56,959,ING001,Coffee Inputs,Raw Material,"Americano - Large, Americano - Medium, Americano - Regular, Cappuccino - Large, Cappuccino - Medium, +51 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Bagel,pcs,34.0,2,26,ING010,Bakery,Raw Material,"Cream Cheese Bagel, Scallion Pepper Cream Cheese Bagel"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Sugar Syrup,litre,32.7913,75,1144,ING019,Syrups & Sauces,Raw Material,"Americano - Large, Americano - Medium, Americano - Regular, Babyccino - Regular, Breakfast Pancakes, +70 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Tortilla,pcs,32.0,2,25,ING011,Bakery,Raw Material,"Shredded Chicken Wrap, Spicy Paneer Wrap"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Wrap Packaging,pcs,32.0,2,25,,,,"Shredded Chicken Wrap, Spicy Paneer Wrap"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Egg,pcs,22.0,1,8,ING008,Protein,Raw Material,Masala Egg Bun
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Brownie Base,pcs,19.0,1,14,ING013,Dessert Inputs,Raw Material,Classic Chocolate Fudge Brownie
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Oat Milk,litre,16.029,3,53,ING003,Dairy Alternative,Raw Material,"Vegan Iced Latte - Large, Vegan Iced Latte - Medium, Vegan Iced Latte - Regular"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Chocolate Sauce,litre,13.134,22,287,ING016,Syrups & Sauces,Raw Material,"Choco Chip Shake - Large, Choco Chip Shake - Medium, Choco Chip Shake - Regular, Chocolate Croissant, Classic Chocolate Fudge Brownie, +17 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Cheesecake Base,pcs,11.0,1,8,ING015,Dessert Inputs,Raw Material,Basque Cheesecake
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Chicken,kg,9.65,6,77,ING007,Protein,Raw Material,"Chicken Pepperoni Avocado Toast, Pepper Chicken Sandwich, Shredded Chicken Wrap, Sriracha Chicken Croissant, Tandoori Chicken Sandwich, +1 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Paneer,kg,7.5600000000000005,4,57,ING005,Dairy,Raw Material,"Pesto Veg Sandwich, Smoked Chipotle Paneer Sandwich, Spicy Paneer Wrap, Turnover with Brioche Dough Veg"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Cream,litre,7.117800000000001,19,205,ING004,Dairy,Raw Material,"Apple Pie, Banana Walnut Tea Cake, Banoffee Pie, Basque Cheesecake, Choco Chip Shake - Large, +14 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Cheese,kg,6.475,14,168,ING006,Dairy,Raw Material,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Cream Cheese Bagel, Marinara Cheese Pin Wheels, Masala Egg Bun, +9 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Lemon,kg,3.7168,6,73,ING023,Produce,Raw Material,"Coffee Lemonade - Large, Coffee Lemonade - Medium, Coffee Lemonade - Regular, Lemon Iced Tea - Large, Lemon Iced Tea - Medium, +1 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Caramel Syrup,litre,3.7127000000000003,7,96,ING017,Syrups & Sauces,Raw Material,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Caramel Macchiato - Large, Caramel Macchiato - Medium, +2 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Mixed Berry Pulp,kg,3.644,3,32,ING025,Fruit Inputs,Raw Material,"Mixed Berry Shake - Large, Mixed Berry Shake - Medium, Mixed Berry Shake - Regular"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Tomato,kg,3.29,5,75,ING031,Produce,Raw Material,"Hummus and Pita Platter, Pepper Chicken Sandwich, Pesto Veg Sandwich, Smoked Chipotle Paneer Sandwich, Tandoori Chicken Sandwich"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Lettuce,kg,3.0100000000000002,7,100,ING028,Produce,Raw Material,"Hummus and Pita Platter, Pepper Chicken Sandwich, Pesto Veg Sandwich, Shredded Chicken Wrap, Smoked Chipotle Paneer Sandwich, +2 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Banana,kg,2.814,4,32,ING026,Produce,Raw Material,"Banana Walnut Tea Cake, Seasonal Smoothie - Large, Seasonal Smoothie - Medium, Seasonal Smoothie - Regular"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Vanilla Syrup,litre,2.5921,3,51,ING018,Syrups & Sauces,Raw Material,"French Vanilla Latte - Large, French Vanilla Latte - Medium, French Vanilla Latte - Regular"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Butter,kg,2.54,9,97,ING027,Dairy,Raw Material,"Almond Croissant, Breakfast Pancakes, Butter Croissant, Chocolate Croissant, Death by Chocolate Cookie, +4 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Chipotle Sauce,kg,2.38,5,77,ING033,Syrups & Sauces,Raw Material,"Pepper Chicken Sandwich, Shredded Chicken Wrap, Smoked Chipotle Paneer Sandwich, Spicy Paneer Wrap, Tandoori Chicken Sandwich"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Hibiscus Concentrate,litre,1.7597,3,33,ING024,Beverage Inputs,Raw Material,"Hibiscus Lime Iced Tea - Large, Hibiscus Lime Iced Tea - Medium, Hibiscus Lime Iced Tea - Regular"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Pesto Sauce,kg,0.8300000000000001,2,31,ING032,Syrups & Sauces,Raw Material,"Pesto Sundried Tomato Pin Wheel, Pesto Veg Sandwich"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Capsicum,kg,0.8,2,25,ING030,Produce,Raw Material,"Shredded Chicken Wrap, Spicy Paneer Wrap"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Onion,kg,0.64,2,25,ING029,Produce,Raw Material,"Shredded Chicken Wrap, Spicy Paneer Wrap"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Aioli,kg,0.55,3,23,ING035,Syrups & Sauces,Raw Material,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Hummus and Pita Platter"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Tea Leaves,kg,0.45539999999999997,7,77,ING020,Tea Inputs,Raw Material,"Hibiscus Lime Iced Tea - Large, Hibiscus Lime Iced Tea - Medium, Hibiscus Lime Iced Tea - Regular, Himalayan Green Tea, Lemon Iced Tea - Large, +2 more"
OUT001,ABNAH Cafe Connaught Place,Connaught Place,Salsa,kg,0.125,1,5,,,,Marinara Cheese Pin Wheels
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Napkin,pcs,2826.0,110,1595,,,,"Almond Croissant, Americano - Large, Americano - Medium, Americano - Regular, Apple Pie, +105 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Lid,pcs,1812.0,76,1144,,,,"Americano - Large, Americano - Medium, Americano - Regular, Babyccino - Regular, Cappuccino - Large, +71 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Hot Cup,pcs,1040.0,40,621,ING037,Packaging,Consumable,"Americano - Large, Americano - Medium, Americano - Regular, Babyccino - Regular, Cappuccino - Large, +35 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Cold Cup,pcs,772.0,36,523,ING036,Packaging,Consumable,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Choco Chip Shake - Large, Choco Chip Shake - Medium, +31 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Straw,pcs,772.0,36,523,,,,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Choco Chip Shake - Large, Choco Chip Shake - Medium, +31 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Dessert Box,pcs,357.0,18,258,,,,"Almond Croissant, Apple Pie, Banana Walnut Tea Cake, Banoffee Pie, Basque Cheesecake, +13 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Milk,litre,258.831,52,785,ING002,Dairy,Raw Material,"Babyccino - Regular, Cappuccino - Large, Cappuccino - Medium, Cappuccino - Regular, Caramel Cold Coffee - Large, +47 more"
