outlet_name,vendor_name,item_name,category_name,po_status,po_raised_value,receipt_booked_value,po_line_count,receipt_line_count,open_or_partial_status_count,pending_or_partial_flag_count,remaining_value_est,po_vs_receipt_gap,activity_value
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Butter,Dairy,Closed,66485.26000000001,0.0,4,0,0,0,0.0,66485.26000000001,66485.26000000001
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Butter,Dairy,Receipt row - no PO status,0.0,64699.67,0,4,0,0,0.0,-64699.67,64699.67
ABNAH Cafe Hauz Khas,NorthStar Poultry,Chicken,Protein,Closed,55161.25,0.0,3,0,0,0,0.0,55161.25,55161.25
ABNAH Cafe Hauz Khas,NorthStar Poultry,Chicken,Protein,Receipt row - no PO status,0.0,54727.979999999996,0,3,0,0,0.0,-54727.979999999996,54727.979999999996
ABNAH Cafe Connaught Place,NorthStar Poultry,Chicken,Protein,Receipt row - no PO status,0.0,47062.369999999995,0,3,0,0,0.0,-47062.369999999995,47062.369999999995
ABNAH Cafe Hauz Khas,FrozenBerry Traders,Mixed Berry Pulp,Fruit Inputs,Closed,44588.34,0.0,3,0,0,0,0.0,44588.34,44588.34
ABNAH Cafe Hauz Khas,FrozenBerry Traders,Mixed Berry Pulp,Fruit Inputs,Receipt row - no PO status,0.0,44492.78,0,3,0,0,0.0,-44492.78,44492.78
ABNAH Cafe Hauz Khas,TeaLeaf Traders NCR,Matcha Powder,Tea Inputs,Closed,40925.97,0.0,2,0,0,0,0.0,40925.97,40925.97
ABNAH Cafe Connaught Place,NorthStar Poultry,Chicken,Protein,Closed,37536.59,0.0,2,0,0,0,0.0,37536.59,37536.59
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Cheese,Dairy,Receipt row - no PO status,0.0,36551.91,0,4,0,0,0.0,-36551.91,36551.91
ABNAH Cafe Hauz Khas,TeaLeaf Traders NCR,Matcha Powder,Tea Inputs,Receipt row - no PO status,0.0,36258.79,0,2,0,0,0.0,-36258.79,36258.79
ABNAH Cafe Saket Premium,NorthStar Poultry,Chicken,Protein,Closed,34067.18,0.0,2,0,0,0,0.0,34067.18,34067.18
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Butter,Dairy,Closed,28453.93,0.0,2,0,0,0,0.0,28453.93,28453.93
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Paneer,Dairy,Closed,26959.46,0.0,2,0,0,0,0.0,26959.46,26959.46
ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Croissant Base,Bakery,Closed,26777.1,0.0,3,0,0,0,0.0,26777.1,26777.1
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Paneer,Dairy,Receipt row - no PO status,0.0,26757.4,0,2,0,0,0.0,-26757.4,26757.4
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Milk,Dairy,Receipt row - no PO status,0.0,26664.33,0,3,0,0,0.0,-26664.33,26664.33
ABNAH Cafe Connaught Place,ChocoCraft Ingredients,Brownie Base,Dessert Inputs,Closed,26532.420000000002,0.0,3,0,0,0,0.0,26532.420000000002,26532.420000000002
ABNAH Cafe Connaught Place,ChocoCraft Ingredients,Brownie Base,Dessert Inputs,Receipt row - no PO status,0.0,26228.329999999998,0,3,0,0,0.0,-26228.329999999998,26228.329999999998
ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Cheesecake Base,Dessert Inputs,Closed,26094.17,0.0,3,0,0,0,0.0,26094.17,26094.17
ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Cheesecake Base,Dessert Inputs,Receipt row - no PO status,0.0,25949.059999999998,0,3,0,0,0.0,-25949.059999999998,25949.059999999998
ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Croissant Base,Bakery,Receipt row - no PO status,0.0,25775.56,0,3,0,0,0.0,-25775.56,25775.56
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Cheese,Dairy,Partially Received,24472.559999999998,0.0,2,0,2,2,10478.40716880572,24472.559999999998,24472.559999999998
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Milk,Dairy,Partially Received,24337.78,0.0,3,0,3,3,6053.051099386756,24337.78,24337.78
ABNAH Cafe Hauz Khas,BeanCraft Roasters Delhi,Coffee Beans,Coffee Inputs,Closed,23944.489999999998,0.0,2,0,0,0,0.0,23944.489999999998,23944.489999999998
