Deployment,Store Name,Vendor Name,PO Number,PR Number,PR Deployment,PO Date,Expected Delivery,PO Close Date/Partial Recieve Date,PO Status,Item Code,Item Name,Item Brand,Category Name,Super Category Name,Comment,Total Processed Qty,Remaining Balance Qty,Quantity,Unit,Unit Price,Subtotal,Item Wise Discount Amount,Bill Wise Discount Amount,New Subtotal,Tax,Total Item Cost,
ABNAH Cafe Connaught Place,Main Store,FreshDairy Foods NCR,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-02,2026-01-02,Closed,ING002,Milk,,Dairy,Raw Material,,161.22,0.0,161.22,litre,73.78,11894.81,0,0,11894.81,594.74,12489.55,
ABNAH Cafe Connaught Place,Main Store,FreshDairy Foods NCR,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-03,2026-01-04,Partially Received,ING003,Oat Milk,,Dairy Alternative,Raw Material,,37.73,9.41,47.14,litre,180.58,8512.54,0,0,8512.54,425.63,8938.17,
ABNAH Cafe Connaught Place,Main Store,FreshDairy Foods NCR,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-02,2026-01-02,Partially Received,ING004,Cream,,Dairy,Raw Material,,21.24,7.99,29.23,litre,211.0,6167.53,0,0,6167.53,308.38,6475.91,
ABNAH Cafe Connaught Place,Main Store,NorthStar Poultry,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-02,2026-01-03,Closed,ING008,Egg,,Protein,Raw Material,,390.0,0.0,390.0,pcs,6.84,2667.6,0,0,2667.6,133.38,2800.98,
ABNAH Cafe Connaught Place,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-04,2026-01-05,Closed,ING009,Bread,,Bakery,Raw Material,,435.0,0.0,435.0,pcs,11.66,5072.1,0,0,5072.1,253.6,5325.7,
ABNAH Cafe Connaught Place,Main Store,SweetBase Foods,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-02,2026-01-04,Closed,ING017,Caramel Syrup,,Syrups & Sauces,Raw Material,,42.61,0.0,42.61,litre,242.26,10322.7,0,0,10322.7,1858.09,12180.79,
ABNAH Cafe Connaught Place,Main Store,PackPro Disposables,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-03,2026-01-04,Closed,ING041,Dessert Box,,Packaging,Consumable,,435.0,0.0,435.0,pcs,5.03,2188.05,0,0,2188.05,393.85,2581.9,
ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,2026-01-05,Closed,ING010,Bagel,,Bakery,Raw Material,,110.0,0.0,110.0,pcs,28.29,3111.9,0,0,3111.9,155.59,3267.49,
ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-02,2026-01-02,Closed,ING011,Tortilla,,Bakery,Raw Material,,305.0,0.0,305.0,pcs,15.89,4846.45,0,0,4846.45,242.32,5088.77,
ABNAH Cafe Hauz Khas,Main Store,SweetBase Foods,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,2026-01-04,Closed,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,27.62,0.0,27.62,litre,235.21,6496.5,0,0,6496.5,1169.37,7665.87,
ABNAH Cafe Hauz Khas,Main Store,FrozenBerry Traders,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,2026-01-05,Closed,ING025,Mixed Berry Pulp,,Fruit Inputs,Raw Material,,37.39,0.0,37.39,kg,431.12,16119.58,0,0,16119.58,2901.52,19021.1,
ABNAH Cafe Hauz Khas,Main Store,FreshDairy Foods NCR,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-03,2026-01-03,Partially Received,ING027,Butter,,Dairy,Raw Material,,12.43,4.84,17.27,kg,517.08,8929.97,0,0,8929.97,1071.6,10001.57,
ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,,Pending,ING036,Cold Cup,,Packaging,Consumable,,0.0,940.0,940.0,pcs,3.24,3045.6,0,0,3045.6,548.21,3593.81,
ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-02,2026-01-03,Closed,ING038,Lid,,Packaging,Consumable,,1445.0,0.0,1445.0,pcs,1.16,1676.2,0,0,1676.2,301.72,1977.92,
ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-03,2026-01-03,Partially Received,ING006,Cheese,,Dairy,Raw Material,,10.04,6.39,16.43,kg,502.45,8255.25,0,0,8255.25,412.76,8668.01,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-03,2026-01-02,Closed,ING012,Croissant Base,,Bakery,Raw Material,,250.0,0.0,250.0,pcs,41.35,10337.5,0,0,10337.5,516.88,10854.38,
ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-03,2026-01-03,Closed,ING015,Cheesecake Base,,Dessert Inputs,Raw Material,,120.0,0.0,120.0,pcs,74.41,8929.2,0,0,8929.2,1607.26,10536.46,
ABNAH Cafe Saket Premium,Main Store,GreenLeaf Produce Delhi,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-04,2026-01-05,Closed,ING026,Banana,,Produce,Raw Material,,59.52,0.0,59.52,kg,75.23,4477.69,0,0,4477.69,223.88,4701.57,
ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-02,2026-01-02,Partially Received,ING037,Hot Cup,,Packaging,Consumable,,738.75,481.25,1220.0,pcs,2.94,3586.8,0,0,3586.8,645.62,4232.42,
ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-03,2026-01-03,Closed,ING040,Napkin,,Packaging,Consumable,,2220.0,0.0,2220.0,pcs,0.31,688.2,0,0,688.2,123.88,812.08,
ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-03,2026-01-02,Closed,ING042,Sandwich Box,,Packaging,Consumable,,330.0,0.0,330.0,pcs,6.66,2197.8,0,0,2197.8,395.6,2593.4,
ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-02,2026-01-01,Closed,ING043,Wrap Packaging,,Packaging,Consumable,,280.0,0.0,280.0,pcs,5.76,1612.8,0,0,1612.8,290.3,1903.1,
ABNAH Cafe Connaught Place,Main Store,BeanCraft Roasters Delhi,PO-20260104-OUT001-0004,,,2026-01-04,2026-01-06,2026-01-05,Closed,ING001,Coffee Beans,,Coffee Inputs,Raw Material,,8.03,0.0,8.03,kg,956.95,7684.31,0,0,7684.31,384.21,8068.52,
ABNAH Cafe Connaught Place,Main Store,FreshDairy Foods NCR,PO-20260104-OUT001-0004,,,2026-01-04,2026-01-06,2026-01-06,Partially Received,ING002,Milk,,Dairy,Raw Material,,117.44,35.38,152.82,litre,75.17,11487.48,0,0,11487.48,574.37,12061.85,
ABNAH Cafe Connaught Place,Main Store,NorthStar Poultry,PO-20260104-OUT001-0004,,,2026-01-04,2026-01-07,2026-01-08,Closed,ING008,Egg,,Protein,Raw Material,,335.0,0.0,335.0,pcs,7.32,2452.2,0,0,2452.2,122.61,2574.81,
ABNAH Cafe Connaught Place,Main Store,SweetBase Foods,PO-20260104-OUT001-0004,,,2026-01-04,2026-01-05,2026-01-06,Closed,ING024,Hibiscus Concentrate,,Beverage Inputs,Raw Material,,17.71,0.0,17.71,litre,381.18,6750.7,0,0,6750.7,1215.13,7965.83,
ABNAH Cafe Connaught Place,Main Store,GreenLeaf Produce Delhi,PO-20260104-OUT001-0004,,,2026-01-04,2026-01-07,,Pending,ING031,Tomato,,Produce,Raw Material,,0.0,58.6,58.6,kg,53.73,3148.58,0,0,3148.58,157.43,3306.01,
ABNAH Cafe Connaught Place,Main Store,PackPro Disposables,PO-20260104-OUT001-0004,,,2026-01-04,2026-01-07,2026-01-06,Closed,ING036,Cold Cup,,Packaging,Consumable,,1555.0,0.0,1555.0,pcs,3.2,4976.0,0,0,4976.0,895.68,5871.68,
