Deployment,Store/Kitchen,Category,Item Type,Is Asset,Item Name,Unit,Price,Opening Qty,Opening Amt,Purchase Qty,Purchase Amt,Production Qty,Production Amt,Consumption Qty,Consumption Amt,Stock In Qty,Stock In Amt,Stock Out Qty,Stock Out Amt,Wastage Qty,Wastage Amt,Resue Qty,Reuse Amt,Return Qty,Return Amt,Closing Qty,Closing Amt,Physical Qty,Physical Amt,Variance Qty,Variance Amt,Physical Gain/Loss Qty,Physical Gain/Loss Amt,Actual Consumption Qty,Actual Consumption Amt,Physical Adjusted Closing Qty,Physical Adjusted Closing Amt
ABNAH Cafe Connaught Place,Main Store,Coffee Inputs,Raw Material,No,Coffee Beans,kg,956.95,31.1418,29801.15,0,0,0,0,35.5363,34006.46,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.6355,608.14,0.6035,577.52,0.9343,894.08,-0.032,-30.62,35.5363,34006.46,0.6035,577.52
ABNAH Cafe Connaught Place,Main Store,Dairy,Raw Material,No,Milk,litre,73.97,254.8053,18847.95,0,0,0,0,285.3819,21109.7,0.0,0.0,0,0,3.6805,272.25,0,0,0,0,289.1324,21387.12,288.8924,21369.37,5.9454,439.78,-0.24,-17.75,289.0624,21381.95,288.8924,21369.37
ABNAH Cafe Connaught Place,Main Store,Dairy Alternative,Raw Material,No,Oat Milk,litre,182.7,30.8,5627.16,0,0,0,0,16.2374,2966.57,0.0,0.0,0,0,0.0,0.0,0,0,0,0,96.8126,17687.66,96.8686,17697.89,0.2084,38.07,0.056,10.23,16.2374,2966.57,96.8686,17697.89
ABNAH Cafe Connaught Place,Main Store,Dairy,Raw Material,No,Cream,litre,215.11,22.5,4839.98,0,0,0,0,7.2317,1555.61,5.0,1075.55,0,0,0.0,0.0,0,0,0,0,84.3683,18148.47,84.3683,18148.47,0.1139,24.5,0.0,0.0,7.2317,1555.61,84.3683,18148.47
ABNAH Cafe Connaught Place,Main Store,Dairy,Raw Material,No,Paneer,kg,369.94,26.4,9766.42,0,0,0,0,7.6205,2819.13,0.0,0.0,0,0,0.0,0.0,0,0,0,0,40.9195,15137.76,40.9915,15164.4,0.0605,22.38,0.072,26.64,7.6205,2819.13,40.9915,15164.4
ABNAH Cafe Connaught Place,Main Store,Dairy,Raw Material,No,Cheese,kg,480.0,22.0,10560.0,0,0,0,0,6.5592,3148.42,0.0,0.0,0,0,0.0,0.0,0,0,0,0,15.4408,7411.58,15.4808,7430.78,0.0842,40.42,0.04,19.2,6.5592,3148.42,15.4808,7430.78
ABNAH Cafe Connaught Place,Main Store,Protein,Raw Material,No,Chicken,kg,329.06,33.75,11105.77,0,0,0,0,9.7272,3200.83,0.0,0.0,0,0,0.0,0.0,0,0,0,0,161.3928,53107.91,161.3648,53098.7,0.0772,25.4,-0.028,-9.21,9.7272,3200.83,161.3648,53098.7
ABNAH Cafe Connaught Place,Main Store,Protein,Raw Material,No,Egg,pcs,7.06,300.0,2118.0,0,0,0,0,22.308,157.49,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1002.692,7079.01,1003.412,7084.09,0.308,2.17,0.72,5.08,22.308,157.49,1003.412,7084.09
ABNAH Cafe Connaught Place,Main Store,Bakery,Raw Material,No,Bread,pcs,11.86,337.5,4002.75,0,0,0,0,272.118,3227.32,0.0,0.0,0,0,1.862,22.08,0,0,0,0,978.52,11605.25,978.22,11601.69,7.98,94.64,-0.3,-3.56,273.98,3249.4,978.22,11601.69
ABNAH Cafe Connaught Place,Main Store,Bakery,Raw Material,No,Bagel,pcs,28.46,135.0,3842.1,0,0,0,0,34.68,986.99,0.0,0.0,0,0,0.0,0.0,0,0,0,0,666.87,18979.12,666.99,18982.54,0.68,19.35,0.12,3.42,34.68,986.99,666.99,18982.54
