Date,Store/Kitchen,Supplier,Receiver,Item Name,Unit,Unit Price,Stock In Reference,Stock In Qty,Subtotal,Stock Out Reference,Stock Out Qty,Subtotal
2026-01-13,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Milk,litre,72.0,,0.0,0.0,TRF-01-OUT001-OUT002-001,12.0,864.0
2026-01-13,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Milk,litre,72.0,TRF-01-OUT001-OUT002-001,12.0,864.0,,0.0,0.0
2026-01-13,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Cold Cup,pcs,3.2,,0.0,0.0,TRF-01-OUT001-OUT002-002,140.0,448.0
2026-01-13,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Cold Cup,pcs,3.2,TRF-01-OUT001-OUT002-002,140.0,448.0,,0.0,0.0
2026-01-13,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Hauz Khas,Brownie Base,pcs,34.0,,0.0,0.0,TRF-01-OUT003-OUT002-003,18.0,612.0
2026-01-13,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Hauz Khas,Brownie Base,pcs,34.0,TRF-01-OUT003-OUT002-003,18.0,612.0,,0.0,0.0
2026-01-13,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Saket Premium,Coffee Beans,kg,980.0,,0.0,0.0,TRF-01-OUT001-OUT003-004,3.0,2940.0
2026-01-13,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Saket Premium,Coffee Beans,kg,980.0,TRF-01-OUT001-OUT003-004,3.0,2940.0,,0.0,0.0
2026-01-13,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Hauz Khas,ABNAH Cafe Connaught Place,Wrap Packaging,pcs,5.8,,0.0,0.0,TRF-01-OUT002-OUT001-005,35.0,203.0
2026-01-13,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Hauz Khas,ABNAH Cafe Connaught Place,Wrap Packaging,pcs,5.8,TRF-01-OUT002-OUT001-005,35.0,203.0,,0.0,0.0
2026-01-13,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Connaught Place,Cream,litre,210.0,,0.0,0.0,TRF-01-OUT003-OUT001-006,5.0,1050.0
