ERP Doc ID,Vendor ID,Vendor Name,Outlet #,Outlet Name,Status,Published,Received On,Inserted By,Comment,Updated On,Item ID,UOM,Unit Price
EVP-month_01-00001,VEND001,BeanCraft Roasters Delhi,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING001,kg,956.95
EVP-month_01-00002,VEND008,ChocoCraft Ingredients,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING013,pcs,33.55
EVP-month_01-00003,VEND008,ChocoCraft Ingredients,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING016,litre,254.25
EVP-month_01-00004,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING009,pcs,11.85
EVP-month_01-00005,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING010,pcs,28.61
EVP-month_01-00006,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING011,pcs,15.44
EVP-month_01-00007,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING012,pcs,40.61
EVP-month_01-00008,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING014,pcs,46.85
EVP-month_01-00009,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING015,pcs,70.77
EVP-month_01-00010,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING002,litre,73.73
EVP-month_01-00011,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING003,litre,183.01
EVP-month_01-00012,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING004,litre,215.09
EVP-month_01-00013,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING005,kg,369.94
EVP-month_01-00014,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING027,kg,517.11
EVP-month_01-00015,VEND005,GreenLeaf Produce Delhi,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING023,kg,116.37
EVP-month_01-00016,VEND005,GreenLeaf Produce Delhi,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING029,kg,42.2
EVP-month_01-00017,VEND005,GreenLeaf Produce Delhi,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING030,kg,85.17
EVP-month_01-00018,VEND005,GreenLeaf Produce Delhi,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING031,kg,54.5
EVP-month_01-00019,VEND007,NorthStar Poultry,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING007,kg,328.1
EVP-month_01-00020,VEND007,NorthStar Poultry,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING008,pcs,7.18
EVP-month_01-00021,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING036,pcs,3.2
EVP-month_01-00022,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING037,pcs,2.9
EVP-month_01-00023,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING039,pcs,0.55
EVP-month_01-00024,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING040,pcs,0.33
EVP-month_01-00025,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING041,pcs,5.15
EVP-month_01-00026,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING042,pcs,6.73
EVP-month_01-00027,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING043,pcs,5.87
EVP-month_01-00028,VEND006,SpiceRoot Foods,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING032,kg,341.63
EVP-month_01-00029,VEND006,SpiceRoot Foods,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING033,kg,280.19
EVP-month_01-00030,VEND006,SpiceRoot Foods,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING034,kg,187.86
EVP-month_01-00031,VEND012,SweetBase Foods,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING017,litre,244.01
EVP-month_01-00032,VEND012,SweetBase Foods,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING019,litre,89.51
EVP-month_01-00033,VEND012,SweetBase Foods,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING024,litre,391.06
EVP-month_01-00034,VEND011,TeaLeaf Traders NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING020,kg,615.77
