DeploymentName,vendorCode,vendorName,subTotal,discount,totalTax,Total
ABNAH Cafe Connaught Place,VEND001,BeanCraft Roasters Delhi,7684.31,76.84,380.37,7987.84
ABNAH Cafe Connaught Place,VEND002,FreshDairy Foods NCR,76617.12,0.0,4873.46,81490.58
ABNAH Cafe Connaught Place,VEND003,Delhi Bakery Supply Co,67455.68,96.08,7707.33,75066.93
ABNAH Cafe Connaught Place,VEND004,PackPro Disposables,37738.93,0.0,6829.0,44567.93
ABNAH Cafe Connaught Place,VEND005,GreenLeaf Produce Delhi,22830.05,0.0,1141.5,23971.55
ABNAH Cafe Connaught Place,VEND006,SpiceRoot Foods,8679.130000000001,0.0,1580.24,10259.369999999999
ABNAH Cafe Connaught Place,VEND007,NorthStar Poultry,50322.96,0.0,2516.15,52839.11
ABNAH Cafe Connaught Place,VEND008,ChocoCraft Ingredients,16634.85,0.0,2994.27,19629.120000000003
ABNAH Cafe Connaught Place,VEND011,TeaLeaf Traders NCR,23313.129999999997,0.0,3214.14,26527.27
ABNAH Cafe Connaught Place,VEND012,SweetBase Foods,37098.76,0.0,6677.78,43776.54
ABNAH Cafe Hauz Khas,VEND001,BeanCraft Roasters Delhi,10946.72,0.0,547.34,11494.06
ABNAH Cafe Hauz Khas,VEND002,FreshDairy Foods NCR,36323.13,0.0,2266.0699999999997,38589.2
ABNAH Cafe Hauz Khas,VEND003,Delhi Bakery Supply Co,84541.0,0.0,5522.64,90063.64
ABNAH Cafe Hauz Khas,VEND004,PackPro Disposables,45527.94,118.23,8191.74,53601.45
ABNAH Cafe Hauz Khas,VEND005,GreenLeaf Produce Delhi,16715.329999999998,0.0,853.77,17569.1
ABNAH Cafe Hauz Khas,VEND006,SpiceRoot Foods,18949.18,0.0,3410.8500000000004,22360.03
ABNAH Cafe Hauz Khas,VEND007,NorthStar Poultry,55268.020000000004,0.0,2763.41,58031.43
ABNAH Cafe Hauz Khas,VEND008,ChocoCraft Ingredients,15784.420000000002,0.0,2841.2,18625.620000000003
ABNAH Cafe Hauz Khas,VEND009,FrozenBerry Traders,37786.729999999996,0.0,6801.610000000001,44588.34
ABNAH Cafe Hauz Khas,VEND010,Metro Wholesale Delhi,9650.51,0.0,482.53,10133.04
ABNAH Cafe Hauz Khas,VEND011,TeaLeaf Traders NCR,34683.02,0.0,6242.950000000001,40925.97
ABNAH Cafe Hauz Khas,VEND012,SweetBase Foods,23917.15,0.0,4323.09,28240.24
ABNAH Cafe Saket Premium,VEND002,FreshDairy Foods NCR,132597.64,221.7,10764.720000000001,143140.66
ABNAH Cafe Saket Premium,VEND003,Delhi Bakery Supply Co,54389.3,0.0,6396.99,60786.28999999999
ABNAH Cafe Saket Premium,VEND004,PackPro Disposables,47617.67,74.52,8575.75,56118.9
ABNAH Cafe Saket Premium,VEND005,GreenLeaf Produce Delhi,23533.04,0.0,1194.6399999999999,24727.68
ABNAH Cafe Saket Premium,VEND006,SpiceRoot Foods,23436.6,0.0,4236.59,27673.19
ABNAH Cafe Saket Premium,VEND008,ChocoCraft Ingredients,12604.98,36.28,2262.36,14831.060000000001
ABNAH Cafe Saket Premium,VEND010,Metro Wholesale Delhi,4361.01,0.0,218.05,4579.06
ABNAH Cafe Saket Premium,VEND011,TeaLeaf Traders NCR,14524.64,0.0,726.23,15250.87
ABNAH Cafe Saket Premium,VEND012,SweetBase Foods,23137.46,0.0,4164.74,27302.2
ABNAH Cafe Connaught Place,VEND001,BeanCraft Roasters Delhi,7133.43,0.0,356.67,7490.1
ABNAH Cafe Connaught Place,VEND002,FreshDairy Foods NCR,141782.54,0.0,10878.529999999999,152661.07
ABNAH Cafe Connaught Place,VEND003,Delhi Bakery Supply Co,64692.92,0.0,4614.71,69307.63
ABNAH Cafe Connaught Place,VEND004,PackPro Disposables,39398.55,67.5,7115.58,46446.630000000005
ABNAH Cafe Connaught Place,VEND005,GreenLeaf Produce Delhi,21748.66,0.0,1087.44,22836.1
ABNAH Cafe Connaught Place,VEND006,SpiceRoot Foods,11821.4,0.0,2145.8500000000004,13967.25
ABNAH Cafe Connaught Place,VEND007,NorthStar Poultry,9127.1,0.0,456.36,9583.46
ABNAH Cafe Connaught Place,VEND008,ChocoCraft Ingredients,32241.54,0.0,5821.48,38063.020000000004
ABNAH Cafe Connaught Place,VEND010,Metro Wholesale Delhi,5771.88,0.0,288.59000000000003,6060.47
ABNAH Cafe Connaught Place,VEND011,TeaLeaf Traders NCR,23564.31,0.0,1178.22,24742.53
ABNAH Cafe Connaught Place,VEND012,SweetBase Foods,26123.72,0.0,4702.26,30825.98
ABNAH Cafe Hauz Khas,VEND001,BeanCraft Roasters Delhi,48373.96,0.0,2418.7,50792.66
ABNAH Cafe Hauz Khas,VEND002,FreshDairy Foods NCR,109132.02,80.96,6367.3099999999995,115418.37
ABNAH Cafe Hauz Khas,VEND003,Delhi Bakery Supply Co,58703.200000000004,0.0,7995.76,66698.96
ABNAH Cafe Hauz Khas,VEND004,PackPro Disposables,46264.01,24.07,8359.189999999999,54599.13
ABNAH Cafe Hauz Khas,VEND005,GreenLeaf Produce Delhi,17224.3,0.0,879.22,18103.52
ABNAH Cafe Hauz Khas,VEND007,NorthStar Poultry,4441.5,0.0,222.07,4663.57
ABNAH Cafe Hauz Khas,VEND008,ChocoCraft Ingredients,5538.41,0.0,996.91,6535.32
ABNAH Cafe Hauz Khas,VEND009,FrozenBerry Traders,24673.21,0.0,4441.18,29114.39
ABNAH Cafe Hauz Khas,VEND010,Metro Wholesale Delhi,3063.08,0.0,153.14999999999998,3216.23
ABNAH Cafe Hauz Khas,VEND011,TeaLeaf Traders NCR,22536.94,0.0,4056.6499999999996,26593.59
ABNAH Cafe Hauz Khas,VEND012,SweetBase Foods,65165.240000000005,0.0,11747.740000000002,76912.98
ABNAH Cafe Saket Premium,VEND001,BeanCraft Roasters Delhi,26480.59,0.0,1324.03,27804.620000000003
ABNAH Cafe Saket Premium,VEND002,FreshDairy Foods NCR,123050.59,0.0,7388.82,130439.41
ABNAH Cafe Saket Premium,VEND003,Delhi Bakery Supply Co,60435.65,0.0,6393.51,66829.16
ABNAH Cafe Saket Premium,VEND004,PackPro Disposables,24991.41,0.0,4498.45,29489.859999999997
ABNAH Cafe Saket Premium,VEND005,GreenLeaf Produce Delhi,6204.24,0.0,328.21000000000004,6532.45
