report_name,report_stem,report_id,contract_status,grain,row_count,file_count,exact_schema_file,zoho_import_file,active_v2_import,active_v2_role
Vendor Report,vendor_report,historical.vendor_report.master,validated_historical_abnah_contract,one row per vendor master record,70,1,RAW_CT_vendor_report.csv,normalized/RAWN_CT_vendor_report.csv,yes,qualified_master_source
Bill Item Detail Report,bill_item_detail,p2.bill_item_detail.item,validated_uat_csv_contract,one row per bill and sold item,14576,9,RAW_CT_bill_item_detail.csv,normalized/RAWN_CT_bill_item_detail.csv,no,reconciliation_or_evidence_only
Bulk Return Report,bulk_return,p4.bulk_return.item,validated_uat_csv_contract,one row per bulk-return transaction and item,19,9,RAW_CT_bulk_return.csv,normalized/RAWN_CT_bulk_return.csv,no,reconciliation_or_evidence_only
Closing Stock Report,closing_stock,p4.closing_stock.item,validated_uat_csv_contract,"one row per deployment, generation date and inventory item",387,9,RAW_CT_closing_stock.csv,normalized/RAWN_CT_closing_stock.csv,yes,operational_source
Enterprise Consumption Report - detail,enterprise_consumption_detail,p4.enterprise_consumption.detail,validated_uat_csv_contract,"one row per deployment, store/kitchen, item and selected report period",387,9,RAW_CT_enterprise_consumption_detail.csv,normalized/RAWN_CT_enterprise_consumption_detail.csv,no,reconciliation_or_evidence_only
Enterprise Entry Report - Stock Entry,enterprise_entry,p4.enterprise_entry.item,validated_uat_csv_contract,one row per stock-entry item or document-level charge,585,9,RAW_CT_enterprise_entry.csv,normalized/RAWN_CT_enterprise_entry.csv,yes,operational_source
Enterprise Opening Report - Opening Stock,enterprise_opening,p4.enterprise_opening.item,validated_uat_csv_contract,one row per opening-stock transaction and item,387,9,RAW_CT_enterprise_opening.csv,normalized/RAWN_CT_enterprise_opening.csv,no,reconciliation_or_evidence_only
Enterprise Physical Report - Physical Stock,enterprise_physical,p4.enterprise_physical.item,validated_uat_csv_contract,one row per physical-stock transaction and item,387,9,RAW_CT_enterprise_physical.csv,normalized/RAWN_CT_enterprise_physical.csv,no,reconciliation_or_evidence_only
Enterprise Purchase Order Report - item detail,enterprise_purchase_order,p4.enterprise_purchase_order.item,validated_uat_csv_contract,one row per purchase order and item,638,9,RAW_CT_enterprise_purchase_order.csv,normalized/RAWN_CT_enterprise_purchase_order.csv,yes,operational_source
Enterprise Stock Re-Order,enterprise_reorder,p4.enterprise_reorder.item,validated_uat_csv_contract,"one row per deployment, store and inventory item at export date",0,9,RAW_CT_enterprise_reorder.csv,normalized/RAWN_CT_enterprise_reorder.csv,no,gated_unavailable
Enterprise Stock Return,enterprise_stock_return,p4.enterprise_stock_return.item,validated_uat_csv_contract,one row per original stock-entry item and its vendor return,0,9,RAW_CT_enterprise_stock_return.csv,normalized/RAWN_CT_enterprise_stock_return.csv,no,gated_unavailable
Enterprise Transfer Report - Transfer From,enterprise_transfer_from,p4.enterprise_transfer.from_item,validated_uat_csv_contract,one row per supplier-to-receiver transfer transaction and item,18,9,RAW_CT_enterprise_transfer_from.csv,normalized/RAWN_CT_enterprise_transfer_from.csv,yes,operational_source
Enterprise Transfer Report - Transfer To,enterprise_transfer_to,p4.enterprise_transfer.to_item,validated_uat_csv_contract,one row per destination-side transfer transaction and item,18,9,RAW_CT_enterprise_transfer_to.csv,normalized/RAWN_CT_enterprise_transfer_to.csv,yes,operational_source
Enterprise Variance Report - master,enterprise_variance_master,p4.enterprise_variance.master,validated_uat_csv_contract,"one row per deployment, store/kitchen and item for the selected period",387,9,RAW_CT_enterprise_variance_master.csv,normalized/RAWN_CT_enterprise_variance_master.csv,no,reconciliation_or_evidence_only
Enterprise Variance Report - normal detailed CSV,enterprise_variance_normal,p4.enterprise_variance.normal,validated_uat_csv_contract,"one row per deployment, store/kitchen and item over the selected variance period",387,9,RAW_CT_enterprise_variance_normal.csv,normalized/RAWN_CT_enterprise_variance_normal.csv,yes,operational_source
Enterprise Wastage Report - transaction detail,enterprise_wastage_normal,p4.enterprise_wastage.normal,validated_uat_csv_contract,"one row per deployment, store/kitchen, wastage transaction and item",108,9,RAW_CT_enterprise_wastage_normal.csv,normalized/RAWN_CT_enterprise_wastage_normal.csv,yes,operational_source
Gross/Net Margin Report - bill item detail,gross_net_margin,p2.gross_net_margin.item,validated_uat_csv_contract,one row per bill and sold item,14576,9,RAW_CT_gross_net_margin.csv,normalized/RAWN_CT_gross_net_margin.csv,yes,operational_source
Item Recipe Report,item_recipe_report,p1.item_recipe.detail,validated_uat_csv_contract,"one normalized row per menu item and recipe ingredient, inherited from grouped parent rows",723,1,RAW_CT_item_recipe_report.csv,normalized/RAWN_CT_item_recipe_report.csv,yes,operational_source
Purchase Detail - PO details enabled,purchase_detail,p4.purchase_detail.po_enabled,validated_uat_csv_contract,"one row per purchase transaction and item, with linked PO attributes when available",585,9,RAW_CT_purchase_detail.csv,normalized/RAWN_CT_purchase_detail.csv,no,reconciliation_or_evidence_only
Recipe Consumption Report,recipe_consumption,p4.recipe_consumption.item,validated_uat_csv_contract,one row per parent item and consumed recipe item,6501,9,RAW_CT_recipe_consumption.csv,normalized/RAWN_CT_recipe_consumption.csv,no,reconciliation_or_evidence_only
Stock In Stock Out Report - movement detail,stock_in_stock_out,p4.stock_in_stock_out.item,validated_uat_csv_contract,one row per dated item movement between supplier and receiver,36,9,RAW_CT_stock_in_stock_out.csv,normalized/RAWN_CT_stock_in_stock_out.csv,no,reconciliation_or_evidence_only
ERP Vendor Price,erp_vendor_price,,schema_capture_only_pending_uat_csv_validation,See Workbench schema blueprint,303,1,SCHEMA_CAPTURE_CT_ERP_Vendor_Price.csv,SCHEMA_CAPTURE_CT_ERP_Vendor_Price.csv,no,schema_capture_only
Enterprise Purchase Summary,enterprise_purchase_summary,,schema_capture_only_pending_uat_csv_validation,See Workbench schema blueprint,100,1,SCHEMA_CAPTURE_CT_Enterprise_Purchase_Summary.csv,SCHEMA_CAPTURE_CT_Enterprise_Purchase_Summary.csv,no,schema_capture_only
Enterprise Consolidated Indent,enterprise_consolidated_indent,,schema_capture_only_pending_uat_csv_validation,See Workbench schema blueprint,25,1,SCHEMA_CAPTURE_CT_Enterprise_Consolidated_Indent.csv,SCHEMA_CAPTURE_CT_Enterprise_Consolidated_Indent.csv,no,schema_capture_only
AUX Outlet Master,aux_outlet_master,,synthetic_demo_reference,One synthetic reference row per demonstrator outlet,3,1,AUX_Outlet_Master.csv,AUX_Outlet_Master.csv,yes,demo_only_reference
AUX Menu Demand Forecast,aux_menu_demand_forecast,,approved_model_output,Model-defined; see the active import runbook,6923,1,AUX_Menu_Demand_Forecast.csv,AUX_Menu_Demand_Forecast.csv,yes,approved_model_output
