source_period_code,source_outlet_code,source_outlet_name,source_period_start,source_period_end,deployment_name,store_kitchen_name,user_name,physical_date,transaction_number,item_code,item_name,item_brand,category_name,super_category_name,comment,physical_qty,unit,unit_price,physical_amt,source
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING001,ING001,Coffee Beans,,Coffee Inputs,Raw Material,Month-end physical stock take,0.6035,kg,956.95,577.52,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING002,ING002,Milk,,Dairy,Raw Material,Month-end physical stock take,288.8924,litre,73.97,21369.37,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING003,ING003,Oat Milk,,Dairy Alternative,Raw Material,Month-end physical stock take,96.8686,litre,182.7,17697.89,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING004,ING004,Cream,,Dairy,Raw Material,Month-end physical stock take,84.3683,litre,215.11,18148.47,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING005,ING005,Paneer,,Dairy,Raw Material,Month-end physical stock take,40.9915,kg,369.94,15164.4,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING006,ING006,Cheese,,Dairy,Raw Material,Month-end physical stock take,15.4808,kg,480.0,7430.78,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING007,ING007,Chicken,,Protein,Raw Material,Month-end physical stock take,161.3648,kg,329.06,53098.7,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING008,ING008,Egg,,Protein,Raw Material,Month-end physical stock take,1003.412,pcs,7.06,7084.09,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING009,ING009,Bread,,Bakery,Raw Material,Month-end physical stock take,978.22,pcs,11.86,11601.69,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING010,ING010,Bagel,,Bakery,Raw Material,Month-end physical stock take,666.99,pcs,28.46,18982.54,
