source_period_code,source_outlet_code,source_outlet_name,source_period_start,source_period_end,item_code,item_name,company_name,deployment_name,transaction_date,invoice_date,po_date,po_number,transaction_number,vendor_code,vendor_name,invoice_number,batch_number,category_code,category_name,super_category_code,super_category_name,po_qty,po_unit,po_unit_price,po_amount,po_comment,purchase_qty,purchase_unit,purchase_unit_price,purchase_amount,discount_amt,cgst_tax_amt,sgst_tax_amt,igst_tax_amt,other_tax_amt,total_amt
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING002,Milk,,ABNAH Cafe Connaught Place,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260102-00001,VEND002,FreshDairy Foods NCR,INV-2601-00001,,CAT-DAI,Dairy,SUP-RAW,Raw Material,161.22,litre,73.78,11894.81,,161.22,litre,73.78,11894.81,0.0,297.37,297.37,0,0,12489.55
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING003,Oat Milk,,ABNAH Cafe Connaught Place,2026-01-04,2026-01-04,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260104-00002,VEND002,FreshDairy Foods NCR,INV-2601-00002,,CAT-DAI,Dairy Alternative,SUP-RAW,Raw Material,47.14,litre,180.58,8512.54,,37.73,litre,180.58,6813.28,0.0,170.33,170.33,0,0,7153.94
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING004,Cream,,ABNAH Cafe Connaught Place,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260102-00003,VEND002,FreshDairy Foods NCR,INV-2601-00003,,CAT-DAI,Dairy,SUP-RAW,Raw Material,29.23,litre,211.0,6167.53,,21.24,litre,211.0,4481.64,0.0,112.04,112.04,0,0,4705.72
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING008,Egg,,ABNAH Cafe Connaught Place,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260103-00004,VEND007,NorthStar Poultry,INV-2601-00004,,CAT-PRO,Protein,SUP-RAW,Raw Material,390.0,pcs,6.84,2667.6,,390.0,pcs,6.84,2667.6,0.0,66.69,66.69,0,0,2800.98
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING009,Bread,,ABNAH Cafe Connaught Place,2026-01-05,2026-01-05,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260105-00005,VEND003,Delhi Bakery Supply Co,INV-2601-00005,,CAT-BAK,Bakery,SUP-RAW,Raw Material,435.0,pcs,11.66,5072.1,,435.0,pcs,11.66,5072.1,50.72,125.53,125.54,0,0,5272.45
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING017,Caramel Syrup,,ABNAH Cafe Connaught Place,2026-01-04,2026-01-04,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260104-00006,VEND012,SweetBase Foods,INV-2601-00006,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,42.61,litre,242.26,10322.7,,42.61,litre,242.26,10322.7,0.0,929.04,929.05,0,0,12180.79
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING041,Dessert Box,,ABNAH Cafe Connaught Place,2026-01-04,2026-01-04,2026-01-01,PO-20260101-OUT001-0001,GRN-OUT001-260104-00007,VEND004,PackPro Disposables,INV-2601-00007,,CAT-PAC,Packaging,SUP-CON,Consumable,435.0,pcs,5.03,2188.05,,435.0,pcs,5.03,2188.05,0.0,196.93,196.92,0,0,2581.9
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING010,Bagel,,ABNAH Cafe Hauz Khas,2026-01-05,2026-01-05,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260105-00008,VEND003,Delhi Bakery Supply Co,INV-2601-00008,,CAT-BAK,Bakery,SUP-RAW,Raw Material,110.0,pcs,28.29,3111.9,,110.0,pcs,28.29,3111.9,0.0,77.8,77.79,0,0,3267.49
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING011,Tortilla,,ABNAH Cafe Hauz Khas,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260102-00009,VEND003,Delhi Bakery Supply Co,INV-2601-00009,,CAT-BAK,Bakery,SUP-RAW,Raw Material,305.0,pcs,15.89,4846.45,,305.0,pcs,15.89,4846.45,0.0,121.16,121.16,0,0,5088.77
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING018,Vanilla Syrup,,ABNAH Cafe Hauz Khas,2026-01-04,2026-01-04,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260104-00010,VEND012,SweetBase Foods,INV-2601-00010,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,27.62,litre,235.21,6464.02,,27.62,litre,235.21,6496.5,0.0,584.68,584.69,0,0,7665.87
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING025,Mixed Berry Pulp,,ABNAH Cafe Hauz Khas,2026-01-05,2026-01-05,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260105-00011,VEND009,FrozenBerry Traders,INV-2601-00011,,CAT-FRU,Fruit Inputs,SUP-RAW,Raw Material,37.39,kg,431.12,16119.58,,37.39,kg,431.12,16119.58,0.0,1450.76,1450.76,0,0,19021.1
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING027,Butter,,ABNAH Cafe Hauz Khas,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260103-00012,VEND002,FreshDairy Foods NCR,INV-2601-00012,,CAT-DAI,Dairy,SUP-RAW,Raw Material,17.27,kg,517.08,8929.97,,12.43,kg,517.08,6427.3,0.0,385.64,385.64,0,0,7198.58
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING038,Lid,,ABNAH Cafe Hauz Khas,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT002-0002,GRN-OUT002-260103-00013,VEND004,PackPro Disposables,INV-2601-00013,,CAT-PAC,Packaging,SUP-CON,Consumable,1445.0,pcs,1.16,1676.2,,1445.0,pcs,1.16,1676.2,16.76,149.35,149.35,0,0,1958.14
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING006,Cheese,,ABNAH Cafe Saket Premium,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260103-00014,VEND002,FreshDairy Foods NCR,INV-2601-00014,,CAT-DAI,Dairy,SUP-RAW,Raw Material,16.43,kg,502.45,8255.25,,10.04,kg,502.45,5044.6,0.0,126.11,126.12,0,0,5296.83
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING012,Croissant Base,,ABNAH Cafe Saket Premium,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260102-00015,VEND003,Delhi Bakery Supply Co,INV-2601-00015,,CAT-BAK,Bakery,SUP-RAW,Raw Material,250.0,pcs,41.35,10337.5,,250.0,pcs,41.35,10337.5,0.0,258.44,258.44,0,0,10854.38
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING015,Cheesecake Base,,ABNAH Cafe Saket Premium,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260103-00016,VEND003,Delhi Bakery Supply Co,INV-2601-00016,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,120.0,pcs,74.41,8929.2,,120.0,pcs,74.41,8929.2,0.0,803.63,803.63,0,0,10536.46
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING026,Banana,,ABNAH Cafe Saket Premium,2026-01-05,2026-01-05,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260105-00017,VEND005,GreenLeaf Produce Delhi,INV-2601-00017,,CAT-PRO,Produce,SUP-RAW,Raw Material,59.52,kg,75.23,4477.69,,59.52,kg,75.23,4477.69,0.0,111.94,111.94,0,0,4701.57
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING037,Hot Cup,,ABNAH Cafe Saket Premium,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260102-00018,VEND004,PackPro Disposables,INV-2601-00018,,CAT-PAC,Packaging,SUP-CON,Consumable,1220.0,pcs,2.94,3586.8,,738.75,pcs,2.94,2171.93,0.0,195.47,195.48,0,0,2562.88
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING040,Napkin,,ABNAH Cafe Saket Premium,2026-01-03,2026-01-03,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260103-00019,VEND004,PackPro Disposables,INV-2601-00019,,CAT-PAC,Packaging,SUP-CON,Consumable,2220.0,pcs,0.31,688.2,,2220.0,pcs,0.31,688.2,0.0,61.94,61.94,0,0,812.08
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING042,Sandwich Box,,ABNAH Cafe Saket Premium,2026-01-02,2026-01-02,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260102-00020,VEND004,PackPro Disposables,INV-2601-00020,,CAT-PAC,Packaging,SUP-CON,Consumable,330.0,pcs,6.66,2197.8,,330.0,pcs,6.66,2197.8,0.0,197.8,197.8,0,0,2593.4
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING043,Wrap Packaging,,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,2026-01-01,PO-20260101-OUT003-0003,GRN-OUT003-260101-00021,VEND004,PackPro Disposables,INV-2601-00021,,CAT-PAC,Packaging,SUP-CON,Consumable,280.0,pcs,5.76,1612.8,,280.0,pcs,5.76,1612.8,16.13,143.7,143.7,0,0,1884.07
