source_period_code,source_outlet_code,source_outlet_name,source_period_start,source_period_end,movement_date,store_kitchen_name,supplier_name,receiver_name,item_name,unit,unit_price,stock_in_reference,stock_in_qty,stock_in_subtotal,stock_out_reference,stock_out_qty,stock_out_subtotal
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Milk,litre,72.0,,0.0,0.0,TRF-01-OUT001-OUT002-001,12.0,864.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Milk,litre,72.0,TRF-01-OUT001-OUT002-001,12.0,864.0,,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Cold Cup,pcs,3.2,,0.0,0.0,TRF-01-OUT001-OUT002-002,140.0,448.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Cold Cup,pcs,3.2,TRF-01-OUT001-OUT002-002,140.0,448.0,,0.0,0.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Hauz Khas,Brownie Base,pcs,34.0,,0.0,0.0,TRF-01-OUT003-OUT002-003,18.0,612.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Hauz Khas,Brownie Base,pcs,34.0,TRF-01-OUT003-OUT002-003,18.0,612.0,,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Saket Premium,Coffee Beans,kg,980.0,,0.0,0.0,TRF-01-OUT001-OUT003-004,3.0,2940.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Saket Premium,Coffee Beans,kg,980.0,TRF-01-OUT001-OUT003-004,3.0,2940.0,,0.0,0.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Hauz Khas,ABNAH Cafe Connaught Place,Wrap Packaging,pcs,5.8,,0.0,0.0,TRF-01-OUT002-OUT001-005,35.0,203.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Hauz Khas,ABNAH Cafe Connaught Place,Wrap Packaging,pcs,5.8,TRF-01-OUT002-OUT001-005,35.0,203.0,,0.0,0.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Connaught Place,Cream,litre,210.0,,0.0,0.0,TRF-01-OUT003-OUT001-006,5.0,1050.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,2026-01-13,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Connaught Place,Cream,litre,210.0,TRF-01-OUT003-OUT001-006,5.0,1050.0,,0.0,0.0
month_02,OUT001,ABNAH Cafe Connaught Place,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Milk,litre,73.44,,0.0,0.0,TRF-02-OUT001-OUT002-001,12.96,951.78
month_02,OUT002,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Milk,litre,73.44,TRF-02-OUT001-OUT002-001,12.96,951.78,,0.0,0.0
month_02,OUT001,ABNAH Cafe Connaught Place,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Cold Cup,pcs,3.22,,0.0,0.0,TRF-02-OUT001-OUT002-002,151.2,486.86
month_02,OUT002,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Cold Cup,pcs,3.22,TRF-02-OUT001-OUT002-002,151.2,486.86,,0.0,0.0
month_02,OUT003,ABNAH Cafe Saket Premium,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Hauz Khas,Brownie Base,pcs,34.34,,0.0,0.0,TRF-02-OUT003-OUT002-003,19.44,667.57
month_02,OUT002,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Hauz Khas,Brownie Base,pcs,34.34,TRF-02-OUT003-OUT002-003,19.44,667.57,,0.0,0.0
month_02,OUT001,ABNAH Cafe Connaught Place,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Saket Premium,Coffee Beans,kg,994.7,,0.0,0.0,TRF-02-OUT001-OUT003-004,3.24,3222.83
month_02,OUT003,ABNAH Cafe Saket Premium,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Saket Premium,Coffee Beans,kg,994.7,TRF-02-OUT001-OUT003-004,3.24,3222.83,,0.0,0.0
month_02,OUT002,ABNAH Cafe Hauz Khas,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Hauz Khas,ABNAH Cafe Connaught Place,Wrap Packaging,pcs,5.83,,0.0,0.0,TRF-02-OUT002-OUT001-005,37.8,220.37
month_02,OUT001,ABNAH Cafe Connaught Place,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Hauz Khas,ABNAH Cafe Connaught Place,Wrap Packaging,pcs,5.83,TRF-02-OUT002-OUT001-005,37.8,220.37,,0.0,0.0
month_02,OUT003,ABNAH Cafe Saket Premium,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Saket Premium Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Connaught Place,Cream,litre,214.2,,0.0,0.0,TRF-02-OUT003-OUT001-006,5.4,1156.68
month_02,OUT001,ABNAH Cafe Connaught Place,2026-02-01,2026-02-28,2026-02-14,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Saket Premium,ABNAH Cafe Connaught Place,Cream,litre,214.2,TRF-02-OUT003-OUT001-006,5.4,1156.68,,0.0,0.0
month_03,OUT001,ABNAH Cafe Connaught Place,2026-03-01,2026-03-31,2026-03-15,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Milk,litre,75.24,,0.0,0.0,TRF-03-OUT001-OUT002-001,13.92,1047.34
month_03,OUT002,ABNAH Cafe Hauz Khas,2026-03-01,2026-03-31,2026-03-15,ABNAH Cafe Hauz Khas Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Milk,litre,75.24,TRF-03-OUT001-OUT002-001,13.92,1047.34,,0.0,0.0
month_03,OUT001,ABNAH Cafe Connaught Place,2026-03-01,2026-03-31,2026-03-15,ABNAH Cafe Connaught Place Main Store,ABNAH Cafe Connaught Place,ABNAH Cafe Hauz Khas,Cold Cup,pcs,3.25,,0.0,0.0,TRF-03-OUT001-OUT002-002,162.4,527.8
