source_period_code,snapshot_date,outlet_code,outlet_name,item_code,item_name,category_name,super_category_name,canonical_uom,average_unit_cost,current_stock_qty,closing_value,forecast_required_qty,required_qty_with_safety,valid_open_po_qty,valid_open_po_count,open_po_value,shortage_qty,days_cover,stockout_risk_severity,risk_severity,risk_severity_rank,risk_type,shortage_cost_value,total_risk_value,criticality,primary_vendor,alternate_vendor,vendor_mapping_status,action_id,recommended_action,action_owner,due_band
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,ING001,Coffee Beans,Coffee Inputs,Raw Material,kg,956.95,0.6355,608.14,7.843274,9.019765,0.0,0.0,0.0,8.384265,0.567174,RED,RED,3,STOCKOUT,8023.32,8023.32,,,,vendor_item_approval_mapping_unavailable,month_01:OUT001:ING001,Monitor,Procurement,Due today
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,ING002,Milk,Dairy,Raw Material,litre,73.97,289.1324,21387.12,64.182651,73.810049,77.84,3.0,5764.81,0.0,40.023383,GREEN,GREEN,1,HEALTHY,0.0,0.0,,,,vendor_item_approval_mapping_unavailable,month_01:OUT001:ING002,Monitor,Supply Chain,Monitor
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,ING003,Oat Milk,Dairy Alternative,Raw Material,litre,182.7,96.8126,17687.66,3.629354,4.173757,9.41,1.0,1699.26,0.0,204.873457,GREEN,GREEN,1,HEALTHY,0.0,0.0,,,,vendor_item_approval_mapping_unavailable,month_01:OUT001:ING003,Monitor,Supply Chain,Monitor
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,ING004,Cream,Dairy,Raw Material,litre,215.11,84.3683,18148.47,1.616832,1.859357,7.99,1.0,1685.89,0.0,399.861089,GREEN,GREEN,1,HEALTHY,0.0,0.0,,,,vendor_item_approval_mapping_unavailable,month_01:OUT001:ING004,Monitor,Supply Chain,Monitor
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,ING005,Paneer,Dairy,Raw Material,kg,369.94,40.9195,15137.76,1.724475,1.983146,0.0,0.0,0.0,0.0,166.100697,GREEN,GREEN,1,HEALTHY,0.0,0.0,,,,vendor_item_approval_mapping_unavailable,month_01:OUT001:ING005,Monitor,Supply Chain,Monitor
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,ING006,Cheese,Dairy,Raw Material,kg,480.0,15.4408,7411.58,1.468364,1.688619,0.0,0.0,0.0,0.0,73.609516,GREEN,GREEN,1,HEALTHY,0.0,0.0,,,,vendor_item_approval_mapping_unavailable,month_01:OUT001:ING006,Monitor,Supply Chain,Monitor
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,ING007,Chicken,Protein,Raw Material,kg,329.06,161.3928,53107.91,2.187723,2.515881,27.7,1.0,8868.15,0.0,605.035281,GREEN,GREEN,1,HEALTHY,0.0,0.0,,,,vendor_item_approval_mapping_unavailable,month_01:OUT001:ING007,Monitor,Supply Chain,Monitor
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,ING008,Egg,Protein,Raw Material,pcs,7.06,1002.692,7079.01,5.0532,5.81118,235.0,1.0,1731.95,0.0,1714.526241,GREEN,GREEN,1,HEALTHY,0.0,0.0,,,,vendor_item_approval_mapping_unavailable,month_01:OUT001:ING008,Monitor,Supply Chain,Monitor
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,ING009,Bread,Bakery,Raw Material,pcs,11.86,978.52,11605.25,60.4091,69.470465,0.0,0.0,0.0,0.0,113.387553,GREEN,GREEN,1,HEALTHY,0.0,0.0,,,,vendor_item_approval_mapping_unavailable,month_01:OUT001:ING009,Monitor,Supply Chain,Monitor
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,ING010,Bagel,Bakery,Raw Material,pcs,28.46,666.87,18979.12,7.7002,8.85523,58.45,1.0,1603.28,0.0,659.364692,GREEN,GREEN,1,HEALTHY,0.0,0.0,,,,vendor_item_approval_mapping_unavailable,month_01:OUT001:ING010,Monitor,Supply Chain,Monitor
