scope_type,source_period_code,outlet_code,outlets_at_risk,risk_item_count,menu_items_at_risk,stockout_risk_value,expiry_risk_value,expiry_source_status,open_risky_po_count,forecast_menu_qty,projected_shortage_qty_mixed_uom,shortage_cost_value,stockout_inventory_exposure,total_risk_value,combined_demo_inventory_exposure_reference,action_count,purple_item_count,red_item_count,amber_item_count,quantity_guardrail
one_period_one_outlet,month_01,OUT001,1,2,76,111542.11,44199.99,synthetic_batch_linked_demo_no_posist_batch_source,0,551.5736,440.32524,8498.46,8498.46,8498.46,52698.45,2,0,2,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_one_outlet,month_01,OUT002,1,2,69,102565.91,48991.01,synthetic_batch_linked_demo_no_posist_batch_source,1,578.9472,20.835173,2986.57,2986.57,2986.57,51977.58,2,0,2,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_one_outlet,month_01,OUT003,1,2,69,115378.42,42361.68,synthetic_batch_linked_demo_no_posist_batch_source,0,620.4965,35.168477,9685.28,9685.28,9685.28,52046.96,2,0,2,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_all_outlets,month_01,ALL,3,6,76,329486.44,135552.68,synthetic_batch_linked_demo_no_posist_batch_source,1,1751.0173,496.328889,21170.31,21170.31,21170.31,156722.99,6,0,6,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_one_outlet,month_02,OUT001,1,2,76,126248.32,77630.48,synthetic_batch_linked_demo_no_posist_batch_source,0,622.5394,498.503413,10333.61,10333.61,10333.61,87964.09,2,0,2,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_one_outlet,month_02,OUT002,1,2,70,108841.41,75035.38,synthetic_batch_linked_demo_no_posist_batch_source,0,611.6252,235.942387,1727.72,1727.72,1727.72,76763.1,2,0,2,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_one_outlet,month_02,OUT003,0,0,0,0.0,68514.33,synthetic_batch_linked_demo_no_posist_batch_source,0,653.5482,0.0,0.0,0.0,0.0,68514.33,0,0,0,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_all_outlets,month_02,ALL,2,4,76,235089.73,221180.19,synthetic_batch_linked_demo_no_posist_batch_source,0,1887.7128,734.4458,12061.33,12061.33,12061.33,233241.52,4,0,4,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_one_outlet,month_03,OUT001,1,2,109,155161.05,103856.36,synthetic_batch_linked_demo_no_posist_batch_source,0,609.4058,713.1001,10065.48,10065.48,10065.48,113921.84,2,1,1,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_one_outlet,month_03,OUT002,1,2,62,102670.47,91224.21,synthetic_batch_linked_demo_no_posist_batch_source,0,618.9716,104.772175,6973.5,6973.5,6973.5,98197.71,2,1,1,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_one_outlet,month_03,OUT003,1,2,75,153864.03,76318.55,synthetic_batch_linked_demo_no_posist_batch_source,0,742.3273,15.688165,11464.41,11464.41,11464.41,87782.96,2,1,1,0,Do not display the mixed-UOM shortage total without a UOM filter.
one_period_all_outlets,month_03,ALL,3,6,110,411695.55,271399.12,synthetic_batch_linked_demo_no_posist_batch_source,0,1970.7047,833.56044,28503.39,28503.39,28503.39,299902.51,6,3,3,0,Do not display the mixed-UOM shortage total without a UOM filter.
all_periods_one_outlet,ALL,OUT001,1,6,110,392951.48,225686.83,synthetic_batch_linked_demo_no_posist_batch_source,0,1783.5188,1651.928753,28897.55,28897.55,28897.55,254584.38,6,1,5,0,Do not display the mixed-UOM shortage total without a UOM filter.
all_periods_one_outlet,ALL,OUT002,1,6,85,314077.79,215250.6,synthetic_batch_linked_demo_no_posist_batch_source,1,1809.544,361.549735,11687.79,11687.79,11687.79,226938.39,6,1,5,0,Do not display the mixed-UOM shortage total without a UOM filter.
all_periods_one_outlet,ALL,OUT003,1,4,79,269242.45,187194.56,synthetic_batch_linked_demo_no_posist_batch_source,0,2016.372,50.856642,21149.69,21149.69,21149.69,208344.25,4,1,3,0,Do not display the mixed-UOM shortage total without a UOM filter.
all_periods_all_outlets,ALL,ALL,3,16,110,976271.72,628131.99,synthetic_batch_linked_demo_no_posist_batch_source,1,5609.4348,2064.335129,61735.03,61735.03,61735.03,689867.02,16,3,13,0,Do not display the mixed-UOM shortage total without a UOM filter.
