scope_type,source_period_code,outlet_code,monthly_purchase_value_ordered_gross,received_purchase_value,closing_inventory_value,open_po_liability,working_capital_locked,open_po_count,delayed_po_count,po_fill_rate_percent,vendor_otif_percent,eligible_otif_line_count,average_lead_time_deviation_days,vendor_return_source_status,vendor_return_rate_percent,vendor_return_value_observed,wastage_value_observed,expiry_risk_value,expiry_source_status,financial_leakage_observed,financial_leakage_demo_scenario
one_period_one_outlet,month_01,OUT001,520694.23,386008.24,481736.23,74241.51,555977.74,11,10,71.8868,43.75,48,0.520833,unavailable_header_only,,,451.19,44199.99,synthetic_batch_linked_demo_no_posist_batch_source,451.19,44651.18
one_period_one_outlet,month_01,OUT002,604790.35,434150.12,517544.46,85176.77,602721.23,11,10,86.3405,49.0196,51,0.45098,unavailable_header_only,,,792.01,48991.01,synthetic_batch_linked_demo_no_posist_batch_source,792.01,49783.02
one_period_one_outlet,month_01,OUT003,501846.41,374355.91,460785.23,43304.02,504089.25,8,7,83.0209,50.0,48,0.416667,unavailable_header_only,,,733.71,42361.68,synthetic_batch_linked_demo_no_posist_batch_source,733.71,43095.39
one_period_all_outlets,month_01,ALL,1627330.99,1194514.27,1460065.92,202722.3,1662788.22,30,27,80.568,47.619,147,0.462585,unavailable_header_only,,,1976.91,135552.68,synthetic_batch_linked_demo_no_posist_batch_source,1976.91,137529.59
one_period_one_outlet,month_02,OUT001,462226.52,367909.46,756099.86,40711.74,796811.6,6,4,79.8758,61.2245,49,0.367347,unavailable_header_only,,,504.46,77630.48,synthetic_batch_linked_demo_no_posist_batch_source,504.46,78134.94
one_period_one_outlet,month_02,OUT002,516733.28,391630.03,821907.6,44904.03,866811.63,8,7,78.9692,45.4545,44,0.681818,unavailable_header_only,,,834.03,75035.38,synthetic_batch_linked_demo_no_posist_batch_source,834.03,75869.41
one_period_one_outlet,month_02,OUT003,560523.7,449158.59,809484.63,45644.72,855129.35,7,6,90.8851,53.1915,47,0.553191,unavailable_header_only,,,768.95,68514.33,synthetic_batch_linked_demo_no_posist_batch_source,768.95,69283.28
one_period_all_outlets,month_02,ALL,1539483.5,1208698.08,2387492.09,131260.49,2518752.58,21,17,82.7826,53.5714,140,0.528571,unavailable_header_only,,,2107.44,221180.19,synthetic_batch_linked_demo_no_posist_batch_source,2107.44,223287.63
one_period_one_outlet,month_03,OUT001,562587.3,492620.49,1179354.29,62631.64,1241985.93,10,7,87.995,61.6667,60,0.066667,unavailable_header_only,,,600.65,103856.36,synthetic_batch_linked_demo_no_posist_batch_source,600.65,104457.01
one_period_one_outlet,month_03,OUT002,505212.2,442495.92,1158285.9,50677.14,1208963.04,11,9,85.9788,51.9231,52,0.403846,unavailable_header_only,,,1004.96,91224.21,synthetic_batch_linked_demo_no_posist_batch_source,1004.96,92229.17
one_period_one_outlet,month_03,OUT003,498181.82,395303.71,1006597.25,63836.61,1070433.86,7,5,84.424,46.0,50,0.56,unavailable_header_only,,,1057.37,76318.55,synthetic_batch_linked_demo_no_posist_batch_source,1057.37,77375.92
one_period_all_outlets,month_03,ALL,1565981.32,1330420.12,3344237.44,177145.39,3521382.83,28,21,86.3942,53.7037,162,0.32716,unavailable_header_only,,,2662.98,271399.12,synthetic_batch_linked_demo_no_posist_batch_source,2662.98,274062.1
all_periods_one_outlet,ALL,OUT001,1545508.05,1246538.19,2417190.38,177584.89,2594775.27,27,21,80.6004,56.051,157,0.299363,unavailable_header_only,,,1556.3,225686.83,synthetic_batch_linked_demo_no_posist_batch_source,1556.3,227243.13
all_periods_one_outlet,ALL,OUT002,1626735.83,1268276.07,2497737.96,180757.93,2678495.89,30,26,83.6106,48.9796,147,0.503401,unavailable_header_only,,,2631.0,215250.6,synthetic_batch_linked_demo_no_posist_batch_source,2631.0,217881.6
all_periods_one_outlet,ALL,OUT003,1560551.93,1218818.21,2276867.11,152785.35,2429652.46,22,18,85.6048,49.6552,145,0.510345,unavailable_header_only,,,2560.03,187194.56,synthetic_batch_linked_demo_no_posist_batch_source,2560.03,189754.59
all_periods_all_outlets,ALL,ALL,4732795.81,3733632.47,7191795.45,511128.17,7702923.62,79,65,83.2529,51.6704,449,0.434298,unavailable_header_only,,,6747.33,628131.99,synthetic_batch_linked_demo_no_posist_batch_source,6747.33,634879.32
