source_period_code,outlet_code,outlet_name,source_period_start,source_period_end,deployment_name,store_name,vendor_name,po_number,pr_number,pr_deployment,po_date,expected_delivery_date,po_close_or_partial_receive_date,po_status,item_code,item_name,item_brand,category_name,super_category_name,comment,processed_qty,remaining_balance_qty,ordered_qty,unit,unit_price,subtotal,item_discount_amt,bill_discount_amt,new_subtotal,tax_amt,total_item_cost,is_open_po,open_po_value,processed_po_value,missing_expected_delivery_flag,delayed_po_flag,receipt_date,received_qty,receipt_subtotal,receipt_total,return_qty,return_value,return_source_available,eligible_closed_line_flag,on_time_flag,in_full_flag,otif_success_flag,lead_time_deviation_days
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,FreshDairy Foods NCR,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-02,2026-01-02,Closed,ING002,Milk,,Dairy,Raw Material,,161.22,0.0,161.22,litre,73.78,11894.81,0,0,11894.81,594.74,12489.55,False,0.0,11894.81,False,False,2026-01-02,161.22,11894.81,12489.55,0.0,0.0,False,True,True,True,True,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,FreshDairy Foods NCR,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-03,2026-01-04,Partially Received,ING003,Oat Milk,,Dairy Alternative,Raw Material,,37.73,9.41,47.14,litre,180.58,8512.54,0,0,8512.54,425.63,8938.17,True,1699.26,6813.28,False,True,2026-01-04,37.73,6813.28,7153.94,0.0,0.0,False,False,False,False,False,1.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,FreshDairy Foods NCR,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-02,2026-01-02,Partially Received,ING004,Cream,,Dairy,Raw Material,,21.24,7.99,29.23,litre,211.0,6167.53,0,0,6167.53,308.38,6475.91,True,1685.89,4481.64,False,True,2026-01-02,21.24,4481.64,4705.72,0.0,0.0,False,False,True,False,False,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,NorthStar Poultry,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-02,2026-01-03,Closed,ING008,Egg,,Protein,Raw Material,,390.0,0.0,390.0,pcs,6.84,2667.6,0,0,2667.6,133.38,2800.98,False,0.0,2667.6,False,False,2026-01-03,390.0,2667.6,2800.98,0.0,0.0,False,True,False,True,False,1.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-04,2026-01-05,Closed,ING009,Bread,,Bakery,Raw Material,,435.0,0.0,435.0,pcs,11.66,5072.1,0,0,5072.1,253.6,5325.7,False,0.0,5072.1,False,False,2026-01-05,435.0,5072.1,5272.45,0.0,0.0,False,True,False,True,False,1.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,SweetBase Foods,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-02,2026-01-04,Closed,ING017,Caramel Syrup,,Syrups & Sauces,Raw Material,,42.61,0.0,42.61,litre,242.26,10322.7,0,0,10322.7,1858.09,12180.79,False,0.0,10322.7,False,False,2026-01-04,42.61,10322.7,12180.79,0.0,0.0,False,True,False,True,False,2.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,PackPro Disposables,PO-20260101-OUT001-0001,,,2026-01-01,2026-01-03,2026-01-04,Closed,ING041,Dessert Box,,Packaging,Consumable,,435.0,0.0,435.0,pcs,5.03,2188.05,0,0,2188.05,393.85,2581.9,False,0.0,2188.05,False,False,2026-01-04,435.0,2188.05,2581.9,0.0,0.0,False,True,False,True,False,1.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,2026-01-05,Closed,ING010,Bagel,,Bakery,Raw Material,,110.0,0.0,110.0,pcs,28.29,3111.9,0,0,3111.9,155.59,3267.49,False,0.0,3111.9,False,False,2026-01-05,110.0,3111.9,3267.49,0.0,0.0,False,True,False,True,False,1.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-02,2026-01-02,Closed,ING011,Tortilla,,Bakery,Raw Material,,305.0,0.0,305.0,pcs,15.89,4846.45,0,0,4846.45,242.32,5088.77,False,0.0,4846.45,False,False,2026-01-02,305.0,4846.45,5088.77,0.0,0.0,False,True,True,True,True,0.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,SweetBase Foods,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,2026-01-04,Closed,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,27.62,0.0,27.62,litre,235.21,6496.5,0,0,6496.5,1169.37,7665.87,False,0.0,6496.5,False,False,2026-01-04,27.62,6496.5,7665.87,0.0,0.0,False,True,True,True,True,0.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,FrozenBerry Traders,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,2026-01-05,Closed,ING025,Mixed Berry Pulp,,Fruit Inputs,Raw Material,,37.39,0.0,37.39,kg,431.12,16119.58,0,0,16119.58,2901.52,19021.1,False,0.0,16119.58,False,False,2026-01-05,37.39,16119.58,19021.1,0.0,0.0,False,True,False,True,False,1.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,FreshDairy Foods NCR,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-03,2026-01-03,Partially Received,ING027,Butter,,Dairy,Raw Material,,12.43,4.84,17.27,kg,517.08,8929.97,0,0,8929.97,1071.6,10001.57,True,2502.67,6427.3,False,True,2026-01-03,12.43,6427.3,7198.58,0.0,0.0,False,False,True,False,False,0.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-04,,Pending,ING036,Cold Cup,,Packaging,Consumable,,0.0,940.0,940.0,pcs,3.24,3045.6,0,0,3045.6,548.21,3593.81,True,3045.6,0.0,False,True,,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,PackPro Disposables,PO-20260101-OUT002-0002,,,2026-01-01,2026-01-02,2026-01-03,Closed,ING038,Lid,,Packaging,Consumable,,1445.0,0.0,1445.0,pcs,1.16,1676.2,0,0,1676.2,301.72,1977.92,False,0.0,1676.2,False,False,2026-01-03,1445.0,1676.2,1958.14,0.0,0.0,False,True,False,True,False,1.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,FreshDairy Foods NCR,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-03,2026-01-03,Partially Received,ING006,Cheese,,Dairy,Raw Material,,10.04,6.39,16.43,kg,502.45,8255.25,0,0,8255.25,412.76,8668.01,True,3210.66,5044.6,False,True,2026-01-03,10.04,5044.6,5296.83,0.0,0.0,False,False,True,False,False,0.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-03,2026-01-02,Closed,ING012,Croissant Base,,Bakery,Raw Material,,250.0,0.0,250.0,pcs,41.35,10337.5,0,0,10337.5,516.88,10854.38,False,0.0,10337.5,False,False,2026-01-02,250.0,10337.5,10854.38,0.0,0.0,False,True,True,True,True,-1.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,Delhi Bakery Supply Co,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-03,2026-01-03,Closed,ING015,Cheesecake Base,,Dessert Inputs,Raw Material,,120.0,0.0,120.0,pcs,74.41,8929.2,0,0,8929.2,1607.26,10536.46,False,0.0,8929.2,False,False,2026-01-03,120.0,8929.2,10536.46,0.0,0.0,False,True,True,True,True,0.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,GreenLeaf Produce Delhi,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-04,2026-01-05,Closed,ING026,Banana,,Produce,Raw Material,,59.52,0.0,59.52,kg,75.23,4477.69,0,0,4477.69,223.88,4701.57,False,0.0,4477.69,False,False,2026-01-05,59.52,4477.69,4701.57,0.0,0.0,False,True,False,True,False,1.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-02,2026-01-02,Partially Received,ING037,Hot Cup,,Packaging,Consumable,,738.75,481.25,1220.0,pcs,2.94,3586.8,0,0,3586.8,645.62,4232.42,True,1414.88,2171.93,False,True,2026-01-02,738.75,2171.93,2562.88,0.0,0.0,False,False,True,False,False,0.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-03,2026-01-03,Closed,ING040,Napkin,,Packaging,Consumable,,2220.0,0.0,2220.0,pcs,0.31,688.2,0,0,688.2,123.88,812.08,False,0.0,688.2,False,False,2026-01-03,2220.0,688.2,812.08,0.0,0.0,False,True,True,True,True,0.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-03,2026-01-02,Closed,ING042,Sandwich Box,,Packaging,Consumable,,330.0,0.0,330.0,pcs,6.66,2197.8,0,0,2197.8,395.6,2593.4,False,0.0,2197.8,False,False,2026-01-02,330.0,2197.8,2593.4,0.0,0.0,False,True,True,True,True,-1.0
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,PackPro Disposables,PO-20260101-OUT003-0003,,,2026-01-01,2026-01-02,2026-01-01,Closed,ING043,Wrap Packaging,,Packaging,Consumable,,280.0,0.0,280.0,pcs,5.76,1612.8,0,0,1612.8,290.3,1903.1,False,0.0,1612.8,False,False,2026-01-01,280.0,1612.8,1884.07,0.0,0.0,False,True,True,True,True,-1.0
