row_id,recipe_name,recipe_qty,recipe_unit,item_name,item_qty,item_unit,item_tab_type
BOM00001,Espresso Shot - Solo,1.0,Piece,Coffee Beans,0.0096,kg,Base Recipe
BOM00002,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00003,,,,Lid,1.0,pcs,Base Recipe
BOM00004,,,,Napkin,1.0,pcs,Base Recipe
BOM00005,Espresso Shot - Doppio,1.0,Piece,Coffee Beans,0.0174,kg,Base Recipe
BOM00006,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00007,,,,Lid,1.0,pcs,Base Recipe
BOM00008,,,,Napkin,1.0,pcs,Base Recipe
BOM00009,Americano - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00010,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00011,,,,Lid,1.0,pcs,Base Recipe
BOM00012,,,,Napkin,1.0,pcs,Base Recipe
BOM00013,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00014,Americano - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00015,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00016,,,,Lid,1.0,pcs,Base Recipe
BOM00017,,,,Napkin,1.0,pcs,Base Recipe
BOM00018,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00019,Americano - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00020,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00021,,,,Lid,1.0,pcs,Base Recipe
BOM00022,,,,Napkin,1.0,pcs,Base Recipe
BOM00023,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00024,Latte - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00025,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00026,,,,Lid,1.0,pcs,Base Recipe
BOM00027,,,,Milk,0.18,litre,Base Recipe
BOM00028,,,,Napkin,1.0,pcs,Base Recipe
BOM00029,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00030,Latte - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00031,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00032,,,,Lid,1.0,pcs,Base Recipe
BOM00033,,,,Milk,0.207,litre,Base Recipe
BOM00034,,,,Napkin,1.0,pcs,Base Recipe
BOM00035,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00036,Latte - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00037,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00038,,,,Lid,1.0,pcs,Base Recipe
BOM00039,,,,Milk,0.234,litre,Base Recipe
BOM00040,,,,Napkin,1.0,pcs,Base Recipe
BOM00041,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00042,Cappuccino - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00043,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00044,,,,Lid,1.0,pcs,Base Recipe
BOM00045,,,,Milk,0.18,litre,Base Recipe
BOM00046,,,,Napkin,1.0,pcs,Base Recipe
BOM00047,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00048,Cappuccino - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00049,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00050,,,,Lid,1.0,pcs,Base Recipe
BOM00051,,,,Milk,0.207,litre,Base Recipe
BOM00052,,,,Napkin,1.0,pcs,Base Recipe
BOM00053,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00054,Cappuccino - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00055,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00056,,,,Lid,1.0,pcs,Base Recipe
BOM00057,,,,Milk,0.234,litre,Base Recipe
BOM00058,,,,Napkin,1.0,pcs,Base Recipe
BOM00059,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00060,Flat White - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00061,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00062,,,,Lid,1.0,pcs,Base Recipe
BOM00063,,,,Milk,0.18,litre,Base Recipe
BOM00064,,,,Napkin,1.0,pcs,Base Recipe
BOM00065,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00066,Flat White - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00067,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00068,,,,Lid,1.0,pcs,Base Recipe
BOM00069,,,,Milk,0.207,litre,Base Recipe
BOM00070,,,,Napkin,1.0,pcs,Base Recipe
BOM00071,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00072,Flat White - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00073,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00074,,,,Lid,1.0,pcs,Base Recipe
BOM00075,,,,Milk,0.234,litre,Base Recipe
BOM00076,,,,Napkin,1.0,pcs,Base Recipe
BOM00077,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00078,Mocha - Regular,1.0,Piece,Chocolate Sauce,0.025,litre,Base Recipe
BOM00079,,,,Coffee Beans,0.018,kg,Base Recipe
BOM00080,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00081,,,,Lid,1.0,pcs,Base Recipe
BOM00082,,,,Milk,0.18,litre,Base Recipe
BOM00083,,,,Napkin,1.0,pcs,Base Recipe
BOM00084,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00085,Mocha - Medium,1.0,Piece,Chocolate Sauce,0.0287,litre,Base Recipe
BOM00086,,,,Coffee Beans,0.0207,kg,Base Recipe
BOM00087,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00088,,,,Lid,1.0,pcs,Base Recipe
BOM00089,,,,Milk,0.207,litre,Base Recipe
BOM00090,,,,Napkin,1.0,pcs,Base Recipe
BOM00091,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00092,Mocha - Large,1.0,Piece,Chocolate Sauce,0.0325,litre,Base Recipe
BOM00093,,,,Coffee Beans,0.0234,kg,Base Recipe
BOM00094,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00095,,,,Lid,1.0,pcs,Base Recipe
BOM00096,,,,Milk,0.234,litre,Base Recipe
BOM00097,,,,Napkin,1.0,pcs,Base Recipe
BOM00098,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00099,Sea Salt Mocha - Regular,1.0,Piece,Chocolate Sauce,0.025,litre,Base Recipe
BOM00100,,,,Coffee Beans,0.018,kg,Base Recipe
BOM00101,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00102,,,,Lid,1.0,pcs,Base Recipe
BOM00103,,,,Milk,0.18,litre,Base Recipe
BOM00104,,,,Napkin,1.0,pcs,Base Recipe
BOM00105,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00106,Sea Salt Mocha - Medium,1.0,Piece,Chocolate Sauce,0.0287,litre,Base Recipe
