row_id,deployment_name,store_kitchen_name,user_name,vendor_name,date,transaction_number,invoice_number,invoice_date,item_code,item_name,category_name,super_category_name,quantity,unit,mrp,unit_price,amount,discount,gst_igst_rate,gst_igst_value,total_tax,item_charges_amount,entry_total,return_quantity,return_amount,grand_total
ENT_20260102_00002,ABNAH Cafe Connaught Place,Main Store,inventory.lead,FreshDairy Foods NCR,2026-01-02,GRN-20260102-00002,INV-260101-00002,2026-01-02,ING002,Milk,Dairy,Raw Material,161.22,litre,87.37,74.49,12009.28,0.0,5.0,600.46,600.46,18.0,12627.74,0.0,0.0,12627.74
ENT_20260102_00004,ABNAH Cafe Connaught Place,Main Store,store.manager,FreshDairy Foods NCR,2026-01-02,GRN-20260102-00004,INV-260101-00004,2026-01-02,ING004,Cream,Dairy,Raw Material,21.24,litre,239.11,214.02,4545.78,68.19,5.0,223.88,223.88,12.0,4713.47,0.0,0.0,4713.47
ENT_20260102_00005,ABNAH Cafe Connaught Place,Main Store,store.manager,NorthStar Poultry,2026-01-02,GRN-20260102-00005,INV-260101-00005,2026-01-02,ING008,Egg,Protein,Raw Material,390.0,pcs,7.9,6.93,2702.7,40.54,5.0,133.11,133.11,0.0,2795.27,0.0,0.0,2795.27
ENT_20260102_00008,ABNAH Cafe Hauz Khas,Main Store,ops.saket,Delhi Bakery Supply Co,2026-01-02,GRN-20260102-00008,INV-260101-00008,2026-01-02,ING010,Bagel,Bakery,Raw Material,110.0,pcs,30.7,28.31,3114.1,0.0,5.0,155.71,155.71,25.0,3294.81,0.0,0.0,3294.81
ENT_20260102_00009,ABNAH Cafe Hauz Khas,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-02,GRN-20260102-00009,INV-260101-00009,2026-01-02,ING027,Butter,Dairy,Raw Material,12.43,kg,605.37,520.75,6472.92,0.0,12.0,776.75,776.75,18.0,7267.67,0.0,0.0,7267.67
ENT_20260102_00010,ABNAH Cafe Hauz Khas,Main Store,ops.saket,PackPro Disposables,2026-01-02,GRN-20260102-00010,INV-260101-00010,2026-01-02,ING038,Lid,Packaging,Consumable,1445.0,pcs,1.35,1.16,1676.2,0.0,18.0,301.72,301.72,0.0,1977.92,104.69,121.44,1856.48
ENT_20260102_00015,ABNAH Cafe Saket Premium,Main Store,inventory.lead,PackPro Disposables,2026-01-02,GRN-20260102-00015,INV-260101-00015,2026-01-02,ING043,Wrap Packaging,Packaging,Consumable,280.0,pcs,6.38,5.87,1643.6,24.65,18.0,291.41,291.41,25.0,1935.36,0.0,0.0,1935.36
ENT_20260102_00016,ABNAH Cafe Saket Premium,Main Store,ops.saket,PackPro Disposables,2026-01-02,GRN-20260102-00016,INV-260101-00016,2026-01-02,ING042,Sandwich Box,Packaging,Consumable,330.0,pcs,7.19,6.59,2174.7,32.62,18.0,385.57,385.57,18.0,2545.65,0.0,0.0,2545.65
ENT_20260102_00018,ABNAH Cafe Saket Premium,Main Store,store.manager,PackPro Disposables,2026-01-02,GRN-20260102-00018,INV-260101-00018,2026-01-02,ING037,Hot Cup,Packaging,Consumable,738.75,pcs,3.28,2.94,2171.93,0.0,18.0,390.95,390.95,25.0,2587.88,0.0,0.0,2587.88
ENT_20260102_00019,ABNAH Cafe Saket Premium,Main Store,ops.cp,GreenLeaf Produce Delhi,2026-01-02,GRN-20260102-00019,INV-260101-00019,2026-01-02,ING026,Banana,Produce,Raw Material,59.52,kg,83.4,75.03,4465.79,66.99,5.0,219.94,219.94,25.0,4643.74,0.0,0.0,4643.74
ENT_20260102_00020,ABNAH Cafe Saket Premium,Main Store,ops.cp,Delhi Bakery Supply Co,2026-01-02,GRN-20260102-00020,INV-260101-00020,2026-01-02,ING012,Croissant Base,Bakery,Raw Material,250.0,pcs,46.43,41.05,10262.5,0.0,5.0,513.12,513.12,12.0,10787.62,0.0,0.0,10787.62
ENT_20260103_00001,ABNAH Cafe Connaught Place,Main Store,ops.saket,PackPro Disposables,2026-01-03,GRN-20260103-00001,INV-260101-00001,2026-01-03,ING041,Dessert Box,Packaging,Consumable,435.0,pcs,5.53,5.1,2218.5,33.28,18.0,393.34,393.34,25.0,2603.56,33.33,169.98,2433.58
ENT_20260103_00007,ABNAH Cafe Connaught Place,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-03,GRN-20260103-00007,INV-260101-00007,2026-01-03,ING003,Oat Milk,Dairy Alternative,Raw Material,37.73,litre,202.81,181.86,6861.58,0.0,5.0,343.08,343.08,0.0,7204.66,0.0,0.0,7204.66
ENT_20260103_00013,ABNAH Cafe Hauz Khas,Main Store,ops.hk,FrozenBerry Traders,2026-01-03,GRN-20260103-00013,INV-260101-00013,2026-01-03,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,37.39,kg,482.88,436.18,16308.77,0.0,18.0,2935.58,2935.58,0.0,19244.35,0.0,0.0,19244.35
ENT_20260103_00021,ABNAH Cafe Saket Premium,Main Store,ops.cp,FreshDairy Foods NCR,2026-01-03,GRN-20260103-00021,INV-260101-00021,2026-01-03,ING006,Cheese,Dairy,Raw Material,10.04,kg,588.5,502.93,5049.42,75.74,5.0,248.68,248.68,0.0,5222.36,0.0,0.0,5222.36
ENT_20260104_00003,ABNAH Cafe Connaught Place,Main Store,ops.cp,Delhi Bakery Supply Co,2026-01-04,GRN-20260104-00003,INV-260101-00003,2026-01-04,ING009,Bread,Bakery,Raw Material,435.0,pcs,12.84,11.51,5006.85,75.1,5.0,246.59,246.59,0.0,5178.34,0.0,0.0,5178.34
ENT_20260104_00006,ABNAH Cafe Connaught Place,Main Store,ops.cp,SweetBase Foods,2026-01-04,GRN-20260104-00006,INV-260101-00006,2026-01-04,ING017,Caramel Syrup,Syrups & Sauces,Raw Material,42.61,litre,286.1,243.54,10377.24,0.0,18.0,1867.9,1867.9,18.0,12263.14,0.0,0.0,12263.14
ENT_20260104_00011,ABNAH Cafe Hauz Khas,Main Store,store.manager,SweetBase Foods,2026-01-04,GRN-20260104-00011,INV-260101-00011,2026-01-04,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,27.62,litre,277.42,237.28,6553.67,0.0,18.0,1179.66,1179.66,0.0,7733.33,0.0,0.0,7733.33
ENT_20260104_00012,ABNAH Cafe Hauz Khas,Main Store,store.manager,Delhi Bakery Supply Co,2026-01-04,GRN-20260104-00012,INV-260101-00012,2026-01-04,ING011,Tortilla,Bakery,Raw Material,305.0,pcs,18.06,15.98,4873.9,48.74,5.0,241.26,241.26,25.0,5091.42,0.0,0.0,5091.42
ENT_20260104_00014,ABNAH Cafe Saket Premium,Main Store,ops.saket,PackPro Disposables,2026-01-04,GRN-20260104-00014,INV-260101-00014,2026-01-04,ING040,Napkin,Packaging,Consumable,2220.0,pcs,0.36,0.31,688.2,0.0,18.0,123.88,123.88,25.0,837.08,0.0,0.0,837.08
ENT_20260104_00017,ABNAH Cafe Saket Premium,Main Store,ops.hk,Delhi Bakery Supply Co,2026-01-04,GRN-20260104-00017,INV-260101-00017,2026-01-04,ING015,Cheesecake Base,Dessert Inputs,Raw Material,120.0,pcs,88.63,75.43,9051.6,0.0,18.0,1629.29,1629.29,12.0,10692.89,2.75,207.43,10485.46
ENT_20260105_00024,ABNAH Cafe Connaught Place,Main Store,inventory.lead,FreshDairy Foods NCR,2026-01-05,GRN-20260105-00024,INV-260104-00024,2026-01-05,ING002,Milk,Dairy,Raw Material,117.44,litre,89.39,75.86,8909.0,0.0,5.0,445.45,445.45,0.0,9354.45,0.0,0.0,9354.45
ENT_20260105_00026,ABNAH Cafe Connaught Place,Main Store,ops.saket,PackPro Disposables,2026-01-05,GRN-20260105-00026,INV-260104-00026,2026-01-05,ING036,Cold Cup,Packaging,Consumable,1555.0,pcs,3.63,3.23,5022.65,0.0,18.0,904.08,904.08,0.0,5926.73,0.0,0.0,5926.73
ENT_20260105_00027,ABNAH Cafe Hauz Khas,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-05,GRN-20260105-00027,INV-260104-00027,2026-01-05,ING005,Paneer,Dairy,Raw Material,30.98,kg,418.4,370.19,11468.49,0.0,5.0,573.42,573.42,18.0,12059.91,0.0,0.0,12059.91
ENT_20260105_00034,ABNAH Cafe Saket Premium,Main Store,ops.hk,PackPro Disposables,2026-01-05,GRN-20260105-00034,INV-260104-00034,2026-01-05,ING038,Lid,Packaging,Consumable,926.46,pcs,1.35,1.17,1083.96,0.0,18.0,195.11,195.11,18.0,1297.07,0.0,0.0,1297.07
ENT_20260106_00023,ABNAH Cafe Connaught Place,Main Store,ops.hk,SweetBase Foods,2026-01-06,GRN-20260106-00023,INV-260104-00023,2026-01-06,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,17.71,litre,442.89,383.49,6791.61,67.92,5.0,336.18,336.18,25.0,7084.87,0.0,0.0,7084.87
ENT_20260106_00025,ABNAH Cafe Connaught Place,Main Store,store.manager,BeanCraft Roasters Delhi,2026-01-06,GRN-20260106-00025,INV-260104-00025,2026-01-06,ING001,Coffee Beans,Coffee Inputs,Raw Material,8.03,kg,1086.55,945.39,7591.48,0.0,5.0,379.57,379.57,0.0,7971.05,0.0,0.0,7971.05
ENT_20260106_00032,ABNAH Cafe Hauz Khas,Main Store,ops.cp,GreenLeaf Produce Delhi,2026-01-06,GRN-20260106-00032,INV-260104-00032,2026-01-06,ING026,Banana,Produce,Raw Material,68.08,kg,82.9,75.0,5106.0,0.0,5.0,255.3,255.3,25.0,5386.3,0.0,0.0,5386.3
ENT_20260106_00033,ABNAH Cafe Hauz Khas,Main Store,store.manager,SpiceRoot Foods,2026-01-06,GRN-20260106-00033,INV-260104-00033,2026-01-06,ING034,Salsa,Syrups & Sauces,Raw Material,23.04,kg,224.32,194.73,4486.58,44.87,18.0,799.51,799.51,12.0,5253.22,0.0,0.0,5253.22
ENT_20260107_00022,ABNAH Cafe Connaught Place,Main Store,ops.hk,NorthStar Poultry,2026-01-07,GRN-20260107-00022,INV-260104-00022,2026-01-07,ING008,Egg,Protein,Raw Material,335.0,pcs,8.18,7.27,2435.45,0.0,5.0,121.77,121.77,25.0,2582.22,0.0,0.0,2582.22
ENT_20260107_00028,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,Delhi Bakery Supply Co,2026-01-07,GRN-20260107-00028,INV-260104-00028,2026-01-07,ING014,Cake Base,Dessert Inputs,Raw Material,215.0,pcs,50.79,45.58,9799.7,98.0,18.0,1746.31,1746.31,0.0,11448.01,0.0,0.0,11448.01
