row_id,deployment,date,generation_date,generation_time,item_code,item_name,super_category_code,super_category_name,category_code,category_name,unit_name,average_price,store_stock_qty,total_qty,total_amt
INV_20260101_OUT001_ING001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-01,23:55:00,ING001,Coffee Beans,,Raw Material,CAT001,Coffee Inputs,kg,999.57,16.399,16.399,16391.95
INV_20260101_OUT002_ING001,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING001,Coffee Beans,,Raw Material,CAT001,Coffee Inputs,kg,966.55,10.474,10.474,10123.64
INV_20260101_OUT003_ING001,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,23:55:00,ING001,Coffee Beans,SUP001,Raw Material,CAT001,Coffee Inputs,kg,982.74,16.4522,16.4522,16168.24
INV_20260101_OUT001_ING002,ABNAH Cafe Connaught Place,2026-01-01,2026-01-01,23:55:00,ING002,Milk,SUP001,Raw Material,CAT002,Dairy,litre,72.78,158.4947,158.4947,11535.24
INV_20260101_OUT002_ING002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING002,Milk,SUP001,Raw Material,CAT002,Dairy,litre,70.35,106.0511,106.0511,7460.69
INV_20260101_OUT003_ING002,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,23:55:00,ING002,Milk,SUP001,Raw Material,CAT002,Dairy,litre,73.19,131.3917,131.3917,9616.56
INV_20260101_OUT001_ING003,ABNAH Cafe Connaught Place,2026-01-01,2026-01-01,23:55:00,ING003,Oat Milk,,Raw Material,CAT003,Dairy Alternative,litre,181.05,44.6901,44.6901,8091.14
INV_20260101_OUT002_ING003,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING003,Oat Milk,SUP001,Raw Material,CAT003,Dairy Alternative,litre,185.65,50.137,50.137,9307.93
INV_20260101_OUT003_ING003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,23:55:00,ING003,Oat Milk,SUP001,Raw Material,CAT003,Dairy Alternative,litre,181.78,54.603,54.603,9925.73
INV_20260101_OUT001_ING004,ABNAH Cafe Connaught Place,2026-01-01,2026-01-01,23:55:00,ING004,Cream,SUP001,Raw Material,CAT002,Dairy,litre,217.36,38.0398,38.0398,8268.33
INV_20260101_OUT002_ING004,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING004,Cream,SUP001,Raw Material,,Dairy,litre,213.86,34.5855,34.5855,7396.46
INV_20260101_OUT003_ING004,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,23:55:00,ING004,Cream,,Raw Material,,Dairy,litre,209.1,39.9016,39.9016,8343.42
INV_20260101_OUT001_ING005,ABNAH Cafe Connaught Place,2026-01-01,2026-01-01,23:55:00,ING005,Paneer,SUP001,Raw Material,CAT002,Dairy,kg,350.37,39.8538,39.8538,13963.58
INV_20260101_OUT002_ING005,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING005,Paneer,SUP001,Raw Material,CAT002,Dairy,kg,357.69,38.8391,38.8391,13892.36
INV_20260101_OUT003_ING005,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,23:55:00,ING005,Paneer,SUP001,Raw Material,CAT002,Dairy,kg,371.76,54.2817,54.2817,20179.76
INV_20260101_OUT001_ING006,ABNAH Cafe Connaught Place,2026-01-01,2026-01-01,23:55:00,ING006,Cheese,,Raw Material,CAT002,Dairy,kg,493.15,23.3896,23.3896,11534.58
INV_20260101_OUT002_ING006,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING006,Cheese,SUP001,Raw Material,CAT002,Dairy,kg,496.75,29.6268,29.6268,14717.11
INV_20260101_OUT003_ING006,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,23:55:00,ING006,Cheese,SUP001,Raw Material,CAT002,Dairy,kg,479.23,34.5982,34.5982,16580.5
INV_20260101_OUT001_ING007,ABNAH Cafe Connaught Place,2026-01-01,2026-01-01,23:55:00,ING007,Chicken,SUP001,Raw Material,CAT004,Protein,kg,330.48,67.1248,67.1248,22183.4
INV_20260101_OUT002_ING007,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING007,Chicken,SUP001,Raw Material,CAT004,Protein,kg,322.57,61.4677,61.4677,19827.64
INV_20260101_OUT003_ING007,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,23:55:00,ING007,Chicken,SUP001,Raw Material,CAT004,Protein,kg,342.65,42.3259,42.3259,14502.97
INV_20260101_OUT001_ING008,ABNAH Cafe Connaught Place,2026-01-01,2026-01-01,23:55:00,ING008,Egg,SUP001,Raw Material,CAT004,Protein,pcs,7.19,710.1021,710.1021,5105.63
INV_20260101_OUT002_ING008,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING008,Egg,SUP001,Raw Material,CAT004,Protein,pcs,6.91,714.9825,714.9825,4940.53
INV_20260101_OUT003_ING008,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,23:55:00,ING008,Egg,SUP001,Raw Material,CAT004,Protein,pcs,7.07,596.6197,596.6197,4218.1
INV_20260101_OUT001_ING009,ABNAH Cafe Connaught Place,2026-01-01,2026-01-01,23:55:00,ING009,Bread,SUP001,Raw Material,CAT005,Bakery,pcs,12.22,792.31,792.31,9682.03
INV_20260101_OUT002_ING009,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-01,23:55:00,ING009,Bread,SUP001,Raw Material,CAT005,Bakery,pcs,12.0,666.3703,666.3703,7996.44
INV_20260101_OUT003_ING009,ABNAH Cafe Saket Premium,2026-01-01,2026-01-01,23:55:00,ING009,Bread,SUP001,Raw Material,CAT005,Bakery,pcs,12.06,942.6619,942.6619,11368.5
