row_id,outlet_name,date,super_category,category,item_number,item_name,qty,net_sale
SALE_20260101_OUT001_MENU0003,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0003,Americano - Regular,5.0,915.47
SALE_20260101_OUT001_MENU0004,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0004,Americano - Medium,4.0,830.23
SALE_20260101_OUT001_MENU0005,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0005,Americano - Large,1.0,223.64
SALE_20260101_OUT001_MENU0006,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0006,Latte - Regular,3.0,687.36
SALE_20260101_OUT001_MENU0007,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0007,Latte - Medium,1.0,247.48
SALE_20260101_OUT001_MENU0008,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0008,Latte - Large,3.0,839.74
SALE_20260101_OUT001_MENU0009,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0009,Cappuccino - Regular,3.0,678.05
SALE_20260101_OUT001_MENU0010,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0010,Cappuccino - Medium,4.0,956.64
SALE_20260101_OUT001_MENU0012,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0012,Flat White - Regular,4.0,921.53
SALE_20260101_OUT001_MENU0013,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0013,Flat White - Medium,2.0,527.36
SALE_20260101_OUT001_MENU0014,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0014,Flat White - Large,3.0,860.66
SALE_20260101_OUT001_MENU0015,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0015,Mocha - Regular,3.0,738.33
SALE_20260101_OUT001_MENU0016,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0016,Mocha - Medium,2.0,524.74
SALE_20260101_OUT001_MENU0017,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Coffee Classics,MENU0017,Mocha - Large,1.0,278.06
SALE_20260101_OUT001_MENU0018,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Signature Coffee,MENU0018,Sea Salt Mocha - Regular,1.0,277.19
SALE_20260101_OUT001_MENU0020,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Signature Coffee,MENU0020,Sea Salt Mocha - Large,1.0,322.12
SALE_20260101_OUT001_MENU0021,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Signature Coffee,MENU0021,Orange Zest Mocha - Regular,1.0,255.33
SALE_20260101_OUT001_MENU0022,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Signature Coffee,MENU0022,Orange Zest Mocha - Medium,1.0,287.1
SALE_20260101_OUT001_MENU0026,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Signature Coffee,MENU0026,Caramel Macchiato - Large,1.0,310.58
SALE_20260101_OUT001_MENU0027,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Signature Coffee,MENU0027,French Vanilla Latte - Regular,1.0,265.39
SALE_20260101_OUT001_MENU0030,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Signature Coffee,MENU0030,Vegan Iced Latte - Regular,3.0,845.31
SALE_20260101_OUT001_MENU0031,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Signature Coffee,MENU0031,Vegan Iced Latte - Medium,1.0,297.37
SALE_20260101_OUT001_MENU0033,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Brew,MENU0033,Classic Cold Brew - Regular,1.0,228.31
SALE_20260101_OUT001_MENU0034,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Brew,MENU0034,Classic Cold Brew - Medium,1.0,240.26
SALE_20260101_OUT001_MENU0035,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Brew,MENU0035,Classic Cold Brew - Large,1.0,276.65
SALE_20260101_OUT001_MENU0036,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Brew,MENU0036,Coffee Lemonade - Regular,2.0,474.24
SALE_20260101_OUT001_MENU0040,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Brew,MENU0040,Vietnamese Shakerato - Medium,1.0,284.7
SALE_20260101_OUT001_MENU0041,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Brew,MENU0041,Vietnamese Shakerato - Large,1.0,294.3
SALE_20260101_OUT001_MENU0042,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Coffee,MENU0042,Classic Cold Coffee - Regular,1.0,247.13
SALE_20260101_OUT001_MENU0044,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Coffee,MENU0044,Classic Cold Coffee - Large,1.0,325.56
SALE_20260101_OUT001_MENU0045,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Coffee,MENU0045,Mocha Cold Coffee - Regular,1.0,280.86
SALE_20260101_OUT001_MENU0046,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Coffee,MENU0046,Mocha Cold Coffee - Medium,2.0,616.55
SALE_20260101_OUT001_MENU0048,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Coffee,MENU0048,Caramel Cold Coffee - Regular,1.0,284.68
SALE_20260101_OUT001_MENU0049,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Cold Coffee,MENU0049,Caramel Cold Coffee - Medium,1.0,306.1
SALE_20260101_OUT001_MENU0051,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Tea,MENU0051,Masala Chai Latte - Regular,3.0,572.35
SALE_20260101_OUT001_MENU0054,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Tea,MENU0054,Himalayan Green Tea,2.0,426.2
SALE_20260101_OUT001_MENU0055,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Tea,MENU0055,Japanese Matcha Latte - Regular,1.0,260.29
SALE_20260101_OUT001_MENU0057,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Tea,MENU0057,Japanese Matcha Latte - Large,5.0,1562.86
SALE_20260101_OUT001_MENU0059,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Iced Tea,MENU0059,Lemon Iced Tea - Medium,2.0,436.58
SALE_20260101_OUT001_MENU0061,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Iced Tea,MENU0061,Hibiscus Lime Iced Tea - Regular,2.0,454.88
SALE_20260101_OUT001_MENU0065,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Kids Beverage,MENU0065,Hot Chocolate - Medium,1.0,240.82
SALE_20260101_OUT001_MENU0066,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Kids Beverage,MENU0066,Hot Chocolate - Large,1.0,262.23
SALE_20260101_OUT001_MENU0069,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Shake,MENU0069,Choco Chip Shake - Medium,2.0,638.12
SALE_20260101_OUT001_MENU0074,ABNAH Cafe Connaught Place,2026-01-01,Beverage,Smoothie,MENU0074,Seasonal Smoothie - Regular,2.0,603.2
SALE_20260101_OUT001_MENU0077,ABNAH Cafe Connaught Place,2026-01-01,Food,Wraps,MENU0077,Spicy Paneer Wrap,1.0,273.9
SALE_20260101_OUT001_MENU0078,ABNAH Cafe Connaught Place,2026-01-01,Food,Wraps,MENU0078,Shredded Chicken Wrap,1.0,278.24
SALE_20260101_OUT001_MENU0080,ABNAH Cafe Connaught Place,2026-01-01,Food,Sandwiches,MENU0080,Pesto Veg Sandwich,1.0,269.51
SALE_20260101_OUT001_MENU0083,ABNAH Cafe Connaught Place,2026-01-01,Food,Toasts,MENU0083,Chilli Cheese Garlic Toast,1.0,223.27
SALE_20260101_OUT001_MENU0084,ABNAH Cafe Connaught Place,2026-01-01,Food,Toasts,MENU0084,Chicken Pepperoni Avocado Toast,1.0,322.27
SALE_20260101_OUT001_MENU0085,ABNAH Cafe Connaught Place,2026-01-01,Food,Platter,MENU0085,Hummus and Pita Platter,1.0,306.6
