id,source,target,type,label,status,confidence,rationale
edge:contains:page-p1-main:section-p1-main-01-sales-analysis,page:p1_main,section:p1_main:01_sales_analysis,contains,contains section,current,1.0,
edge:contains:page-p1-main:section-p1-main-02-settlements,page:p1_main,section:p1_main:02_settlements,contains,contains section,current,1.0,
edge:contains:page-p1-main:section-p1-main-03-discounts-offers,page:p1_main,section:p1_main:03_discounts_offers,contains,contains section,current,1.0,
edge:contains:page-p1-main:section-p1-main-04-tax-analysis,page:p1_main,section:p1_main:04_tax_analysis,contains,contains section,current,1.0,
edge:contains:page-p1-main:section-p1-main-05-performance,page:p1_main,section:p1_main:05_performance,contains,contains section,current,1.0,
edge:contains:page-p1-main:section-p1-main-06-misc,page:p1_main,section:p1_main:06_misc,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-01-analytics,page:p2_reports,section:p2_reports:01_analytics,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-02-attendance,page:p2_reports,section:p2_reports:02_attendance,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-03-audit,page:p2_reports,section:p2_reports:03_audit,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-04-category-item,page:p2_reports,section:p2_reports:04_category_item,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-05-crm,page:p2_reports,section:p2_reports:05_crm,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-06-prepaid-card,page:p2_reports,section:p2_reports:06_prepaid_card,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-07-sales,page:p2_reports,section:p2_reports:07_sales,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-08-gst,page:p2_reports,section:p2_reports:08_gst,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-09-staff-perf,page:p2_reports,section:p2_reports:09_staff_perf,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-10-cash-mgmt,page:p2_reports,section:p2_reports:10_cash_mgmt,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-11-banquet,page:p2_reports,section:p2_reports:11_banquet,contains,contains section,current,1.0,
edge:contains:page-p2-reports:section-p2-reports-12-bir,page:p2_reports,section:p2_reports:12_bir,contains,contains section,current,1.0,
edge:contains:page-p4-stock-admin:section-p4-stock-admin-01-enterprise-reports,page:p4_stock_admin,section:p4_stock_admin:01_enterprise_reports,contains,contains section,current,1.0,
edge:contains:page-p4-stock-admin:section-p4-stock-admin-02-transactional-reports,page:p4_stock_admin,section:p4_stock_admin:02_transactional_reports,contains,contains section,current,1.0,
edge:contains:page-p4-stock-admin:section-p4-stock-admin-03-po-so-reports,page:p4_stock_admin,section:p4_stock_admin:03_po_so_reports,contains,contains section,current,1.0,
edge:contains:page-p4-stock-admin:section-p4-stock-admin-04-indent-reports,page:p4_stock_admin,section:p4_stock_admin:04_indent_reports,contains,contains section,current,1.0,
edge:contains:page-p4-stock-admin:section-p4-stock-admin-05-aggregation-reports,page:p4_stock_admin,section:p4_stock_admin:05_aggregation_reports,contains,contains section,current,1.0,
edge:contains:page-p4-stock-admin:section-p4-stock-admin-06-analytical-reports,page:p4_stock_admin,section:p4_stock_admin:06_analytical_reports,contains,contains section,current,1.0,
edge:contains:page-p4-stock-admin:section-p4-stock-admin-07-other-reports,page:p4_stock_admin,section:p4_stock_admin:07_other_reports,contains,contains section,current,1.0,
edge:contains:page-p4-stock-admin:section-p4-stock-admin-08-summary,page:p4_stock_admin,section:p4_stock_admin:08_summary,contains,contains section,current,1.0,
edge:contains:page-p4-stock-admin:section-p4-stock-admin-09-bill-passing,page:p4_stock_admin,section:p4_stock_admin:09_bill_passing,contains,contains section,current,1.0,
