field_id,field_name,display_label,report_count,occurrence_count,semantic_roles,data_type_guesses,status
field:a_la_carteqty,a_la_carteqty,A La CarteQty,1,1,measure,numeric,ocr_candidate
field:add,add,ADD-,1,1,unknown,text,ocr_candidate
field:add_on,add_on,Add-on,1,1,unknown,text,ocr_candidate
field:advance,advance,Advance,1,1,unknown,text,ocr_candidate
field:amount,amount,Amount,12,12,measure,numeric,ocr_candidate
field:apb,apb,APB,1,1,unknown,text,ocr_candidate
field:apc,apc,APC,2,2,unknown,text,ocr_candidate
field:applicable_net_amount,applicable_net_amount,Applicable Net Amount,1,1,measure,numeric,ocr_candidate
field:applicablegrossamount,applicablegrossamount,ApplicableGrossAmount,1,1,measure,numeric,ocr_candidate
field:appliedofferweighteddiscount,appliedofferweighteddiscount,AppliedOfferWeightedDiscount,1,1,measure,numeric,ocr_candidate
field:apt,apt,APT,3,3,unknown,text,ocr_candidate
field:area,area,Area,5,5,unknown,text,ocr_candidate
field:averagedailysales,averagedailysales,AverageDailySales,1,1,measure,numeric,ocr_candidate
field:averagedailysales_growth,averagedailysales_growth,AverageDailySales Growth,1,1,measure,numeric,ocr_candidate
field:avg_per_bill,avg_per_bill,AVG PER BILL,1,1,measure,numeric,ocr_candidate
field:avg_per_cover,avg_per_cover,AVG PER COVER,1,1,measure,numeric,ocr_candidate
field:b,b,B,1,1,unknown,text,ocr_candidate
field:beverage,beverage,BEVERAGE,2,2,unknown,text,ocr_candidate
field:beveragesales,beveragesales,BEVERAGESALES,1,1,measure,numeric,ocr_candidate
field:bill_date,bill_date,BILL DATE,3,3,time,date_or_time,ocr_candidate
field:bill_no,bill_no,Bill No,1,1,measure,numeric,ocr_candidate
field:bill_number,bill_number,BILL NUMBER,2,2,measure,numeric,ocr_candidate
field:bill_time,bill_time,Bill Time,2,2,time,date_or_time,ocr_candidate
field:billamount,billamount,BILLAMOUNT,3,3,measure,numeric,ocr_candidate
field:billnumber,billnumber,BillNumber,2,2,measure,numeric,ocr_candidate
field:bills,bills,BILLS,9,9,measure,numeric,ocr_candidate
field:billuser,billuser,BillUser,1,1,measure,numeric,ocr_candidate
field:bowls,bowls,BOWLS,2,2,unknown,text,ocr_candidate
field:brand,brand,BRAND,2,2,dimension,text,ocr_candidate
field:breads,breads,BREADS,1,1,unknown,text,ocr_candidate
field:brekkie,brekkie,BREKKIE,2,2,unknown,text,ocr_candidate
field:brew,brew,BREW,1,1,unknown,text,ocr_candidate
field:brioche,brioche,BRIOCHE,1,1,unknown,text,ocr_candidate
field:brioche_sandwich,brioche_sandwich,Brioche Sandwich,1,1,unknown,text,ocr_candidate
field:brownies,brownies,BROWNIES,2,2,unknown,text,ocr_candidate
field:btc,btc,BTC,1,1,unknown,text,ocr_candidate
field:budget,budget,BUDGET,1,2,measure|unknown,numeric|text,ocr_candidate
field:building_type,building_type,Building Type,5,5,unknown,text,ocr_candidate
field:buns,buns,BUNS,2,2,unknown,text,ocr_candidate
field:businessdate,businessdate,BUSINESSDATE,3,3,time,date_or_time,ocr_candidate
field:businessdatedeploymentname,businessdatedeploymentname,BusinessDateDeploymentName,1,1,time,date_or_time,ocr_candidate
field:buy_item,buy_item,Buy Item,1,1,dimension,text,ocr_candidate
field:buy_value,buy_value,Buy Value,1,1,unknown,text,ocr_candidate
field:cake,cake,CAKE,1,1,unknown,text,ocr_candidate
field:cakes,cakes,CAKES,2,2,unknown,text,ocr_candidate
field:cash,cash,CASH,6,6,unknown,text,ocr_candidate
field:category,category,CATEGORY,5,5,dimension,text,ocr_candidate
field:category_item_code_item_name,category_item_code_item_name,Category Item Code Item Name,1,1,dimension,text_or_identifier,ocr_candidate
field:category_name,category_name,CATEGORY NAME,3,3,dimension,text,ocr_candidate
field:category_name_item_name_item_qty,category_name_item_name_item_qty,Category Name Item Name Item Qty,1,1,measure,numeric,ocr_candidate
field:categorysuper_category,categorysuper_category,CategorySuper Category,1,1,dimension,text,ocr_candidate
field:categorytotal,categorytotal,CATEGORYTOTAL,1,1,dimension,text,ocr_candidate
field:cgst,cgst,CGST(,2,2,measure,numeric,ocr_candidate
field:cgst_gst_18,cgst_gst_18,CGST (GST@18%),1,1,measure,numeric,ocr_candidate
field:cgst_gst_5,cgst_gst_5,CGST (GST@5%),1,1,measure,numeric,ocr_candidate
field:chai,chai,CHAI,2,2,unknown,text,ocr_candidate
field:charges,charges,CHARGES,9,9,measure,numeric,ocr_candidate
field:chocolate,chocolate,CHOCOLATE,1,1,unknown,text,ocr_candidate
field:choice,choice,CHOICE,1,1,unknown,text,ocr_candidate
field:choiceofmilk,choiceofmilk,ChoiceofMilk,1,1,unknown,text,ocr_candidate
field:cluster,cluster,CLUSTER,15,15,dimension,text,ocr_candidate
field:code,code,Code,1,1,unknown,text_or_identifier,ocr_candidate
field:code_list,code_list,Code List,1,1,unknown,text_or_identifier,ocr_candidate
field:coffee,coffee,COFFEE,2,2,unknown,text,ocr_candidate
field:cold,cold,COLD,1,1,unknown,text,ocr_candidate
field:cold_brew,cold_brew,Cold Brew,1,1,unknown,text,ocr_candidate
field:combo_constituent_qtytotal_qtyamount,combo_constituent_qtytotal_qtyamount,Combo Constituent QtyTotal QtyAmount,1,1,measure,numeric,ocr_candidate
field:combo_itemsubtotal,combo_itemsubtotal,Combo itemSubtotal,1,1,dimension,text,ocr_candidate
field:combo_name,combo_name,Combo Name,1,1,unknown,text,ocr_candidate
field:combo_qty,combo_qty,Combo Qty,1,1,measure,numeric,ocr_candidate
field:combo_quantity,combo_quantity,Combo Quantity,1,1,measure,numeric,ocr_candidate
field:combo_selection_items_name,combo_selection_items_name,Combo Selection Items Name,1,1,dimension,text,ocr_candidate
field:combo_subtotal,combo_subtotal,Combo Subtotal,1,1,unknown,text,ocr_candidate
field:comboconsituentqty,comboconsituentqty,ComboConsituentQty,1,1,measure,numeric,ocr_candidate
field:combodiscount,combodiscount,ComboDiscount,1,1,measure,numeric,ocr_candidate
field:comboitemdiscount,comboitemdiscount,ComboitemDiscount,1,1,measure,numeric,ocr_candidate
field:comboitemtaxes,comboitemtaxes,ComboItemTaxes,1,1,measure,numeric,ocr_candidate
field:comboselectionitemqty,comboselectionitemqty,ComboSelectionItemQty,1,1,measure,numeric,ocr_candidate
field:company_name,company_name,Company Name,1,1,unknown,text,ocr_candidate
