page,section,report_name,report_folder,field_order,raw_header_text,normalized_field_name,source_kind,source_evidence,semantic_role,data_type_guess,grain_role,model_candidate,notes
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,1,OUTLET NAME,outlet_name,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,2,CLUSTER,cluster,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,3,FORMAT,format,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,4,SALE,sale,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,5,DISCOUNT,discount,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,6,NET SALES,net_sales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,7,CHARGES,charges,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,8,TOTAL NET SALES,total_net_sales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,9,TAX,tax,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,10,GROSS AMOUNT,gross_amount,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,11,BILLS,bills,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,12,EMPLOYEE MEAL BILLS,employee_meal_bills,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,13,TOTAL BILLS,total_bills,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,14,AVG PER BILL,avg_per_bill,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,15,COVERS,covers,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,16,COMPLIMENTARY COVERS,complimentary_covers,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Outlet Sales,p1_main/01_sales_analysis/01_outlet_sales,17,AVG PER COVER,avg_per_cover,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,1,BRAND,brand,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,2,FORMAT,format,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,3,CLUSTER,cluster,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,4,DEPLOYMENT,deployment,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,5,NET SALES,net_sales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,6,CHARGES,charges,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,7,TOTALTAX,totaltax,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,8,GROSSTOTAL,grosstotal,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,9,NO. OF TICKETS,no_of_tickets,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
